"Name","Activity type","Description"
"06/11/2013 09:35 Wed morning Gazi Museum","",""

"Name","Marker type","Description","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time"
"Museum","","","37.963065","23.690168","42.17225646972656","275.0","17.765","5.0198","2013-11-06T07:54:40.344Z"

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","37.960423","23.697026","39.805824279785156","0.0","11.987","3.2057","2013-11-06T07:35:57.855Z","","",""
"1","2","37.960418","23.697023","32.145301818847656","","10.369","0.2403","2013-11-06T07:36:04.531Z","","",""
"1","3","37.960415","23.697023","27.958681106567383","","10.266","0.0893","2013-11-06T07:36:05.523Z","","",""
"1","4","37.960407","23.697023","21.669559478759766","","10.064","0.0921","2013-11-06T07:36:10.492Z","","",""
"1","5","37.960423","23.696976","22.717966079711914","290.0","10.08","1.0889","2013-11-06T07:36:11.506Z","","",""
"1","6","37.960452","23.696891","21.3648738861084","294.0","10.087","0.2888","2013-11-06T07:36:20.518Z","","",""
"1","7","37.960451","23.696894","21.376300811767578","","10.048","0.147","2013-11-06T07:36:21.502Z","","",""
"1","8","37.960448","23.696903","21.873456954956055","","7.969","0","2013-11-06T07:36:57.455Z","","",""
"1","9","37.960435","23.696902","22.296154022216797","184.0","7.964","0.3996","2013-11-06T07:36:58.452Z","","",""
"1","10","37.960416","23.6969","22.98112678527832","","5.753","0.2458","2013-11-06T07:37:03.522Z","","",""
"1","11","37.960416","23.6969","23.033784866333008","","5.743","0.1379","2013-11-06T07:37:04.520Z","","",""
"1","12","37.960419","23.696901","23.453739166259766","","10.156","0.0167","2013-11-06T07:37:12.501Z","","",""
"1","13","37.960462","23.696842","23.503103256225586","313.0","6.809","1.6785","2013-11-06T07:37:13.509Z","","",""
"1","14","37.960477","23.696731","25.950862884521484","264.0","7.881","1.0923","2013-11-06T07:37:23.500Z","","",""
"1","15","37.960476","23.696729","26.00760841369629","261.0","7.956","0.8287","2013-11-06T07:37:24.500Z","","",""
"1","16","37.960474","23.696732","26.170400619506836","253.0","8.84","0.2605","2013-11-06T07:37:27.500Z","","",""
"1","17","37.960474","23.696734","26.2260799407959","","9.451","0.151","2013-11-06T07:37:28.499Z","","",""
"1","18","37.960476","23.696743","29.801414489746094","","7.287","0","2013-11-06T07:39:00.183Z","","",""
"1","19","37.960485","23.696723","29.910982131958008","302.0","7.661","0.6104","2013-11-06T07:39:01.186Z","","",""
"1","20","37.9605","23.696617","37.70356750488281","278.0","9.533","0.9716","2013-11-06T07:39:11.185Z","","",""
"1","21","37.960501","23.696597","38.352783203125","276.0","9.815","1.1651","2013-11-06T07:39:12.178Z","","",""
"1","22","37.960509","23.696493","41.469749450683594","276.0","10.084","1.5432","2013-11-06T07:39:18.171Z","","",""
"1","23","37.960509","23.696466","41.957237243652344","274.0","6.802","1.7452","2013-11-06T07:39:19.174Z","","",""
"1","24","37.960517","23.696366","44.217437744140625","279.0","7.976","1.6611","2013-11-06T07:39:24.180Z","","",""
"1","25","37.960523","23.696353","44.633052825927734","284.0","7.958","1.5378","2013-11-06T07:39:25.156Z","","",""
"1","26","37.96045","23.696316","51.29313659667969","","8.935","0.2457","2013-11-06T07:39:47.148Z","","",""
"1","27","37.960452","23.696318","51.319915771484375","","9.568","0.2233","2013-11-06T07:39:48.161Z","","",""
"1","28","37.960456","23.696312","52.147396087646484","","7.961","0.1952","2013-11-06T07:40:09.193Z","","",""
"1","29","37.96046","23.696312","52.164791107177734","","7.955","0.2342","2013-11-06T07:40:10.186Z","","",""
"1","30","37.960468","23.69632","52.22597122192383","","7.959","0.2315","2013-11-06T07:40:14.180Z","","",""
"1","31","37.960469","23.69632","52.239967346191406","","7.964","0.1847","2013-11-06T07:40:15.181Z","","",""
"1","32","37.960464","23.696309","52.301551818847656","","8.131","0.1898","2013-11-06T07:40:19.166Z","","",""
"1","33","37.960462","23.696306","52.31789016723633","","8.054","0.2365","2013-11-06T07:40:20.195Z","","",""
"1","34","37.960455","23.696301","52.36705780029297","219.0","7.951","0.2515","2013-11-06T07:40:23.177Z","","",""
"1","35","37.960454","23.6963","52.563880920410156","","7.966","0.2215","2013-11-06T07:40:24.181Z","","",""
"1","36","37.960456","23.696284","52.8864860534668","","7.958","0.2058","2013-11-06T07:40:32.163Z","","",""
"1","37","37.960456","23.69628","52.89530563354492","267.0","7.973","0.2581","2013-11-06T07:40:33.169Z","","",""
"1","38","37.960457","23.696179","53.365665435791016","253.0","7.969","1.1059","2013-11-06T07:40:43.158Z","","",""
"1","39","37.960449","23.696162","53.51689147949219","248.0","7.951","1.266","2013-11-06T07:40:44.146Z","","",""
"1","40","37.960389","23.696086","54.54256820678711","222.0","7.959","0.8626","2013-11-06T07:40:53.153Z","","",""
"1","41","37.960384","23.696077","54.642791748046875","226.0","7.945","0.8969","2013-11-06T07:40:54.139Z","","",""
"1","42","37.960359","23.695972","55.08857345581055","253.0","10.043","1.3789","2013-11-06T07:41:01.182Z","","",""
"1","43","37.960354","23.695956","55.124366760253906","251.0","10.105","1.4121","2013-11-06T07:41:02.174Z","","",""
"1","44","37.960319","23.695865","55.71001052856445","246.0","7.979","1.3094","2013-11-06T07:41:09.175Z","","",""
"1","45","37.960314","23.695847","55.691444396972656","247.0","7.989","1.4024","2013-11-06T07:41:10.182Z","","",""
"1","46","37.960284","23.695744","56.31547927856445","249.0","7.948","1.5378","2013-11-06T07:41:16.165Z","","",""
"1","47","37.960277","23.695726","56.38202667236328","247.0","7.951","1.5928","2013-11-06T07:41:17.160Z","","",""
"1","48","37.960208","23.695692","57.29116439819336","206.0","8.129","1.7359","2013-11-06T07:41:22.153Z","","",""
"1","49","37.960182","23.695681","57.55363464355469","203.0","8.067","2.067","2013-11-06T07:41:23.192Z","","",""
"1","50","37.960116","23.695609","58.81317901611328","226.0","7.973","1.7332","2013-11-06T07:41:28.150Z","","",""
"1","51","37.960116","23.695592","59.04945755004883","236.0","8.869","1.563","2013-11-06T07:41:29.152Z","","",""
"1","52","37.960117","23.695479","60.269798278808594","265.0","9.825","1.5533","2013-11-06T07:41:35.152Z","","",""
"1","53","37.960118","23.695462","60.54859924316406","268.0","9.959","1.5481","2013-11-06T07:41:36.145Z","","",""
"1","54","37.96007","23.695372","63.17827606201172","229.0","7.974","0.8995","2013-11-06T07:41:46.145Z","","",""
"1","55","37.960065","23.695359","63.59499740600586","234.0","7.961","0.9938","2013-11-06T07:41:47.134Z","","",""
"1","56","37.960027","23.695257","67.36682891845703","242.0","8.417","0.9277","2013-11-06T07:41:56.144Z","","",""
"1","57","37.960024","23.695248","67.69942474365234","243.0","8.141","0.902","2013-11-06T07:41:57.127Z","","",""
"1","58","37.960016","23.695137","69.2911605834961","265.0","6.4","1.483","2013-11-06T07:42:04.196Z","","",""
"1","59","37.960017","23.695118","69.42230987548828","267.0","5.899","1.5198","2013-11-06T07:42:05.190Z","","",""
"1","60","37.960002","23.695016","69.6221923828125","258.0","8.151","1.4842","2013-11-06T07:42:11.194Z","","",""
"1","61","37.959997","23.695","69.62593078613281","256.0","8.003","1.4851","2013-11-06T07:42:12.179Z","","",""
"1","62","37.959972","23.694943","68.81517028808594","256.0","16","0.4752","2013-11-06T07:42:20.216Z","","",""
"1","63","37.959981","23.694954","68.54251861572266","","12.339","0.2167","2013-11-06T07:42:21.191Z","","",""
"1","64","37.959982","23.694952","68.19666290283203","","9.384","0.2206","2013-11-06T07:42:22.185Z","","",""
