"Name","Activity type","Description"
"22/08/2013 17:55","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","56.524474","-5.940138","49.55704116821289","","192","0","2013-08-22T16:56:07.843Z","","",""
"1","2","56.524474","-5.940138","61.02561950683594","0.0","192","0","2013-08-22T16:56:08.842Z","","",""
"1","3","56.524395","-5.940044","63.139671325683594","0.0","16","0","2013-08-22T16:56:09.853Z","","",""
"1","4","56.524395","-5.940044","58.88478088378906","0.0","12","0","2013-08-22T16:56:15.999Z","","",""
"1","5","56.524328","-5.939977","61.586360931396484","0.0","12","1.3601","2013-08-22T16:56:16.999Z","","",""
"1","6","56.524296","-5.940001","56.429203033447266","0.0","12","0","2013-08-22T16:56:20.999Z","","",""
"1","7","56.524267","-5.940032","59.18333053588867","197.7078399658203","12","1.4885","2013-08-22T16:56:21.999Z","","",""
"1","8","56.52424","-5.940066","56.7347526550293","210.2897491455078","32","1.3028","2013-08-22T16:56:23.999Z","","",""
"1","9","56.524226","-5.940076","58.640804290771484","197.82745361328125","12","1.1022","2013-08-22T16:56:24.999Z","","",""
"1","10","56.524196","-5.940096","59.46903991699219","195.5555419921875","12","1.103","2013-08-22T16:56:26.999Z","","",""
"1","11","56.524177","-5.940109","60.04044723510742","204.41905212402344","12","1.6224","2013-08-22T16:56:27.999Z","","",""
"1","12","56.524146","-5.940128","60.60833740234375","199.34889221191406","12","1.084","2013-08-22T16:56:29.999Z","","",""
"1","13","56.524131","-5.940137","58.542152404785156","195.53152465820313","12","1.5609","2013-08-22T16:56:30.999Z","","",""
"1","14","56.524098","-5.940156","59.348419189453125","197.4724884033203","12","1.6888","2013-08-22T16:56:32.999Z","","",""
"1","15","56.524082","-5.940167","58.97012710571289","193.02281188964844","8","1.7483","2013-08-22T16:56:33.999Z","","",""
"1","16","56.524053","-5.94019","62.34067916870117","192.23678588867188","8","1.6866","2013-08-22T16:56:35.999Z","","",""
"1","17","56.52404","-5.940204","63.73920822143555","200.95704650878906","8","1.6349","2013-08-22T16:56:36.999Z","","",""
"1","18","56.523998","-5.940227","63.38699722290039","203.59388732910156","8","1.3631","2013-08-22T16:56:42.999Z","","",""
"1","19","56.523993","-5.94023","63.23482131958008","225.908447265625","8","1.3158","2013-08-22T16:56:43.999Z","","",""
"1","20","56.523952","-5.940239","62.57067108154297","207.30999755859375","12","1.1875","2013-08-22T16:56:49.999Z","","",""
"1","21","56.523947","-5.940239","62.41830825805664","188.3000030517578","12","1.1443","2013-08-22T16:56:50.999Z","","",""
"1","22","56.52391","-5.940263","61.85548400878906","195.11471557617188","8","1.096","2013-08-22T16:56:56.999Z","","",""
"1","23","56.523902","-5.940271","61.75517654418945","207.9148712158203","8","1.085","2013-08-22T16:56:57.999Z","","",""
"1","24","56.523867","-5.940287","61.356178283691406","198.9839630126953","8","1.1492","2013-08-22T16:57:00.999Z","","",""
"1","25","56.523853","-5.940284","61.26664733886719","171.1312713623047","8","1.1888","2013-08-22T16:57:01.999Z","","",""
"1","26","56.523818","-5.940288","61.08511734008789","183.0586395263672","12","0","2013-08-22T16:57:07.999Z","","",""
"1","27","56.523805","-5.94029","61.053367614746094","187.34835815429688","12","0.9686","2013-08-22T16:57:08.999Z","","",""
"1","28","56.52376","-5.94029","60.94480895996094","185.7467803955078","32","1.3434","2013-08-22T16:57:11.999Z","","",""
"1","29","56.523745","-5.940289","60.89802169799805","177.82643127441406","32","1.6146","2013-08-22T16:57:12.999Z","","",""
"1","30","56.52371","-5.940328","60.18657302856445","207.4535369873047","12","0","2013-08-22T16:57:21.999Z","","",""
"1","31","56.523703","-5.940335","60.03199768066406","212.14248657226563","12","0","2013-08-22T16:57:22.999Z","","",""
"1","32","56.523658","-5.940345","59.57508850097656","213.7818145751953","12","0","2013-08-22T16:57:26.999Z","","",""
"1","33","56.523643","-5.940339","59.43461990356445","167.4268341064453","12","1.4868","2013-08-22T16:57:27.999Z","","",""
"1","34","56.5236","-5.940337","58.71356964111328","175.83653259277344","48","0","2013-08-22T16:57:31.999Z","","",""
"1","35","56.523596","-5.940339","58.6871337890625","175.83653259277344","12","0","2013-08-22T16:57:32.999Z","","",""
"1","36","56.523556","-5.940347","57.78325653076172","169.9971923828125","12","1.0913","2013-08-22T16:57:35.999Z","","",""
"1","37","56.523546","-5.940353","57.54416275024414","170.66038513183594","12","1.0627","2013-08-22T16:57:36.999Z","","",""
"1","38","56.523507","-5.940378","57.071617126464844","176.29054260253906","32","0","2013-08-22T16:57:39.999Z","","",""
"1","39","56.523491","-5.940378","56.91240310668945","171.2991180419922","12","1.3953","2013-08-22T16:57:40.999Z","","",""
"1","40","56.523452","-5.940379","56.66688537597656","185.3308563232422","12","1.4649","2013-08-22T16:57:42.999Z","","",""
