"Name","Activity type","Description"
"Around Field s","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.845561","-1.63364","176.5380096435547","321.0865783691406","48","0","2013-01-03T12:54:46.999Z","","",""
"1","2","53.845635","-1.633517","176.5885009765625","321.0865783691406","16","0","2013-01-03T12:54:47.999Z","","",""
"1","3","53.845632","-1.633573","178.14454650878906","297.7638854980469","8","1.3491","2013-01-03T12:54:56.999Z","","",""
"1","4","53.845649","-1.633593","178.3778533935547","315.4092102050781","8","1.7778","2013-01-03T12:54:57.999Z","","",""
"1","5","53.845678","-1.633635","178.51129150390625","312.57171630859375","12","1.9394","2013-01-03T12:54:58.999Z","","",""
"1","6","53.845708","-1.633663","178.57830810546875","335.3634033203125","12","2.2229","2013-01-03T12:54:59.999Z","","",""
"1","7","53.845741","-1.633704","178.59423828125","328.548095703125","8","1.8991","2013-01-03T12:55:02.999Z","","",""
"1","8","53.845751","-1.633714","178.51416015625","325.8341064453125","8","1.8176","2013-01-03T12:55:03.999Z","","",""
"1","9","53.845795","-1.63372","177.74313354492188","357.01080322265625","8","1.5161","2013-01-03T12:55:09.999Z","","",""
"1","10","53.845799","-1.633715","177.63661193847656","10.867767333984375","8","1.4972","2013-01-03T12:55:10.999Z","","",""
"1","11","53.845833","-1.6337","177.5214385986328","4.090298175811768","8","1.4731","2013-01-03T12:55:13.999Z","","",""
"1","12","53.845851","-1.633704","177.4585418701172","345.3630676269531","8","1.5021","2013-01-03T12:55:14.999Z","","",""
"1","13","53.84589","-1.633704","177.317138671875","0.4269048571586609","6","1.5461","2013-01-03T12:55:16.999Z","","",""
"1","14","53.845913","-1.633693","177.19053649902344","20.793352127075195","12","1.547","2013-01-03T12:55:17.999Z","","",""
"1","15","53.845945","-1.633683","177.03038024902344","357.0424499511719","8","1.5382","2013-01-03T12:55:19.999Z","","",""
"1","16","53.845958","-1.633686","176.9770965576172","348.3083801269531","6","1.5775","2013-01-03T12:55:20.999Z","","",""
"1","17","53.845986","-1.633682","176.8895263671875","359.3395080566406","6","1.5716","2013-01-03T12:55:22.999Z","","",""
"1","18","53.846005","-1.633679","176.79290771484375","10.411335945129395","6","1.5567","2013-01-03T12:55:23.999Z","","",""
"1","19","53.846044","-1.633684","176.64581298828125","3.2234480381011963","12","1.5724","2013-01-03T12:55:25.999Z","","",""
"1","20","53.846066","-1.633697","176.5506591796875","346.4046936035156","12","1.5452","2013-01-03T12:55:26.999Z","","",""
"1","21","53.846106","-1.633709","176.3970947265625","24.328229904174805","6","1.542","2013-01-03T12:55:28.999Z","","",""
"1","22","53.846121","-1.633706","176.3448486328125","36.74822998046875","6","1.549","2013-01-03T12:55:29.999Z","","",""
"1","23","53.846154","-1.633707","176.16262817382813","19.01858139038086","8","1.5029","2013-01-03T12:55:32.999Z","","",""
"1","24","53.846165","-1.633696","176.1160125732422","43.328914642333984","8","1.5129","2013-01-03T12:55:33.999Z","","",""
"1","25","53.846188","-1.633681","176.0456085205078","33.91127014160156","8","1.4988","2013-01-03T12:55:35.999Z","","",""
"1","26","53.846208","-1.633666","176.0704803466797","31.1948299407959","8","1.5063","2013-01-03T12:55:36.999Z","","",""
"1","27","53.84624","-1.633659","176.05015563964844","16.510820388793945","8","1.5091","2013-01-03T12:55:38.999Z","","",""
"1","28","53.846258","-1.633663","176.05177307128906","11.664264678955078","6","1.5106","2013-01-03T12:55:39.999Z","","",""
"1","29","53.846283","-1.63367","176.02960205078125","359.58197021484375","8","1.5277","2013-01-03T12:55:40.999Z","","",""
"1","30","53.846302","-1.633678","175.98081970214844","357.80279541015625","8","1.5652","2013-01-03T12:55:41.999Z","","",""
"1","31","53.846345","-1.633685","175.93544006347656","12.891653060913086","8","1.5411","2013-01-03T12:55:44.999Z","","",""
"1","32","53.846361","-1.633687","175.93115234375","7.444946765899658","8","1.487","2013-01-03T12:55:45.999Z","","",""
"1","33","53.846391","-1.633701","175.90292358398438","344.90167236328125","8","1.5","2013-01-03T12:55:46.999Z","","",""
"1","34","53.846416","-1.633711","175.86691284179688","348.4942321777344","6","1.4716","2013-01-03T12:55:47.999Z","","",""
"1","35","53.846454","-1.633739","175.83091735839844","0.2565254271030426","6","0.3902","2013-01-03T12:55:50.999Z","","",""
"1","36","53.846457","-1.633741","175.81663513183594","3.275545835494995","12","0.3772","2013-01-03T12:55:51.999Z","","",""
"1","37","53.84646","-1.633816","175.59498596191406","324.7264404296875","12","1.0326","2013-01-03T12:55:58.999Z","","",""
"1","38","53.846475","-1.633842","175.5100860595703","322.08526611328125","12","1.5005","2013-01-03T12:55:59.999Z","","",""
"1","39","53.846495","-1.633869","175.41278076171875","322.1429443359375","8","1.4271","2013-01-03T12:56:00.999Z","","",""
"1","40","53.846512","-1.633894","175.28379821777344","323.44903564453125","8","1.2679","2013-01-03T12:56:01.999Z","","",""
"1","41","53.846528","-1.633915","175.171142578125","322.1895751953125","8","1.232","2013-01-03T12:56:02.999Z","","",""
"1","42","53.846551","-1.633931","175.0703887939453","346.7936706542969","8","1.3031","2013-01-03T12:56:03.999Z","","",""
"1","43","53.846581","-1.633945","174.99366760253906","352.4077453613281","8","1.3391","2013-01-03T12:56:04.999Z","","",""
"1","44","53.846606","-1.63396","174.878173828125","343.775634765625","12","1.4189","2013-01-03T12:56:05.999Z","","",""
"1","45","53.846648","-1.633979","174.55604553222656","351.4262390136719","6","1.5103","2013-01-03T12:56:07.999Z","","",""
"1","46","53.846663","-1.633985","174.38299560546875","352.30322265625","8","1.5249","2013-01-03T12:56:08.999Z","","",""
"1","47","53.846703","-1.633988","174.248046875","359.6022033691406","8","1.5261","2013-01-03T12:56:11.999Z","","",""
"1","48","53.846717","-1.633994","174.26931762695313","355.30810546875","8","1.5504","2013-01-03T12:56:12.999Z","","",""
"1","49","53.846756","-1.633999","174.4514617919922","355.5744323730469","8","1.5799","2013-01-03T12:56:15.999Z","","",""
"1","50","53.846768","-1.634002","174.50180053710938","353.3238525390625","8","1.6005","2013-01-03T12:56:16.999Z","","",""
"1","51","53.846802","-1.63401","174.56895446777344","346.6809997558594","8","1.6429","2013-01-03T12:56:18.999Z","","",""
"1","52","53.84682","-1.634016","174.53598022460938","346.1258239746094","8","1.6913","2013-01-03T12:56:19.999Z","","",""
"1","53","53.846856","-1.634026","174.48284912109375","351.3501892089844","8","1.7759","2013-01-03T12:56:21.999Z","","",""
"1","54","53.846873","-1.634031","174.432861328125","348.07659912109375","6","1.7876","2013-01-03T12:56:22.999Z","","",""
"1","55","53.846907","-1.634034","174.33743286132813","352.03497314453125","8","1.8117","2013-01-03T12:56:24.999Z","","",""
"1","56","53.846922","-1.634036","174.25643920898438","349.2899475097656","8","1.8226","2013-01-03T12:56:25.999Z","","",""
"1","57","53.846956","-1.634042","174.228515625","356.470458984375","6","1.8116","2013-01-03T12:56:27.999Z","","",""
"1","58","53.846975","-1.634048","174.22821044921875","355.3935852050781","6","1.8104","2013-01-03T12:56:28.999Z","","",""
"1","59","53.847013","-1.634051","174.197509765625","4.9725260734558105","6","1.7976","2013-01-03T12:56:30.999Z","","",""
"1","60","53.847036","-1.634056","174.19082641601563","3.226508140563965","6","1.7961","2013-01-03T12:56:31.999Z","","",""
"1","61","53.847078","-1.634075","174.0361328125","352.8934326171875","4","1.8166","2013-01-03T12:56:33.999Z","","",""
"1","62","53.847095","-1.634086","173.9827880859375","352.6360778808594","4","1.8296","2013-01-03T12:56:34.999Z","","",""
"1","63","53.847132","-1.634106","173.89759826660156","345.9049072265625","4","1.8504","2013-01-03T12:56:36.999Z","","",""
"1","64","53.847154","-1.63411","173.81483459472656","358.4483642578125","4","1.8739","2013-01-03T12:56:37.999Z","","",""
"1","65","53.847197","-1.634115","173.70059204101563","359.7073059082031","4","1.8941","2013-01-03T12:56:39.999Z","","",""
"1","66","53.847215","-1.634114","173.67774963378906","0.26378512382507324","4","1.8841","2013-01-03T12:56:40.999Z","","",""
"1","67","53.847259","-1.634115","173.58697509765625","355.5316467285156","4","1.8615","2013-01-03T12:56:43.999Z","","",""
"1","68","53.847274","-1.634116","173.59149169921875","355.0091247558594","4","1.8513","2013-01-03T12:56:44.999Z","","",""
"1","69","53.847309","-1.634119","173.61192321777344","359.1602478027344","4","1.8303","2013-01-03T12:56:46.999Z","","",""
"1","70","53.84733","-1.634118","173.61610412597656","2.283923864364624","4","1.82","2013-01-03T12:56:47.999Z","","",""
"1","71","53.847372","-1.634125","173.41650390625","359.6531066894531","4","1.8352","2013-01-03T12:56:50.999Z","","",""
"1","72","53.847382","-1.634129","173.3273468017578","0.285590261220932","6","1.8314","2013-01-03T12:56:51.999Z","","",""
"1","73","53.847422","-1.634134","173.25953674316406","2.0212535858154297","4","1.7921","2013-01-03T12:56:54.999Z","","",""
"1","74","53.847437","-1.634141","173.25160217285156","1.1085127592086792","4","1.7749","2013-01-03T12:56:55.999Z","","",""
"1","75","53.84747","-1.634155","173.25399780273438","358.0389099121094","4","1.7697","2013-01-03T12:56:57.999Z","","",""
"1","76","53.84749","-1.634164","173.315673828125","357.22052001953125","6","1.7789","2013-01-03T12:56:58.999Z","","",""
"1","77","53.847527","-1.634172","173.34356689453125","5.5500922203063965","4","1.7928","2013-01-03T12:57:00.999Z","","",""
"1","78","53.847544","-1.634177","173.34881591796875","0.9016746878623962","6","1.7971","2013-01-03T12:57:01.999Z","","",""
"1","79","53.847575","-1.634189","173.3072967529297","2.6535427570343018","6","1.8184","2013-01-03T12:57:03.999Z","","",""
"1","80","53.847592","-1.634196","173.2954559326172","0.0437808558344841","8","1.8278","2013-01-03T12:57:04.999Z","","",""
"1","81","53.847633","-1.634213","173.30313110351563","353.339599609375","6","1.8223","2013-01-03T12:57:06.999Z","","",""
"1","82","53.847648","-1.634221","173.25013732910156","349.8073425292969","6","1.8356","2013-01-03T12:57:07.999Z","","",""
"1","83","53.847685","-1.634236","173.11700439453125","353.9198913574219","4","1.8544","2013-01-03T12:57:09.999Z","","",""
"1","84","53.847703","-1.634241","173.0564422607422","354.0627746582031","6","1.8425","2013-01-03T12:57:10.999Z","","",""
"1","85","53.847746","-1.634252","172.9385528564453","0.15963630378246307","4","1.7734","2013-01-03T12:57:13.999Z","","",""
"1","86","53.847759","-1.634256","172.92369079589844","358.15478515625","4","1.7562","2013-01-03T12:57:14.999Z","","",""
"1","87","53.84779","-1.634268","172.88575744628906","358.0172424316406","6","1.726","2013-01-03T12:57:16.999Z","","",""
"1","88","53.847805","-1.634278","172.7803955078125","347.63226318359375","6","1.7038","2013-01-03T12:57:17.999Z","","",""
"1","89","53.847834","-1.634289","172.65908813476563","1.9315602779388428","8","1.671","2013-01-03T12:57:19.999Z","","",""
"1","90","53.847851","-1.634292","172.60208129882813","355.0598449707031","8","1.6661","2013-01-03T12:57:20.999Z","","",""
"1","91","53.847884","-1.634299","172.4141845703125","1.7758958339691162","6","1.6799","2013-01-03T12:57:22.999Z","","",""
"1","92","53.847899","-1.634299","172.40757751464844","1.0442850589752197","6","1.6663","2013-01-03T12:57:23.999Z","","",""
"1","93","53.84793","-1.6343","172.4801788330078","2.6678543090820313","6","1.6661","2013-01-03T12:57:25.999Z","","",""
"1","94","53.847945","-1.634304","172.5807647705078","0.4365544021129608","6","1.6718","2013-01-03T12:57:26.999Z","","",""
"1","95","53.847979","-1.634316","172.7758331298828","353.848388671875","6","1.6936","2013-01-03T12:57:28.999Z","","",""
"1","96","53.847995","-1.63432","172.82302856445313","354.4580993652344","6","1.6832","2013-01-03T12:57:29.999Z","","",""
"1","97","53.848025","-1.634326","172.86927795410156","357.36334228515625","6","1.6774","2013-01-03T12:57:31.999Z","","",""
"1","98","53.848043","-1.634327","172.8783416748047","0.41720250248908997","6","1.6742","2013-01-03T12:57:32.999Z","","",""
"1","99","53.848086","-1.634321","172.78826904296875","8.275588035583496","6","1.6659","2013-01-03T12:57:34.999Z","","",""
"1","100","53.848101","-1.634321","172.77760314941406","10.137706756591797","6","1.6683","2013-01-03T12:57:35.999Z","","",""
"1","101","53.84813","-1.634327","172.74676513671875","2.858616590499878","6","1.6678","2013-01-03T12:57:37.999Z","","",""
"1","102","53.848148","-1.634332","172.70423889160156","356.07501220703125","6","1.6753","2013-01-03T12:57:38.999Z","","",""
"1","103","53.84818","-1.634344","172.67604064941406","358.4076843261719","4","1.6953","2013-01-03T12:57:40.999Z","","",""
"1","104","53.848195","-1.634347","172.7255401611328","5.2711005210876465","4","1.7099","2013-01-03T12:57:41.999Z","","",""
"1","105","53.848238","-1.634354","172.6980743408203","2.1661152839660645","4","1.7487","2013-01-03T12:57:43.999Z","","",""
"1","106","53.848253","-1.634357","172.64120483398438","2.9580986499786377","4","1.7713","2013-01-03T12:57:44.999Z","","",""
"1","107","53.848292","-1.634368","172.643798828125","357.0549621582031","4","1.7402","2013-01-03T12:57:47.999Z","","",""
"1","108","53.848301","-1.634373","172.68988037109375","359.1952209472656","6","1.7081","2013-01-03T12:57:48.999Z","","",""
"1","109","53.848333","-1.634379","172.77096557617188","358.0220947265625","6","1.6887","2013-01-03T12:57:50.999Z","","",""
"1","110","53.848352","-1.634379","172.79519653320313","359.8309326171875","4","1.6804","2013-01-03T12:57:51.999Z","","",""
"1","111","53.848393","-1.634381","172.885009765625","0.8701639175415039","4","1.6694","2013-01-03T12:57:53.999Z","","",""
"1","112","53.848411","-1.634385","172.9374237060547","355.9449157714844","4","1.675","2013-01-03T12:57:54.999Z","","",""
"1","113","53.848446","-1.634397","173.03570556640625","355.0013427734375","4","1.7042","2013-01-03T12:57:56.999Z","","",""
"1","114","53.848464","-1.634403","173.08984375","358.5750427246094","4","1.7135","2013-01-03T12:57:57.999Z","","",""
"1","115","53.8485","-1.634415","173.0586395263672","354.20947265625","4","1.7348","2013-01-03T12:57:59.999Z","","",""
"1","116","53.848522","-1.634421","172.992431640625","353.01910400390625","4","1.7479","2013-01-03T12:58:00.999Z","","",""
"1","117","53.848558","-1.634424","172.86898803710938","7.9652252197265625","4","1.7488","2013-01-03T12:58:02.999Z","","",""
"1","118","53.848571","-1.634423","172.7958526611328","10.064035415649414","4","1.7452","2013-01-03T12:58:03.999Z","","",""
"1","119","53.8486","-1.634429","172.70875549316406","352.5322265625","8","1.7418","2013-01-03T12:58:05.999Z","","",""
"1","120","53.848617","-1.634434","172.67416381835938","356.5091552734375","8","1.7251","2013-01-03T12:58:06.999Z","","",""
"1","121","53.84865","-1.634443","172.6023406982422","357.8219909667969","4","1.7136","2013-01-03T12:58:08.999Z","","",""
"1","122","53.848663","-1.634446","172.5665740966797","3.514256715774536","4","1.7279","2013-01-03T12:58:09.999Z","","",""
"1","123","53.848702","-1.634451","172.468017578125","6.243720054626465","6","1.7269","2013-01-03T12:58:11.999Z","","",""
"1","124","53.848722","-1.634456","172.3994903564453","354.0920104980469","6","1.724","2013-01-03T12:58:12.999Z","","",""
"1","125","53.848753","-1.634464","172.3659210205078","355.9879150390625","4","1.6925","2013-01-03T12:58:14.999Z","","",""
"1","126","53.848766","-1.634468","172.3848419189453","357.3508605957031","4","1.6883","2013-01-03T12:58:15.999Z","","",""
"1","127","53.848797","-1.634477","172.38160705566406","0.006000183057039976","4","1.6836","2013-01-03T12:58:17.999Z","","",""
"1","128","53.848814","-1.634483","172.42080688476563","356.04571533203125","4","1.6785","2013-01-03T12:58:18.999Z","","",""
"1","129","53.848853","-1.634499","172.46519470214844","353.6548767089844","4","1.6818","2013-01-03T12:58:20.999Z","","",""
"1","130","53.848868","-1.634504","172.47218322753906","354.40576171875","4","1.6787","2013-01-03T12:58:21.999Z","","",""
"1","131","53.848901","-1.634516","172.5139923095703","355.7022705078125","4","1.6759","2013-01-03T12:58:23.999Z","","",""
"1","132","53.848918","-1.634523","172.5611572265625","354.92559814453125","6","1.6703","2013-01-03T12:58:24.999Z","","",""
"1","133","53.848951","-1.63454","172.68629455566406","351.5247802734375","4","1.6567","2013-01-03T12:58:27.999Z","","",""
"1","134","53.848965","-1.634547","172.7062530517578","346.2813720703125","4","1.6393","2013-01-03T12:58:28.999Z","","",""
"1","135","53.849007","-1.63456","172.77059936523438","346.493896484375","4","1.64","2013-01-03T12:58:30.999Z","","",""
"1","136","53.849027","-1.634571","172.86410522460938","336.7352294921875","4","1.6303","2013-01-03T12:58:31.999Z","","",""
"1","137","53.849058","-1.634589","173.0093994140625","337.6336669921875","6","1.6037","2013-01-03T12:58:33.999Z","","",""
"1","138","53.849072","-1.634595","173.0709228515625","344.0125427246094","4","1.5838","2013-01-03T12:58:34.999Z","","",""
"1","139","53.849109","-1.634619","173.20448303222656","332.8839416503906","4","1.5449","2013-01-03T12:58:37.999Z","","",""
"1","140","53.849123","-1.63463","173.2485809326172","330.28399658203125","4","1.5417","2013-01-03T12:58:38.999Z","","",""
"1","141","53.849158","-1.634656","173.45555114746094","330.2989501953125","4","1.5142","2013-01-03T12:58:41.999Z","","",""
"1","142","53.849172","-1.634672","173.51425170898438","327.2137451171875","6","1.5055","2013-01-03T12:58:42.999Z","","",""
"1","143","53.849204","-1.634705","173.59747314453125","326.5020446777344","4","1.5192","2013-01-03T12:58:44.999Z","","",""
"1","144","53.849217","-1.634725","173.6610107421875","318.3070068359375","4","1.5276","2013-01-03T12:58:45.999Z","","",""
"1","145","53.849244","-1.634774","173.9073944091797","310.244384765625","4","1.5389","2013-01-03T12:58:47.999Z","","",""
"1","146","53.84925","-1.634789","173.99969482421875","301.0105285644531","4","1.5423","2013-01-03T12:58:48.999Z","","",""
"1","147","53.849258","-1.634843","174.17552185058594","273.2584228515625","4","1.5487","2013-01-03T12:58:50.999Z","","",""
"1","148","53.849257","-1.634875","174.27032470703125","262.3855895996094","4","1.5527","2013-01-03T12:58:51.999Z","","",""
"1","149","53.849257","-1.634938","174.4610137939453","259.7550354003906","4","1.5818","2013-01-03T12:58:53.999Z","","",""
"1","150","53.849255","-1.634968","174.55084228515625","258.9668884277344","4","1.5931","2013-01-03T12:58:54.999Z","","",""
"1","151","53.849251","-1.635024","174.67294311523438","255.10899353027344","6","1.608","2013-01-03T12:58:56.999Z","","",""
"1","152","53.849247","-1.635057","174.6921844482422","252.94390869140625","6","1.6038","2013-01-03T12:58:57.999Z","","",""
"1","153","53.849234","-1.635122","174.6937713623047","247.768798828125","4","1.588","2013-01-03T12:58:59.999Z","","",""
"1","154","53.849225","-1.635153","174.68116760253906","246.89610290527344","4","1.5851","2013-01-03T12:59:00.999Z","","",""
"1","155","53.849216","-1.635202","174.66236877441406","253.75289916992188","6","1.5834","2013-01-03T12:59:02.999Z","","",""
"1","156","53.849208","-1.635235","174.67745971679688","244.83705139160156","4","1.5887","2013-01-03T12:59:03.999Z","","",""
"1","157","53.849198","-1.63528","174.62066650390625","242.6267852783203","4","1.606","2013-01-03T12:59:05.999Z","","",""
"1","158","53.849189","-1.635305","174.6273651123047","238.40000915527344","4","1.6205","2013-01-03T12:59:06.999Z","","",""
"1","159","53.849173","-1.63535","174.6317138671875","230.36508178710938","4","1.6433","2013-01-03T12:59:08.999Z","","",""
"1","160","53.849163","-1.635378","174.6651153564453","231.24205017089844","6","1.6579","2013-01-03T12:59:09.999Z","","",""
"1","161","53.849144","-1.635428","174.84384155273438","226.67750549316406","4","1.6727","2013-01-03T12:59:11.999Z","","",""
"1","162","53.849133","-1.635452","174.86643981933594","228.15562438964844","4","1.6785","2013-01-03T12:59:12.999Z","","",""
"1","163","53.849117","-1.635496","175.021484375","229.91148376464844","4","1.6882","2013-01-03T12:59:14.999Z","","",""
"1","164","53.849108","-1.635525","175.0386505126953","235.69871520996094","4","1.6893","2013-01-03T12:59:15.999Z","","",""
"1","165","53.849093","-1.63557","175.0432891845703","235.98439025878906","4","1.664","2013-01-03T12:59:17.999Z","","",""
"1","166","53.849084","-1.635595","175.02835083007813","237.5176239013672","4","1.6498","2013-01-03T12:59:18.999Z","","",""
"1","167","53.849065","-1.63564","175.07118225097656","241.26930236816406","4","1.6417","2013-01-03T12:59:20.999Z","","",""
"1","168","53.849056","-1.635662","175.14779663085938","240.39187622070313","4","1.6436","2013-01-03T12:59:21.999Z","","",""
"1","169","53.849035","-1.635703","175.1724395751953","229.80694580078125","4","1.649","2013-01-03T12:59:23.999Z","","",""
"1","170","53.849025","-1.63572","175.18389892578125","232.33567810058594","4","1.6452","2013-01-03T12:59:24.999Z","","",""
"1","171","53.849003","-1.635754","175.29812622070313","226.51304626464844","4","1.638","2013-01-03T12:59:26.999Z","","",""
"1","172","53.84899","-1.635775","175.3848419189453","224.99700927734375","4","1.6481","2013-01-03T12:59:27.999Z","","",""
"1","173","53.848978","-1.635845","175.68740844726563","284.6251220703125","4","1.5445","2013-01-03T12:59:31.999Z","","",""
