"Name","Activity type","Description"
"Boat To Hispania","boat",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","56.525507","-5.938523","-104.53485870361328","","200","0","2013-08-22T07:09:32.293Z","","",""
"1","2","56.525507","-5.938523","-104.53485870361328","0.0","200","0","2013-08-22T07:09:38.293Z","","",""
"1","3","56.525841","-5.939183","472.07769775390625","0.0","128","0","2013-08-22T07:09:39.293Z","","",""
"1","4","56.525782","-5.939041","276.4065246582031","0.0","128","0","2013-08-22T07:09:40.293Z","","",""
"1","5","56.52571","-5.938839","278.0459289550781","0.0","128","0","2013-08-22T07:09:41.293Z","","",""
"1","6","56.52571","-5.938839","278.0459289550781","0.0","128","0","2013-08-22T07:09:43.293Z","","",""
"1","7","56.525873","-5.938857","377.6558837890625","0.0","128","0","2013-08-22T07:09:44.293Z","","",""
"1","8","56.525873","-5.938857","377.6558837890625","0.0","128","0","2013-08-22T07:09:45.293Z","","",""
"1","9","56.526013","-5.938594","364.8476257324219","0.0","128","0","2013-08-22T07:09:46.293Z","","",""
"1","10","56.526013","-5.938594","364.8476257324219","0.0","128","0","2013-08-22T07:09:47.293Z","","",""
"1","11","56.52609","-5.938841","374.3994140625","0.0","128","0","2013-08-22T07:09:48.293Z","","",""
"1","12","56.52609","-5.938841","374.3994140625","0.0","128","0","2013-08-22T07:09:52.293Z","","",""
"1","13","56.525987","-5.939915","292.0952453613281","0.0","128","0","2013-08-22T07:09:53.293Z","","",""
"1","14","56.525987","-5.939915","292.0952453613281","0.0","128","0","2013-08-22T07:09:55.293Z","","",""
"1","15","56.525719","-5.939297","150.4720001220703","0.0","24","3.1672","2013-08-22T07:10:39.293Z","","",""
"1","16","56.525755","-5.939343","143.20249938964844","0.0","16","3.3969","2013-08-22T07:10:39.999Z","","",""
"1","17","56.525802","-5.939392","138.3013916015625","0.0","16","3.7962","2013-08-22T07:10:40.999Z","","",""
"1","18","56.525848","-5.939433","132.74786376953125","335.5650329589844","16","3.8299","2013-08-22T07:10:41.999Z","","",""
"1","19","56.525894","-5.939469","129.94871520996094","336.3965148925781","16","3.9925","2013-08-22T07:10:42.999Z","","",""
"1","20","56.525944","-5.939508","125.50507354736328","335.8603820800781","16","4.2059","2013-08-22T07:10:43.999Z","","",""
"1","21","56.525989","-5.93954","117.28485870361328","338.1849060058594","16","4.121","2013-08-22T07:10:44.999Z","","",""
"1","22","56.526033","-5.939569","109.80011749267578","339.6437683105469","16","4.1402","2013-08-22T07:10:45.999Z","","",""
"1","23","56.526074","-5.939601","111.32485961914063","336.87054443359375","16","4.2149","2013-08-22T07:10:46.999Z","","",""
"1","24","56.526111","-5.939632","104.95135498046875","337.7699890136719","12","4.2601","2013-08-22T07:10:47.999Z","","",""
"1","25","56.526148","-5.939661","100.1529541015625","338.2806701660156","12","4.3906","2013-08-22T07:10:48.999Z","","",""
"1","26","56.526182","-5.939693","95.14413452148438","335.6988830566406","12","4.4062","2013-08-22T07:10:49.999Z","","",""
"1","27","56.526215","-5.939724","90.76809692382813","335.00408935546875","12","4.4354","2013-08-22T07:10:50.999Z","","",""
"1","28","56.526249","-5.939754","87.86243438720703","338.2901916503906","12","4.49","2013-08-22T07:10:51.999Z","","",""
"1","29","56.526285","-5.939787","84.74359130859375","336.92193603515625","12","4.633","2013-08-22T07:10:52.999Z","","",""
"1","30","56.52632","-5.939819","82.71941375732422","338.0192565917969","12","4.5942","2013-08-22T07:10:53.999Z","","",""
"1","31","56.526358","-5.939858","81.87086486816406","335.66278076171875","12","4.7329","2013-08-22T07:10:54.999Z","","",""
"1","32","56.526396","-5.939895","81.50948333740234","336.8506164550781","12","4.7732","2013-08-22T07:10:55.999Z","","",""
"1","33","56.526434","-5.93993","79.71763610839844","335.6630554199219","12","4.8023","2013-08-22T07:10:56.999Z","","",""
"1","34","56.526473","-5.939964","77.44319152832031","334.859375","12","4.8369","2013-08-22T07:10:57.999Z","","",""
"1","35","56.526511","-5.94","76.77813720703125","333.708251953125","12","4.8453","2013-08-22T07:10:58.999Z","","",""
"1","36","56.526549","-5.940037","75.97825622558594","332.20123291015625","12","4.8556","2013-08-22T07:10:59.999Z","","",""
"1","37","56.526586","-5.940074","75.2257308959961","332.3168640136719","12","4.8659","2013-08-22T07:11:00.999Z","","",""
"1","38","56.526623","-5.94011","74.36323547363281","332.8838195800781","12","4.8706","2013-08-22T07:11:01.999Z","","",""
"1","39","56.526658","-5.940142","73.41032409667969","333.61383056640625","12","4.8627","2013-08-22T07:11:02.999Z","","",""
"1","40","56.526696","-5.940173","72.51203155517578","335.6353454589844","12","4.8831","2013-08-22T07:11:03.999Z","","",""
"1","41","56.526732","-5.940205","71.56556701660156","334.3510437011719","12","4.8858","2013-08-22T07:11:04.999Z","","",""
"1","42","56.526766","-5.940235","70.54235076904297","335.1564636230469","12","4.8709","2013-08-22T07:11:05.999Z","","",""
"1","43","56.526803","-5.940262","69.7516860961914","335.79345703125","12","4.8648","2013-08-22T07:11:06.999Z","","",""
"1","44","56.526839","-5.940292","69.3058853149414","334.4424133300781","12","4.8527","2013-08-22T07:11:07.999Z","","",""
"1","45","56.526877","-5.940324","69.04405212402344","333.7152404785156","12","4.8539","2013-08-22T07:11:08.999Z","","",""
"1","46","56.526912","-5.940357","68.67192077636719","332.894287109375","12","4.8353","2013-08-22T07:11:09.999Z","","",""
"1","47","56.526944","-5.940385","68.24773406982422","332.8019104003906","12","4.7807","2013-08-22T07:11:10.999Z","","",""
"1","48","56.526977","-5.940414","67.85682678222656","335.02691650390625","12","4.7421","2013-08-22T07:11:11.999Z","","",""
"1","49","56.527015","-5.940451","67.44355010986328","332.2701110839844","12","4.7798","2013-08-22T07:11:12.999Z","","",""
"1","50","56.527051","-5.940481","67.102783203125","334.65985107421875","12","4.7973","2013-08-22T07:11:13.999Z","","",""
"1","51","56.527089","-5.940512","66.68608856201172","335.1745300292969","12","4.8202","2013-08-22T07:11:14.999Z","","",""
"1","52","56.527127","-5.940543","66.3316879272461","336.60894775390625","12","4.8265","2013-08-22T07:11:15.999Z","","",""
"1","53","56.527165","-5.940578","66.11123657226563","333.5132141113281","12","4.8297","2013-08-22T07:11:16.999Z","","",""
"1","54","56.527203","-5.940608","65.76005554199219","337.9086608886719","12","4.8298","2013-08-22T07:11:17.999Z","","",""
"1","55","56.527241","-5.940639","65.4561996459961","336.09619140625","12","4.8259","2013-08-22T07:11:18.999Z","","",""
"1","56","56.527279","-5.940672","65.137939453125","336.56451416015625","12","4.8231","2013-08-22T07:11:19.999Z","","",""
"1","57","56.527317","-5.940702","64.7914810180664","335.1795349121094","12","4.8319","2013-08-22T07:11:20.999Z","","",""
"1","58","56.527354","-5.940744","64.79402160644531","332.53643798828125","12","4.852","2013-08-22T07:11:21.999Z","","",""
"1","59","56.527394","-5.940788","65.035888671875","335.8450927734375","12","4.8771","2013-08-22T07:11:22.999Z","","",""
"1","60","56.527432","-5.940828","65.39762115478516","336.86767578125","8","4.8614","2013-08-22T07:11:23.999Z","","",""
"1","61","56.52747","-5.94087","65.71851348876953","334.39825439453125","8","4.854","2013-08-22T07:11:24.999Z","","",""
"1","62","56.527508","-5.940907","65.9561767578125","336.0243225097656","8","4.8613","2013-08-22T07:11:25.999Z","","",""
"1","63","56.527544","-5.940941","66.16500091552734","334.8234558105469","8","4.8281","2013-08-22T07:11:26.999Z","","",""
"1","64","56.527581","-5.940975","66.18004608154297","333.574462890625","12","4.8202","2013-08-22T07:11:27.999Z","","",""
"1","65","56.527619","-5.941005","66.05957794189453","332.59906005859375","12","4.8102","2013-08-22T07:11:28.999Z","","",""
"1","66","56.527658","-5.941035","66.37635040283203","334.5952453613281","12","4.8132","2013-08-22T07:11:29.999Z","","",""
"1","67","56.527698","-5.941062","66.62010955810547","337.8768310546875","12","4.8265","2013-08-22T07:11:30.999Z","","",""
"1","68","56.527736","-5.941096","66.84492492675781","332.4515686035156","12","4.84","2013-08-22T07:11:31.999Z","","",""
"1","69","56.527776","-5.941132","67.00808715820313","332.8446044921875","12","4.8691","2013-08-22T07:11:32.999Z","","",""
"1","70","56.527817","-5.941163","67.14287567138672","334.81231689453125","12","4.8812","2013-08-22T07:11:33.999Z","","",""
"1","71","56.527855","-5.9412","67.26992797851563","331.4905090332031","12","4.8728","2013-08-22T07:11:34.999Z","","",""
"1","72","56.527896","-5.941237","67.29057312011719","332.9712829589844","12","4.8961","2013-08-22T07:11:35.999Z","","",""
"1","73","56.527935","-5.941273","67.030517578125","333.5890808105469","12","4.8935","2013-08-22T07:11:36.999Z","","",""
"1","74","56.527974","-5.941313","66.52548217773438","328.4083557128906","12","4.9048","2013-08-22T07:11:37.999Z","","",""
"1","75","56.528014","-5.941352","66.15117645263672","329.52783203125","12","4.91","2013-08-22T07:11:38.999Z","","",""
"1","76","56.528052","-5.941387","65.76329040527344","330.746826171875","12","4.8892","2013-08-22T07:11:39.999Z","","",""
"1","77","56.528093","-5.941421","65.52332305908203","335.3580017089844","12","4.889","2013-08-22T07:11:40.999Z","","",""
"1","78","56.528133","-5.94145","64.87886810302734","335.08465576171875","12","4.886","2013-08-22T07:11:41.999Z","","",""
"1","79","56.528174","-5.941482","64.08175659179688","333.2907409667969","12","4.9129","2013-08-22T07:11:42.999Z","","",""
"1","80","56.528215","-5.941516","63.53833770751953","333.0576171875","12","4.9285","2013-08-22T07:11:43.999Z","","",""
"1","81","56.528252","-5.941553","63.09848403930664","329.7478332519531","12","4.936","2013-08-22T07:11:44.999Z","","",""
"1","82","56.528291","-5.941584","63.04490661621094","334.2138671875","12","4.9398","2013-08-22T07:11:45.999Z","","",""
"1","83","56.528328","-5.941617","62.69545364379883","335.14813232421875","12","4.9427","2013-08-22T07:11:46.999Z","","",""
"1","84","56.528365","-5.941655","62.3443717956543","332.31781005859375","12","4.9658","2013-08-22T07:11:47.999Z","","",""
"1","85","56.528404","-5.941694","62.01982116699219","333.07049560546875","12","4.9987","2013-08-22T07:11:48.999Z","","",""
"1","86","56.52844","-5.941732","61.9388427734375","332.772216796875","12","5.0283","2013-08-22T07:11:49.999Z","","",""
"1","87","56.528475","-5.941768","62.03502655029297","331.3753967285156","12","5.046","2013-08-22T07:11:50.999Z","","",""
"1","88","56.528511","-5.941803","62.27677536010742","331.2218322753906","12","5.0423","2013-08-22T07:11:51.999Z","","",""
"1","89","56.528548","-5.941845","62.66176986694336","329.0565490722656","12","5.0652","2013-08-22T07:11:52.999Z","","",""
"1","90","56.528585","-5.941887","62.84969711303711","327.5696105957031","12","5.0913","2013-08-22T07:11:53.999Z","","",""
"1","91","56.528622","-5.94193","62.99911117553711","327.0324401855469","12","5.1178","2013-08-22T07:11:54.999Z","","",""
"1","92","56.528659","-5.941965","63.120887756347656","331.92236328125","12","5.1108","2013-08-22T07:11:55.999Z","","",""
"1","93","56.52869","-5.941998","63.08515930175781","335.22674560546875","12","5.0683","2013-08-22T07:11:56.999Z","","",""
"1","94","56.528723","-5.942038","62.96533966064453","331.6485595703125","12","5.0564","2013-08-22T07:11:57.999Z","","",""
"1","95","56.528754","-5.942082","62.70832824707031","331.6485595703125","12","5.0456","2013-08-22T07:11:58.999Z","","",""
"1","96","56.528787","-5.94213","62.121952056884766","327.99310302734375","12","5.0726","2013-08-22T07:11:59.999Z","","",""
"1","97","56.528825","-5.942179","61.3088493347168","328.1837158203125","12","5.1064","2013-08-22T07:12:00.999Z","","",""
