"Name","Activity type","Description"
"Boat To Hispania","boat",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","56.544227","-5.951111","63.03153991699219","339.31097412109375","12","4.558","2013-08-20T08:45:34.000Z","","",""
"1","2","56.544266","-5.951132","63.35543441772461","338.6449279785156","12","4.573","2013-08-20T08:45:35.000Z","","",""
"1","3","56.544299","-5.951155","63.379459381103516","335.8926696777344","12","4.5253","2013-08-20T08:45:36.000Z","","",""
"1","4","56.544338","-5.951176","63.51204299926758","341.7378234863281","12","4.5222","2013-08-20T08:45:37.000Z","","",""
"1","5","56.544377","-5.951202","63.504642486572266","338.5427551269531","12","4.5327","2013-08-20T08:45:38.000Z","","",""
"1","6","56.544414","-5.951229","63.46743392944336","338.474853515625","12","4.533","2013-08-20T08:45:39.000Z","","",""
"1","7","56.544455","-5.951254","63.40269470214844","341.4658508300781","12","4.5599","2013-08-20T08:45:40.000Z","","",""
"1","8","56.544493","-5.951282","63.479427337646484","337.26226806640625","12","4.5566","2013-08-20T08:45:41.000Z","","",""
"1","9","56.544533","-5.951305","63.52648162841797","342.148193359375","12","4.5647","2013-08-20T08:45:42.000Z","","",""
"1","10","56.544573","-5.951328","63.49155044555664","341.4971923828125","12","4.5892","2013-08-20T08:45:43.000Z","","",""
"1","11","56.544608","-5.951354","63.447662353515625","337.1793212890625","12","4.5583","2013-08-20T08:45:44.000Z","","",""
"1","12","56.54464","-5.951381","63.441036224365234","334.7219543457031","12","4.4763","2013-08-20T08:45:45.000Z","","",""
"1","13","56.544668","-5.951409","63.42280960083008","331.8125","8","4.371","2013-08-20T08:45:46.000Z","","",""
"1","14","56.544711","-5.951433","63.15316390991211","344.1707763671875","8","4.4385","2013-08-20T08:45:47.000Z","","",""
"1","15","56.544742","-5.951463","63.112884521484375","335.4377746582031","8","4.4029","2013-08-20T08:45:48.000Z","","",""
"1","16","56.544781","-5.951488","62.66975021362305","342.86676025390625","8","4.4433","2013-08-20T08:45:49.000Z","","",""
"1","17","56.544817","-5.951514","62.48417663574219","339.1419372558594","8","4.4595","2013-08-20T08:45:50.000Z","","",""
"1","18","56.544857","-5.951537","62.4784049987793","341.6244812011719","8","4.5015","2013-08-20T08:45:51.000Z","","",""
"1","19","56.544897","-5.951562","62.63315200805664","340.30169677734375","8","4.5403","2013-08-20T08:45:52.000Z","","",""
"1","20","56.544941","-5.951587","62.74873733520508","342.5815124511719","8","4.6144","2013-08-20T08:45:53.000Z","","",""
"1","21","56.544985","-5.95161","62.5806770324707","344.2061767578125","12","4.6369","2013-08-20T08:45:54.000Z","","",""
"1","22","56.54503","-5.951641","62.33704376220703","342.812255859375","12","4.6571","2013-08-20T08:45:55.000Z","","",""
"1","23","56.545067","-5.951671","62.25089645385742","336.3319091796875","12","4.6282","2013-08-20T08:45:56.000Z","","",""
"1","24","56.545107","-5.951695","62.29106521606445","339.77813720703125","12","4.6021","2013-08-20T08:45:57.000Z","","",""
"1","25","56.545151","-5.951719","62.30781555175781","342.8238525390625","12","4.6349","2013-08-20T08:45:58.000Z","","",""
"1","26","56.545195","-5.951748","62.56381607055664","339.455322265625","12","4.677","2013-08-20T08:45:59.000Z","","",""
"1","27","56.545236","-5.951774","62.618927001953125","339.3896179199219","12","4.6865","2013-08-20T08:46:00.000Z","","",""
