"Name","Activity type","Description"
"Cycle Home Through Wood","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.807749","-1.557522","140.83834838867188","","16","0","2013-08-26T15:58:41.518Z","","",""
"1","2","53.807749","-1.557522","127.68704223632813","0.0","12","0","2013-08-26T15:58:55.000Z","","",""
"1","3","53.807825","-1.557636","126.73419952392578","0.0","12","0","2013-08-26T15:58:56.000Z","","",""
"1","4","53.807842","-1.557704","125.51707458496094","0.0","12","2.5444","2013-08-26T15:58:58.000Z","","",""
"1","5","53.807856","-1.557751","125.76981353759766","0.0","16","2.5444","2013-08-26T15:58:59.000Z","","",""
"1","6","53.807861","-1.557799","126.244384765625","0.0","16","3.2111","2013-08-26T15:59:00.000Z","","",""
"1","7","53.807867","-1.557853","126.15554809570313","0.0","16","3.2111","2013-08-26T15:59:01.000Z","","",""
"1","8","53.807872","-1.557915","125.71734619140625","0.0","16","3.2555","2013-08-26T15:59:02.000Z","","",""
"1","9","53.807876","-1.557977","126.36100006103516","0.0","16","3.2555","2013-08-26T15:59:03.000Z","","",""
"1","10","53.807881","-1.558042","127.02079010009766","0.0","16","3.67","2013-08-26T15:59:04.000Z","","",""
"1","11","53.807887","-1.55812","125.37525939941406","0.0","16","4.1478","2013-08-26T15:59:05.000Z","","",""
"1","12","53.807895","-1.558196","123.36785888671875","0.0","16","4.1891","2013-08-26T15:59:06.000Z","","",""
"1","13","53.807906","-1.558272","121.31868743896484","284.22015380859375","24","4.3242","2013-08-26T15:59:07.000Z","","",""
"1","14","53.807915","-1.558343","121.59566497802734","283.8616638183594","24","4.3915","2013-08-26T15:59:08.000Z","","",""
"1","15","53.807924","-1.558413","120.5340805053711","284.22015380859375","24","4.3915","2013-08-26T15:59:09.000Z","","",""
"1","16","53.807933","-1.558492","120.77703857421875","284.22015380859375","24","4.4162","2013-08-26T15:59:10.000Z","","",""
"1","17","53.807941","-1.558567","120.97648620605469","284.22015380859375","24","4.4403","2013-08-26T15:59:11.000Z","","",""
"1","18","53.807936","-1.558642","120.96270751953125","275.0148620605469","24","4.412","2013-08-26T15:59:12.000Z","","",""
"1","19","53.807926","-1.558721","120.92810821533203","270.6906433105469","24","4.4072","2013-08-26T15:59:13.000Z","","",""
"1","20","53.807931","-1.558811","121.93202209472656","277.5706481933594","16","4.4097","2013-08-26T15:59:14.000Z","","",""
"1","21","53.807937","-1.558901","123.43495178222656","277.660400390625","16","4.4108","2013-08-26T15:59:15.000Z","","",""
"1","22","53.807944","-1.558978","123.58445739746094","280.85906982421875","16","4.3644","2013-08-26T15:59:16.000Z","","",""
"1","23","53.807952","-1.559041","123.7319564819336","282.2799072265625","16","4.254","2013-08-26T15:59:17.000Z","","",""
"1","24","53.807961","-1.559103","123.86857604980469","282.2799072265625","16","4.1546","2013-08-26T15:59:18.000Z","","",""
"1","25","53.807967","-1.559174","124.17793273925781","285.2559814453125","24","3.6234","2013-08-26T15:59:20.000Z","","",""
"1","26","53.807956","-1.559197","124.38506317138672","208.07009887695313","24","3.3136","2013-08-26T15:59:21.000Z","","",""
"1","27","53.807925","-1.559231","125.16283416748047","336.14239501953125","16","0.3886","2013-08-26T15:59:24.000Z","","",""
"1","28","53.807909","-1.55923","125.18058013916016","336.14239501953125","16","0","2013-08-26T15:59:25.000Z","","",""
"1","29","53.807888","-1.55927","125.29765319824219","296.6907958984375","16","0","2013-08-26T15:59:32.000Z","","",""
"1","30","53.807898","-1.559311","125.2342758178711","301.65496826171875","16","2.9083","2013-08-26T15:59:33.000Z","","",""
"1","31","53.807917","-1.559384","124.0738525390625","298.4488830566406","24","3.4624","2013-08-26T15:59:34.000Z","","",""
"1","32","53.807934","-1.559461","122.87996673583984","297.4004821777344","24","3.8957","2013-08-26T15:59:35.000Z","","",""
"1","33","53.807953","-1.559557","122.45692443847656","295.9245910644531","24","4.226","2013-08-26T15:59:36.000Z","","",""
