"Name","Activity type","Description"
"Cycle To Paul's","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842871","-1.630524","149.6558380126953","","128","","2013-06-30T10:06:58.788Z","","",""
"1","2","53.842871","-1.630524","149.6558380126953","","128","0","2013-06-30T10:07:00.788Z","","",""
"1","3","53.843038","-1.630811","168.1595916748047","","64","0","2013-06-30T10:07:03.783Z","","",""
"1","4","53.843038","-1.630811","168.1595916748047","","64","0","2013-06-30T10:07:05.783Z","","",""
"1","5","53.842869","-1.630665","172.51918029785156","","64","","2013-06-30T10:07:10.783Z","","",""
"1","6","53.842869","-1.630665","173.50143432617188","","64","0","2013-06-30T10:07:13.783Z","","",""
"1","7","53.842888","-1.630209","188.74581909179688","","64","0","2013-06-30T10:07:16.783Z","","",""
"1","8","53.842888","-1.630209","188.74581909179688","","64","0","2013-06-30T10:07:18.783Z","","",""
"1","9","53.842847","-1.630714","166.42657470703125","","32","0","2013-06-30T10:07:20.783Z","","",""
"1","10","53.842847","-1.630714","162.43014526367188","0.0","8","0","2013-06-30T10:07:34.999Z","","",""
"1","11","53.842891","-1.630736","162.64476013183594","0.0","8","0.8371","2013-06-30T10:07:35.999Z","","",""
"1","12","53.842854","-1.630727","163.32090759277344","163.92825317382813","12","0","2013-06-30T10:07:58.999Z","","",""
"1","13","53.842817","-1.63072","163.28622436523438","171.32237243652344","12","0","2013-06-30T10:07:59.999Z","","",""
"1","14","53.842787","-1.630713","163.19789123535156","170.53118896484375","12","0","2013-06-30T10:08:00.999Z","","",""
"1","15","53.842766","-1.630704","163.12100219726563","162.5662841796875","12","1.3139","2013-06-30T10:08:01.999Z","","",""
"1","16","53.842742","-1.630672","163.21775817871094","155.8282470703125","8","2.3452","2013-06-30T10:08:10.999Z","","",""
"1","17","53.842719","-1.63066","163.20974731445313","157.31680297851563","16","3.0619","2013-06-30T10:08:11.999Z","","",""
"1","18","53.842693","-1.630645","163.22315979003906","157.71282958984375","16","3.3086","2013-06-30T10:08:12.999Z","","",""
"1","19","53.842661","-1.630627","163.23574829101563","155.3761444091797","16","3.7154","2013-06-30T10:08:13.999Z","","",""
"1","20","53.842636","-1.630616","163.21078491210938","155.31344604492188","12","3.6588","2013-06-30T10:08:14.999Z","","",""
"1","21","53.842613","-1.630584","163.21669006347656","135.64271545410156","12","3.6563","2013-06-30T10:08:15.999Z","","",""
"1","22","53.842587","-1.630548","163.22311401367188","136.36367797851563","12","3.8553","2013-06-30T10:08:16.999Z","","",""
"1","23","53.842568","-1.630503","163.18406677246094","117.92012786865234","12","3.6993","2013-06-30T10:08:17.999Z","","",""
"1","24","53.842562","-1.630464","163.11346435546875","99.43882751464844","16","3.5416","2013-06-30T10:08:18.999Z","","",""
"1","25","53.842554","-1.630419","163.05332946777344","98.66218566894531","16","3.5596","2013-06-30T10:08:19.999Z","","",""
"1","26","53.842562","-1.630362","162.8928985595703","74.1220474243164","16","3.584","2013-06-30T10:08:20.999Z","","",""
"1","27","53.842586","-1.630307","162.68849182128906","48.26527786254883","12","3.5837","2013-06-30T10:08:21.999Z","","",""
"1","28","53.842606","-1.63025","162.51829528808594","68.90583801269531","12","3.5834","2013-06-30T10:08:22.999Z","","",""
"1","29","53.842639","-1.630225","160.8140411376953","12.652854919433594","12","3.6543","2013-06-30T10:08:23.999Z","","",""
"1","30","53.842675","-1.630185","159.2413787841797","12.652854919433594","12","3.7181","2013-06-30T10:08:24.999Z","","",""
"1","31","53.842722","-1.63014","158.35321044921875","22.572898864746094","12","3.875","2013-06-30T10:08:25.999Z","","",""
"1","32","53.842773","-1.630092","157.20452880859375","18.12959861755371","12","4.0163","2013-06-30T10:08:26.999Z","","",""
"1","33","53.84284","-1.630058","156.08900451660156","15.320173263549805","12","4.3139","2013-06-30T10:08:27.999Z","","",""
"1","34","53.842901","-1.630021","154.5416259765625","21.87870216369629","12","4.5641","2013-06-30T10:08:28.999Z","","",""
"1","35","53.84296","-1.629983","153.111572265625","24.243005752563477","12","4.7522","2013-06-30T10:08:29.999Z","","",""
"1","36","53.843007","-1.629943","151.4875946044922","29.672319412231445","12","4.8447","2013-06-30T10:08:30.999Z","","",""
"1","37","53.843038","-1.6299","151.36099243164063","42.32783889770508","12","4.7469","2013-06-30T10:08:31.999Z","","",""
"1","38","53.843057","-1.629849","151.28419494628906","60.18413162231445","16","4.5097","2013-06-30T10:08:32.999Z","","",""
"1","39","53.843062","-1.629802","151.0119171142578","42.05021667480469","12","1.3267","2013-06-30T10:08:39.999Z","","",""
"1","40","53.843068","-1.629757","150.95828247070313","75.74967956542969","16","2.3755","2013-06-30T10:08:40.999Z","","",""
"1","41","53.843077","-1.629725","150.9091033935547","64.21947479248047","16","2.5308","2013-06-30T10:08:41.999Z","","",""
"1","42","53.843063","-1.629676","150.89805603027344","114.82986450195313","16","3.0329","2013-06-30T10:08:42.999Z","","",""
"1","43","53.843026","-1.629612","150.82708740234375","134.34780883789063","16","4.2003","2013-06-30T10:08:43.999Z","","",""
"1","44","53.842971","-1.629524","150.7080078125","138.12103271484375","16","5.4673","2013-06-30T10:08:44.999Z","","",""
"1","45","53.842912","-1.629426","150.9469757080078","136.6075897216797","16","6.2222","2013-06-30T10:08:45.999Z","","",""
"1","46","53.842845","-1.629318","150.40380859375","136.38946533203125","16","8.2868","2013-06-30T10:08:46.999Z","","",""
"1","47","53.842771","-1.629201","150.13809204101563","135.6895294189453","12","8.6316","2013-06-30T10:08:47.999Z","","",""
"1","48","53.842699","-1.629075","150.49398803710938","135.47238159179688","12","9.2392","2013-06-30T10:08:48.999Z","","",""
"1","49","53.842631","-1.62896","150.32081604003906","134.28005981445313","12","9.1905","2013-06-30T10:08:49.999Z","","",""
"1","50","53.842571","-1.628858","149.62234497070313","132.97756958007813","12","8.4657","2013-06-30T10:08:50.999Z","","",""
"1","51","53.842507","-1.628744","150.02114868164063","131.51019287109375","12","9.3356","2013-06-30T10:08:51.999Z","","",""
"1","52","53.842443","-1.628619","150.13893127441406","129.1890411376953","12","9.6307","2013-06-30T10:08:52.999Z","","",""
"1","53","53.842382","-1.628497","150.2522430419922","129.26312255859375","12","9.5271","2013-06-30T10:08:53.999Z","","",""
"1","54","53.842327","-1.628373","150.21937561035156","127.5855712890625","12","9.4506","2013-06-30T10:08:54.999Z","","",""
"1","55","53.842276","-1.628247","150.08680725097656","125.68696594238281","12","9.2493","2013-06-30T10:08:55.999Z","","",""
"1","56","53.84222","-1.62811","149.90621948242188","124.12669372558594","12","9.0878","2013-06-30T10:08:56.999Z","","",""
