"Name","Activity type","Description"
"Enough Walk","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","55.876596","-3.336615","270.94708251953125","","32","0","2012-08-17T10:26:20.102Z","","",""
"1","2","55.876596","-3.336615","270.94708251953125","","32","0","2012-08-17T10:26:20.102Z","","",""
"1","3","55.876596","-3.336615","252.08750915527344","0.0","32","0","2012-08-17T10:26:21.102Z","","",""
"1","4","55.876491","-3.336606","255.5132598876953","0.0","32","0","2012-08-17T10:26:22.103Z","","",""
"1","5","55.876491","-3.336606","255.5132598876953","0.0","32","0","2012-08-17T10:26:22.103Z","","",""
"1","6","55.876491","-3.336606","259.0257873535156","0.0","32","0","2012-08-17T10:26:27.106Z","","",""
"1","7","55.876454","-3.336661","256.5666198730469","0.0","8","1.4404","2012-08-17T10:26:31.000Z","","",""
"1","8","55.876399","-3.336655","247.92147827148438","150.12550354003906","12","1.6538","2012-08-17T10:26:35.000Z","","",""
"1","9","55.876399","-3.336655","247.92147827148438","150.12550354003906","12","1.6538","2012-08-17T10:26:35.000Z","","",""
"1","10","55.876399","-3.336655","247.92147827148438","147.35491943359375","42","1.6538","2012-08-17T10:26:35.999Z","","",""
"1","11","55.876344","-3.336621","250.29019165039063","157.906005859375","6","1.2616","2012-08-17T10:26:40.999Z","","",""
"1","12","55.876291","-3.336578","248.77304077148438","151.2247314453125","12","1.64","2012-08-17T10:26:44.999Z","","",""
"1","13","55.876241","-3.336528","251.81610107421875","147.6454315185547","8","1.5575","2012-08-17T10:26:48.999Z","","",""
"1","14","55.876188","-3.336484","251.68910217285156","164.73683166503906","12","1.6452","2012-08-17T10:26:52.999Z","","",""
"1","15","55.876131","-3.336457","251.67567443847656","159.6105499267578","6","1.1317","2012-08-17T10:26:56.999Z","","",""
"1","16","55.876083","-3.336435","251.47039794921875","181.71290588378906","8","1.1999","2012-08-17T10:27:00.999Z","","",""
"1","17","55.876029","-3.33643","251.23829650878906","169.2716522216797","8","1.3083","2012-08-17T10:27:04.999Z","","",""
"1","18","55.875975","-3.336403","251.2335968017578","169.81008911132813","8","1.3299","2012-08-17T10:27:08.999Z","","",""
"1","19","55.87592","-3.336391","251.09910583496094","176.47885131835938","12","1.3286","2012-08-17T10:27:12.999Z","","",""
"1","20","55.875865","-3.336373","250.89149475097656","215.74229431152344","12","1.1821","2012-08-17T10:27:16.999Z","","",""
"1","21","55.87582","-3.336387","250.6901092529297","179.00921630859375","12","1.2618","2012-08-17T10:27:20.999Z","","",""
"1","22","55.875776","-3.336349","250.6018829345703","145.1649169921875","8","1.3449","2012-08-17T10:27:23.999Z","","",""
"1","23","55.875735","-3.336299","250.7993927001953","142.73377990722656","8","1.365","2012-08-17T10:27:26.999Z","","",""
"1","24","55.875694","-3.336239","251.01190185546875","140.95220947265625","8","1.3816","2012-08-17T10:27:29.999Z","","",""
"1","25","55.875656","-3.336186","251.18902587890625","160.52915954589844","8","1.3828","2012-08-17T10:27:32.999Z","","",""
"1","26","55.875615","-3.336143","251.31036376953125","165.69894409179688","6","1.4284","2012-08-17T10:27:35.999Z","","",""
"1","27","55.875569","-3.336074","251.61195373535156","139.8647003173828","8","1.4313","2012-08-17T10:27:39.999Z","","",""
"1","28","55.875524","-3.336023","251.96658325195313","148.76060485839844","6","1.4085","2012-08-17T10:27:43.999Z","","",""
"1","29","55.87547","-3.335997","252.5452880859375","186.08322143554688","8","1.3445","2012-08-17T10:27:48.999Z","","",""
"1","30","55.875418","-3.335991","252.96173095703125","155.18983459472656","8","1.3565","2012-08-17T10:27:52.999Z","","",""
"1","31","55.875368","-3.335951","253.14366149902344","150.2548370361328","8","1.394","2012-08-17T10:27:56.999Z","","",""
"1","32","55.87531","-3.335913","253.16510009765625","152.48980712890625","8","1.4972","2012-08-17T10:28:00.999Z","","",""
"1","33","55.875259","-3.335864","253.25645446777344","143.45140075683594","12","1.5102","2012-08-17T10:28:04.999Z","","",""
"1","34","55.875204","-3.335825","253.62338256835938","153.41973876953125","8","1.4782","2012-08-17T10:28:08.999Z","","",""
"1","35","55.875162","-3.335789","253.8562469482422","154.19248962402344","8","1.5093","2012-08-17T10:28:11.999Z","","",""
"1","36","55.875117","-3.335755","254.35113525390625","151.74891662597656","6","1.5124","2012-08-17T10:28:14.999Z","","",""
"1","37","55.875075","-3.335719","254.5697021484375","145.68382263183594","8","1.4909","2012-08-17T10:28:17.999Z","","",""
"1","38","55.875029","-3.335686","254.5975799560547","152.10093688964844","12","1.4985","2012-08-17T10:28:20.999Z","","",""
"1","39","55.874977","-3.335664","254.7236785888672","178.16372680664063","8","1.4712","2012-08-17T10:28:23.999Z","","",""
"1","40","55.874928","-3.335616","255.3319091796875","145.59210205078125","8","1.506","2012-08-17T10:28:27.999Z","","",""
"1","41","55.874876","-3.335577","255.5804901123047","143.86492919921875","16","1.4434","2012-08-17T10:28:31.999Z","","",""
"1","42","55.874828","-3.335531","255.89926147460938","155.7195281982422","8","1.3984","2012-08-17T10:28:35.999Z","","",""
"1","43","55.874778","-3.335502","256.62615966796875","142.18333435058594","12","1.3606","2012-08-17T10:28:39.999Z","","",""
"1","44","55.874731","-3.335481","257.0469055175781","163.27703857421875","8","1.3279","2012-08-17T10:28:43.999Z","","",""
"1","45","55.87468","-3.335452","257.2625732421875","137.37103271484375","6","1.2995","2012-08-17T10:28:47.999Z","","",""
"1","46","55.874632","-3.335415","257.95599365234375","171.54269409179688","12","0.6163","2012-08-17T10:28:54.999Z","","",""
"1","47","55.874586","-3.335399","258.997802734375","157.107177734375","16","0.9738","2012-08-17T10:28:59.999Z","","",""
"1","48","55.874542","-3.335365","259.61993408203125","161.75234985351563","8","0.9332","2012-08-17T10:29:03.999Z","","",""
"1","49","55.874497","-3.335339","259.6017150878906","153.88792419433594","8","1.0269","2012-08-17T10:29:06.999Z","","",""
"1","50","55.874448","-3.335296","258.84014892578125","167.28704833984375","24","1.0953","2012-08-17T10:29:11.999Z","","",""
"1","51","55.874396","-3.335266","258.28814697265625","146.6514892578125","8","1.1665","2012-08-17T10:29:14.999Z","","",""
"1","52","55.874347","-3.335247","257.8130187988281","176.4549560546875","8","1.0674","2012-08-17T10:29:17.999Z","","",""
"1","53","55.874292","-3.335215","257.5447998046875","142.6508026123047","8","1.0094","2012-08-17T10:29:21.999Z","","",""
"1","54","55.87425","-3.335155","257.3126525878906","115.85079193115234","8","0.8642","2012-08-17T10:29:26.999Z","","",""
"1","55","55.874199","-3.335136","256.66796875","173.91282653808594","12","1.0263","2012-08-17T10:29:31.999Z","","",""
"1","56","55.874149","-3.335103","255.38067626953125","158.36473083496094","24","1.1381","2012-08-17T10:29:36.999Z","","",""
"1","57","55.87411","-3.33506","254.30984497070313","147.9705810546875","24","1.1596","2012-08-17T10:29:39.999Z","","",""
"1","58","55.874058","-3.33502","252.72467041015625","169.67677307128906","12","1.2501","2012-08-17T10:29:43.999Z","","",""
"1","59","55.874004","-3.33499","252.05276489257813","161.245361328125","12","1.3283","2012-08-17T10:29:46.999Z","","",""
"1","60","55.873951","-3.334946","252.3340606689453","162.86459350585938","8","1.3458","2012-08-17T10:29:49.999Z","","",""
"1","61","55.873896","-3.334902","252.8322296142578","157.34715270996094","8","1.3132","2012-08-17T10:29:52.999Z","","",""
"1","62","55.873851","-3.334876","253.12977600097656","168.24632263183594","8","1.3779","2012-08-17T10:29:54.999Z","","",""
"1","63","55.87379","-3.334849","253.45156860351563","160.6597442626953","12","1.4264","2012-08-17T10:29:57.999Z","","",""
"1","64","55.873737","-3.334828","253.64761352539063","158.9589385986328","8","1.3792","2012-08-17T10:29:59.999Z","","",""
"1","65","55.873691","-3.334812","253.85401916503906","166.60826110839844","8","1.312","2012-08-17T10:30:01.999Z","","",""
"1","66","55.873634","-3.334791","254.1580047607422","169.4948272705078","8","1.2578","2012-08-17T10:30:04.999Z","","",""
"1","67","55.873571","-3.334776","254.58322143554688","157.61587524414063","8","1.3208","2012-08-17T10:30:07.999Z","","",""
"1","68","55.873512","-3.334754","254.8895721435547","164.87936401367188","8","1.2996","2012-08-17T10:30:10.999Z","","",""
"1","69","55.873462","-3.334745","255.04531860351563","157.63467407226563","12","1.2637","2012-08-17T10:30:13.999Z","","",""
"1","70","55.873407","-3.33473","255.2622833251953","157.81204223632813","8","1.235","2012-08-17T10:30:16.999Z","","",""
"1","71","55.873358","-3.334712","255.29598999023438","162.56118774414063","6","1.2402","2012-08-17T10:30:19.999Z","","",""
"1","72","55.873313","-3.334691","255.4132537841797","162.0650634765625","6","1.3145","2012-08-17T10:30:22.999Z","","",""
"1","73","55.873266","-3.334663","255.566162109375","155.47401428222656","6","1.3335","2012-08-17T10:30:25.999Z","","",""
"1","74","55.873209","-3.334625","255.65415954589844","155.25735473632813","4","1.3173","2012-08-17T10:30:29.999Z","","",""
"1","75","55.87316","-3.334589","255.71902465820313","154.08096313476563","6","1.2927","2012-08-17T10:30:33.999Z","","",""
"1","76","55.873112","-3.334548","255.84591674804688","158.70806884765625","6","1.2314","2012-08-17T10:30:37.999Z","","",""
"1","77","55.873058","-3.334513","255.75437927246094","159.6156768798828","6","1.1722","2012-08-17T10:30:42.999Z","","",""
"1","78","55.873005","-3.334475","255.52822875976563","159.27403259277344","6","1.1597","2012-08-17T10:30:46.999Z","","",""
"1","79","55.872963","-3.334437","255.4425506591797","181.8140869140625","8","1.0687","2012-08-17T10:30:50.999Z","","",""
"1","80","55.872919","-3.334412","255.46446228027344","170.73106384277344","6","1.0458","2012-08-17T10:30:55.999Z","","",""
"1","81","55.872876","-3.334368","254.9286651611328","128.5115509033203","8","0.9619","2012-08-17T10:31:00.999Z","","",""
"1","82","55.872836","-3.334326","254.2300567626953","138.51416015625","8","0.8638","2012-08-17T10:31:05.999Z","","",""
"1","83","55.872784","-3.334288","253.2766571044922","156.26486206054688","8","0.8629","2012-08-17T10:31:10.999Z","","",""
"1","84","55.87274","-3.334263","252.90408325195313","141.9208221435547","8","0.8977","2012-08-17T10:31:13.999Z","","",""
"1","85","55.872672","-3.334234","252.47019958496094","154.73269653320313","12","0.9131","2012-08-17T10:31:16.999Z","","",""
"1","86","55.872624","-3.334203","251.68014526367188","155.8374481201172","8","0.9207","2012-08-17T10:31:21.999Z","","",""
"1","87","55.872581","-3.334167","251.3557891845703","156.97865295410156","12","0.9765","2012-08-17T10:31:24.999Z","","",""
"1","88","55.872527","-3.334141","250.65879821777344","154.9735565185547","8","1.0251","2012-08-17T10:31:28.999Z","","",""
"1","89","55.872478","-3.334103","249.87733459472656","141.30056762695313","16","0.9663","2012-08-17T10:31:34.999Z","","",""
"1","90","55.872441","-3.334053","248.7222442626953","143.4107666015625","8","0.4682","2012-08-17T10:31:40.999Z","","",""
"1","91","55.87239","-3.334026","247.1741180419922","170.1695556640625","8","0.9027","2012-08-17T10:31:45.999Z","","",""
"1","92","55.872345","-3.33401","245.4139404296875","151.35360717773438","16","0.8278","2012-08-17T10:31:49.999Z","","",""
"1","93","55.872295","-3.333973","243.60015869140625","170.0135040283203","16","0.9154","2012-08-17T10:31:53.999Z","","",""
"1","94","55.872244","-3.333935","242.27381896972656","144.13388061523438","16","1.0191","2012-08-17T10:31:57.999Z","","",""
"1","95","55.872202","-3.333896","240.40867614746094","105.8851318359375","16","0.6596","2012-08-17T10:32:02.999Z","","",""
"1","96","55.872158","-3.33385","239.0095977783203","160.5943145751953","16","0.7908","2012-08-17T10:32:06.999Z","","",""
"1","97","55.872108","-3.333814","238.15895080566406","168.57669067382813","12","0.8676","2012-08-17T10:32:11.999Z","","",""
"1","98","55.872051","-3.333788","238.41299438476563","152.95907592773438","16","0.9957","2012-08-17T10:32:16.999Z","","",""
"1","99","55.872001","-3.333741","239.17454528808594","134.2898712158203","12","0.9358","2012-08-17T10:32:20.999Z","","",""
"1","100","55.871941","-3.333695","240.27389526367188","135.30641174316406","8","0","2012-08-17T10:32:23.999Z","","",""
"1","101","55.871893","-3.333642","242.4259490966797","135.30641174316406","12","0","2012-08-17T10:32:28.999Z","","",""
