"Name","Activity type","Description"
"From Work West Park","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.807778","-1.556657","160.57009887695313","","16","0","2013-04-30T16:21:19.999Z","","",""
"1","2","53.807778","-1.556657","152.4447784423828","0.0","8","0","2013-04-30T16:21:40.999Z","","",""
"1","3","53.80783","-1.556638","152.38893127441406","0.0","8","1.3677","2013-04-30T16:21:41.999Z","","",""
"1","4","53.807801","-1.556666","152.3220672607422","0.0","12","0","2013-04-30T16:21:44.999Z","","",""
"1","5","53.807775","-1.556676","152.3212432861328","0.0","12","0","2013-04-30T16:21:45.999Z","","",""
"1","6","53.807749","-1.556685","152.3097381591797","190.78964233398438","12","0","2013-04-30T16:21:46.999Z","","",""
"1","7","53.807722","-1.556696","152.3239288330078","190.08912658691406","12","0","2013-04-30T16:21:47.999Z","","",""
"1","8","53.807688","-1.556714","152.39874267578125","191.2217254638672","12","1.6865","2013-04-30T16:21:49.999Z","","",""
"1","9","53.807672","-1.556725","152.46002197265625","192.27540588378906","12","1.9483","2013-04-30T16:21:50.999Z","","",""
"1","10","53.807646","-1.556756","152.1484832763672","307.9728698730469","12","2.8275","2013-04-30T16:21:52.999Z","","",""
"1","11","53.807643","-1.556797","151.91403198242188","315.5692443847656","12","3.3822","2013-04-30T16:21:53.999Z","","",""
"1","12","53.807636","-1.556885","151.7195587158203","277.70440673828125","12","4.1679","2013-04-30T16:21:54.999Z","","",""
"1","13","53.807631","-1.55697","151.5193634033203","274.5233154296875","12","4.0147","2013-04-30T16:21:55.999Z","","",""
"1","14","53.807628","-1.557036","151.30123901367188","276.43389892578125","12","3.705","2013-04-30T16:21:56.999Z","","",""
"1","15","53.80763","-1.557091","151.05943298339844","279.3603210449219","12","3.623","2013-04-30T16:21:57.999Z","","",""
"1","16","53.807638","-1.557149","150.80946350097656","278.8553771972656","12","3.7975","2013-04-30T16:21:58.999Z","","",""
"1","17","53.807647","-1.557221","148.16708374023438","278.3235168457031","12","4.3781","2013-04-30T16:21:59.999Z","","",""
"1","18","53.807656","-1.557301","145.8665771484375","277.11419677734375","12","4.3945","2013-04-30T16:22:00.999Z","","",""
