"Name","Activity type","Description"
"From Work","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.807733","-1.556881","163.79318237304688","","48","0","2012-07-23T15:09:42.936Z","","",""
"1","2","53.807733","-1.556881","163.79318237304688","","48","0","2012-07-23T15:09:42.936Z","","",""
"1","3","53.807733","-1.556881","151.27113342285156","0.0","32","0","2012-07-23T15:09:43.932Z","","",""
"1","4","53.80765","-1.556998","144.4014129638672","0.0","32","0","2012-07-23T15:09:44.932Z","","",""
"1","5","53.80765","-1.556998","144.4014129638672","0.0","32","0","2012-07-23T15:09:44.932Z","","",""
"1","6","53.80765","-1.556998","154.5326385498047","0.0","16","0","2012-07-23T15:10:02.000Z","","",""
"1","7","53.807596","-1.557034","150.98825073242188","0.0","12","4.2813","2012-07-23T15:10:04.000Z","","",""
"1","8","53.80756","-1.557142","150.46551513671875","0.0","16","9.2813","2012-07-23T15:10:05.000Z","","",""
"1","9","53.80752","-1.557234","150.2348175048828","240.81544494628906","24","10.2121","2012-07-23T15:10:06.000Z","","",""
"1","10","53.807425","-1.557253","148.01724243164063","199.42137145996094","24","12.4783","2012-07-23T15:10:07.000Z","","",""
"1","11","53.807348","-1.557267","146.54193115234375","200.7596435546875","24","9.5596","2012-07-23T15:10:08.000Z","","",""
"1","12","53.807275","-1.557276","144.1659393310547","202.48487854003906","24","9.0893","2012-07-23T15:10:09.000Z","","",""
"1","13","53.807254","-1.557359","140.83364868164063","282.7259826660156","48","3.7413","2012-07-23T15:10:13.000Z","","",""
"1","14","53.807259","-1.557458","140.56472778320313","282.1495056152344","48","4.075","2012-07-23T15:10:15.000Z","","",""
"1","15","53.807265","-1.557552","137.37086486816406","282.4343566894531","32","4.2171","2012-07-23T15:10:17.000Z","","",""
"1","16","53.807281","-1.557662","137.12733459472656","288.0144348144531","32","3.6897","2012-07-23T15:10:19.000Z","","",""
"1","17","53.807306","-1.557772","137.1358184814453","287.8534851074219","32","3.5938","2012-07-23T15:10:21.000Z","","",""
"1","18","53.807323","-1.557912","137.22601318359375","276.34466552734375","32","3.9934","2012-07-23T15:10:23.000Z","","",""
"1","19","53.807343","-1.558045","137.54446411132813","279.3500061035156","32","4.4085","2012-07-23T15:10:25.000Z","","",""
"1","20","53.807421","-1.558148","138.41766357421875","280.50213623046875","12","4.3137","2012-07-23T15:10:26.000Z","","",""
"1","21","53.80751","-1.558235","138.6859588623047","281.69873046875","12","4.5092","2012-07-23T15:10:27.000Z","","",""
"1","22","53.807577","-1.558295","138.66160583496094","282.1186218261719","12","4.3476","2012-07-23T15:10:28.000Z","","",""
"1","23","53.807639","-1.558346","138.84185791015625","300.3742370605469","12","4.8624","2012-07-23T15:10:29.000Z","","",""
"1","24","53.80769","-1.558395","138.9795379638672","298.43505859375","12","4.7808","2012-07-23T15:10:30.000Z","","",""
"1","25","53.807729","-1.558451","138.9148712158203","285.3642272949219","12","4.8507","2012-07-23T15:10:31.000Z","","",""
"1","26","53.807767","-1.558524","138.8290557861328","284.5685119628906","12","4.677","2012-07-23T15:10:32.000Z","","",""
"1","27","53.807799","-1.55859","138.87063598632813","283.2897033691406","12","4.3968","2012-07-23T15:10:33.000Z","","",""
"1","28","53.807828","-1.558662","138.55931091308594","281.9560852050781","8","4.494","2012-07-23T15:10:34.000Z","","",""
