"Name","Activity type","Description"
"Gazi - Monday","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","37.977312","23.721382","124.08544921875","","24","","2013-11-04T18:30:53.520Z","","",""
"1","2","37.977376","23.721317","99.25968933105469","322.0","5.762","1.6175","2013-11-04T18:31:13.749Z","","",""
"1","3","37.977384","23.721309","98.98616027832031","322.0","7.364","1.4579","2013-11-04T18:31:14.768Z","","",""
"1","4","37.977381","23.721312","97.4187240600586","322.0","8","0.3804","2013-11-04T18:31:17.764Z","","",""
"1","5","37.977378","23.721315","94.01813507080078","","7.958","0.1783","2013-11-04T18:31:18.748Z","","",""
"1","6","37.977371","23.721322","87.37293243408203","","9.969","0.0567","2013-11-04T18:31:25.746Z","","",""
"1","7","37.977399","23.72129","87.3717041015625","319.0","10.044","0.9863","2013-11-04T18:31:26.761Z","","",""
"1","8","37.977451","23.721225","87.39892578125","316.0","5.96","0.3985","2013-11-04T18:31:32.728Z","","",""
"1","9","37.977449","23.721227","87.4004135131836","","5.775","0.1762","2013-11-04T18:31:33.738Z","","",""
"1","10","37.977447","23.721229","87.39967346191406","","5.733","0.0362","2013-11-04T18:31:34.742Z","","",""
"1","11","37.977456","23.721223","87.42182159423828","331.0","5.703","0.4096","2013-11-04T18:31:35.716Z","","",""
"1","12","37.977484","23.721191","87.61844635009766","316.0","5.707","0.3929","2013-11-04T18:31:41.709Z","","",""
"1","13","37.977483","23.721192","87.64093780517578","","5.71","0.2217","2013-11-04T18:31:42.708Z","","",""
"1","14","37.97748","23.721196","88.08859252929688","","7.811","0.0275","2013-11-04T18:31:49.725Z","","",""
"1","15","37.977471","23.721172","88.39954376220703","245.0","7.931","0.6611","2013-11-04T18:31:50.730Z","","",""
"1","16","37.97741","23.72109","89.10942840576172","219.0","7.984","1.7913","2013-11-04T18:31:57.730Z","","",""
"1","17","37.977394","23.721079","89.21593475341797","216.0","7.967","1.8312","2013-11-04T18:31:58.725Z","","",""
"1","18","37.977362","23.721089","89.46991729736328","","7.57","0.2352","2013-11-04T18:32:05.785Z","","",""
"1","19","37.977363","23.721089","89.49846649169922","","8.694","0.1508","2013-11-04T18:32:06.789Z","","",""
"1","20","37.977369","23.72109","89.84606170654297","","7.936","0.0031","2013-11-04T18:32:17.739Z","","",""
"1","21","37.977325","23.721085","89.8751449584961","186.0","7.978","1.3714","2013-11-04T18:32:18.765Z","","",""
"1","22","37.977236","23.721073","90.37359619140625","187.0","7.972","2.5577","2013-11-04T18:32:21.754Z","","",""
"1","23","37.977223","23.721071","90.3944320678711","187.0","7.951","2.2481","2013-11-04T18:32:22.738Z","","",""
"1","24","37.977148","23.721046","91.28240203857422","198.0","7.959","0.6795","2013-11-04T18:32:30.727Z","","",""
"1","25","37.977137","23.721033","91.38555908203125","212.0","6.382","0.9367","2013-11-04T18:32:31.711Z","","",""
"1","26","37.977156","23.720937","91.36448669433594","296.0","5.763","1.176","2013-11-04T18:32:42.709Z","","",""
"1","27","37.977163","23.720923","91.32318878173828","299.0","5.889","1.2093","2013-11-04T18:32:43.867Z","","",""
"1","28","37.977219","23.720849","90.78236389160156","315.0","11.135","1.2994","2013-11-04T18:32:50.711Z","","",""
"1","29","37.977228","23.720839","90.60188293457031","316.0","10.778","1.3081","2013-11-04T18:32:51.733Z","","",""
"1","30","37.977281","23.720753","89.14832305908203","311.0","5.741","1.3037","2013-11-04T18:32:59.707Z","","",""
"1","31","37.977289","23.720742","88.95835876464844","311.0","5.799","1.2714","2013-11-04T18:33:00.769Z","","",""
"1","32","37.977345","23.720658","87.94147491455078","313.0","7.938","1.1546","2013-11-04T18:33:08.767Z","","",""
"1","33","37.977354","23.720645","87.77484130859375","312.0","7.971","1.2595","2013-11-04T18:33:09.769Z","","",""
"1","34","37.977404","23.720554","87.23917388916016","306.0","7.967","1.7798","2013-11-04T18:33:14.770Z","","",""
"1","35","37.977413","23.720534","87.09486389160156","304.0","7.944","1.8659","2013-11-04T18:33:15.753Z","","",""
"1","36","37.977466","23.720444","86.98616790771484","307.0","7.573","1.6041","2013-11-04T18:33:21.758Z","","",""
"1","37","37.977473","23.720429","87.0054931640625","305.0","7.797","1.5939","2013-11-04T18:33:22.731Z","","",""
"1","38","37.977515","23.720337","86.83258819580078","294.0","7.453","0.873","2013-11-04T18:33:31.725Z","","",""
"1","39","37.977518","23.720329","86.90059661865234","295.0","8.673","0.8314","2013-11-04T18:33:32.753Z","","",""
"1","40","37.977504","23.72022","86.9478530883789","258.0","7.997","0.6518","2013-11-04T18:33:44.720Z","","",""
"1","41","37.977503","23.720214","86.95655059814453","256.0","7.973","0.6167","2013-11-04T18:33:45.710Z","","",""
"1","42","37.977483","23.720122","87.04571533203125","256.0","9.507","1.2897","2013-11-04T18:33:53.730Z","","",""
"1","43","37.977483","23.720102","87.1063461303711","261.0","9.799","1.4142","2013-11-04T18:33:54.709Z","","",""
"1","44","37.97749","23.719995","87.43335723876953","272.0","8.977","1.7276","2013-11-04T18:33:59.707Z","","",""
"1","45","37.977491","23.719975","87.42451477050781","273.0","8.48","1.7124","2013-11-04T18:34:00.755Z","","",""
"1","46","37.977497","23.719864","87.65347290039063","276.0","9.489","1.9088","2013-11-04T18:34:05.738Z","","",""
"1","47","37.977501","23.719841","87.715576171875","278.0","9.819","1.9289","2013-11-04T18:34:06.735Z","","",""
"1","48","37.977533","23.719741","87.0876693725586","287.0","7.945","1.3092","2013-11-04T18:34:13.733Z","","",""
"1","49","37.977533","23.719727","87.05989837646484","281.0","7.969","1.2912","2013-11-04T18:34:14.735Z","","",""
"1","50","37.977556","23.719623","86.9027328491211","286.0","8.849","1.2177","2013-11-04T18:34:21.727Z","","",""
"1","51","37.977557","23.719614","86.80216217041016","286.0","8.391","1.1178","2013-11-04T18:34:22.725Z","","",""
"1","52","37.977591","23.719511","87.196533203125","297.0","8.404","1.3549","2013-11-04T18:34:30.738Z","","",""
"1","53","37.977597","23.719494","87.52332305908203","297.0","8.14","1.4417","2013-11-04T18:34:31.726Z","","",""
"1","54","37.977622","23.71939","89.0978775024414","293.0","7.952","1.106","2013-11-04T18:34:39.725Z","","",""
"1","55","37.977628","23.719378","89.29888916015625","297.0","7.96","1.1348","2013-11-04T18:34:40.725Z","","",""
"1","56","37.977639","23.719275","90.90531158447266","272.0","9.078","0.7791","2013-11-04T18:34:50.709Z","","",""
"1","57","37.977641","23.719263","90.96515655517578","276.0","8.433","0.8518","2013-11-04T18:34:51.706Z","","",""
"1","58","37.977649","23.719168","91.23365783691406","277.0","5.74","1.3771","2013-11-04T18:34:58.706Z","","",""
"1","59","37.97765","23.719146","91.31388854980469","276.0","5.759","1.5596","2013-11-04T18:34:59.727Z","","",""
"1","60","37.977661","23.71904","91.44098663330078","277.0","7.752","1.5483","2013-11-04T18:35:05.756Z","","",""
"1","61","37.97766","23.719019","91.47532653808594","274.0","8.09","1.5791","2013-11-04T18:35:06.909Z","","",""
"1","62","37.977664","23.718911","91.33650970458984","279.0","7.941","1.4624","2013-11-04T18:35:12.745Z","","",""
"1","63","37.977671","23.718902","91.29296112060547","287.0","7.962","1.3108","2013-11-04T18:35:13.752Z","","",""
"1","64","37.977691","23.718794","89.37394714355469","271.0","7.987","1.0117","2013-11-04T18:35:26.760Z","","",""
"1","65","37.97769","23.718778","89.17990112304688","270.0","7.945","1.1386","2013-11-04T18:35:27.735Z","","",""
"1","66","37.977704","23.718671","87.70491027832031","281.0","7.908","1.1925","2013-11-04T18:35:36.718Z","","",""
"1","67","37.977707","23.718662","87.57839965820313","283.0","7.977","1.0737","2013-11-04T18:35:37.748Z","","",""
"1","68","37.977744","23.718574","87.45343017578125","293.0","7.947","1.5742","2013-11-04T18:35:43.730Z","","",""
"1","69","37.977747","23.718549","87.4352798461914","289.0","7.951","1.7424","2013-11-04T18:35:44.724Z","","",""
"1","70","37.977771","23.718455","87.18057250976563","291.0","7.93","1.6744","2013-11-04T18:35:49.708Z","","",""
"1","71","37.977777","23.718441","87.0179214477539","293.0","7.962","1.6026","2013-11-04T18:35:50.718Z","","",""
