"Name","Activity type","Description"
"Golden Acre With Jacob","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.871007","-1.595845","169.0408477783203","","6","0","2013-03-31T14:50:17.000Z","","",""
"1","2","53.871004","-1.595911","175.0765838623047","0.0","24","1.3073","2013-03-31T14:50:32.000Z","","",""
"1","3","53.870994","-1.595921","175.01608276367188","0.0","6","0.9099","2013-03-31T14:50:33.000Z","","",""
"1","4","53.87098","-1.595959","174.94989013671875","0.0","8","1.0585","2013-03-31T14:50:34.000Z","","",""
"1","5","53.870969","-1.595994","174.9404754638672","0.0","8","1.1035","2013-03-31T14:50:35.000Z","","",""
"1","6","53.870958","-1.596045","174.85557556152344","0.0","12","1.0611","2013-03-31T14:50:37.000Z","","",""
"1","7","53.870946","-1.596064","174.7816162109375","0.0","12","1.5729","2013-03-31T14:50:38.000Z","","",""
"1","8","53.870916","-1.596034","174.35800170898438","132.89903259277344","8","1.1198","2013-03-31T14:50:42.000Z","","",""
"1","9","53.870904","-1.596015","174.2979736328125","134.98265075683594","8","1.4079","2013-03-31T14:50:43.000Z","","",""
"1","10","53.870882","-1.595963","174.09657287597656","119.73162078857422","8","1.1156","2013-03-31T14:50:46.000Z","","",""
"1","11","53.870874","-1.595946","174.03109741210938","124.31616973876953","8","1.1017","2013-03-31T14:50:47.000Z","","",""
"1","12","53.870849","-1.595911","173.94432067871094","136.11878967285156","8","1.2312","2013-03-31T14:50:49.000Z","","",""
"1","13","53.870836","-1.595899","173.93899536132813","139.5643310546875","6","1.0827","2013-03-31T14:50:50.000Z","","",""
"1","14","53.870802","-1.595856","173.9727325439453","129.553955078125","6","0","2013-03-31T14:50:54.000Z","","",""
"1","15","53.870781","-1.595824","174.03623962402344","136.0428924560547","6","1.1081","2013-03-31T14:50:55.000Z","","",""
"1","16","53.870762","-1.595786","174.22952270507813","123.04673767089844","8","0.8663","2013-03-31T14:50:57.000Z","","",""
"1","17","53.87075","-1.595765","174.25778198242188","124.80612182617188","8","1.1805","2013-03-31T14:50:58.000Z","","",""
"1","18","53.870715","-1.595727","174.06358337402344","141.36624145507813","8","1.0875","2013-03-31T14:51:02.000Z","","",""
"1","19","53.870706","-1.595723","173.98056030273438","151.00390625","8","1.165","2013-03-31T14:51:03.000Z","","",""
"1","20","53.870669","-1.595697","173.8179473876953","151.4273681640625","8","1.061","2013-03-31T14:51:06.000Z","","",""
"1","21","53.870656","-1.595686","173.8323211669922","153.72238159179688","8","1.2971","2013-03-31T14:51:07.000Z","","",""
"1","22","53.870619","-1.595654","174.02664184570313","139.9295196533203","6","1.2506","2013-03-31T14:51:10.000Z","","",""
"1","23","53.870611","-1.595645","174.05648803710938","134.86985778808594","8","1.22","2013-03-31T14:51:11.000Z","","",""
"1","24","53.870576","-1.595598","174.62950134277344","148.7284393310547","8","1.0712","2013-03-31T14:51:16.000Z","","",""
"1","25","53.870574","-1.595591","174.73434448242188","120.24441528320313","8","0.3863","2013-03-31T14:51:17.000Z","","",""
"1","26","53.870558","-1.595522","175.5902099609375","119.96128845214844","8","0.8898","2013-03-31T14:51:23.000Z","","",""
"1","27","53.870559","-1.595486","175.70484924316406","118.7092056274414","16","1.0368","2013-03-31T14:51:24.000Z","","",""
"1","28","53.870565","-1.595421","175.89463806152344","115.03813171386719","8","1.1671","2013-03-31T14:51:26.000Z","","",""
"1","29","53.870569","-1.595391","175.9430694580078","113.00184631347656","8","1.1784","2013-03-31T14:51:27.000Z","","",""
"1","30","53.870596","-1.595338","175.7034912109375","94.31214904785156","8","1.1598","2013-03-31T14:51:30.000Z","","",""
"1","31","53.87061","-1.595316","175.61424255371094","58.070796966552734","8","1.2035","2013-03-31T14:51:31.000Z","","",""
"1","32","53.870643","-1.595267","175.22926330566406","26.0440731048584","24","1.1735","2013-03-31T14:51:34.000Z","","",""
"1","33","53.870665","-1.59527","175.00750732421875","345.528076171875","16","1.2385","2013-03-31T14:51:35.000Z","","",""
"1","34","53.870702","-1.595253","174.2332305908203","327.99530029296875","24","1.1234","2013-03-31T14:51:39.000Z","","",""
"1","35","53.870711","-1.595261","174.09625244140625","324.462158203125","24","1.1876","2013-03-31T14:51:40.000Z","","",""
"1","36","53.870744","-1.595283","173.30697631835938","330.9669494628906","24","1.1636","2013-03-31T14:51:45.000Z","","",""
"1","37","53.870755","-1.595289","173.1732940673828","338.45941162109375","24","1.1836","2013-03-31T14:51:46.000Z","","",""
"1","38","53.870791","-1.595317","172.86483764648438","332.6473388671875","24","1.3081","2013-03-31T14:51:49.000Z","","",""
"1","39","53.870797","-1.595322","172.8051300048828","332.75421142578125","24","1.2698","2013-03-31T14:51:50.000Z","","",""
"1","40","53.870836","-1.59534","172.67137145996094","344.2995300292969","24","1.3669","2013-03-31T14:51:53.000Z","","",""
"1","41","53.870845","-1.595345","172.5714874267578","335.95843505859375","24","1.3281","2013-03-31T14:51:54.000Z","","",""
"1","42","53.870873","-1.595395","172.1655731201172","322.9121398925781","24","1.1907","2013-03-31T14:52:02.000Z","","",""
"1","43","53.870883","-1.595405","172.17955017089844","322.6005554199219","24","1.1787","2013-03-31T14:52:03.000Z","","",""
"1","44","53.87092","-1.595412","172.38352966308594","335.89263916015625","24","1.8252","2013-03-31T14:52:05.000Z","","",""
"1","45","53.870932","-1.595408","172.58168029785156","349.6845397949219","24","1.4808","2013-03-31T14:52:06.000Z","","",""
"1","46","53.870972","-1.595408","172.91156005859375","340.696533203125","24","1.3691","2013-03-31T14:52:09.000Z","","",""
"1","47","53.87099","-1.595411","172.94488525390625","339.662109375","24","1.4129","2013-03-31T14:52:10.000Z","","",""
"1","48","53.871033","-1.595405","172.858154296875","351.65948486328125","12","1.4224","2013-03-31T14:52:13.000Z","","",""
"1","49","53.871048","-1.595406","172.79037475585938","341.3385009765625","12","1.4197","2013-03-31T14:52:14.000Z","","",""
"1","50","53.871079","-1.595398","172.9059600830078","353.8931579589844","12","1.3844","2013-03-31T14:52:16.000Z","","",""
"1","51","53.871099","-1.595389","173.03656005859375","9.004045486450195","8","1.4003","2013-03-31T14:52:17.000Z","","",""
"1","52","53.871121","-1.595388","173.1199188232422","5.52288818359375","8","1.4243","2013-03-31T14:52:18.000Z","","",""
"1","53","53.871144","-1.595388","173.15208435058594","355.52587890625","8","1.437","2013-03-31T14:52:19.000Z","","",""
"1","54","53.87117","-1.595382","173.1728057861328","4.0010271072387695","8","1.4725","2013-03-31T14:52:20.000Z","","",""
"1","55","53.871195","-1.595373","173.17530822753906","11.575358390808105","8","1.4802","2013-03-31T14:52:21.000Z","","",""
"1","56","53.871221","-1.595367","173.1806182861328","5.895495414733887","8","1.4963","2013-03-31T14:52:22.000Z","","",""
"1","57","53.871248","-1.595356","173.18255615234375","13.323148727416992","8","1.5024","2013-03-31T14:52:23.000Z","","",""
"1","58","53.871273","-1.595346","173.21023559570313","20.844247817993164","8","1.5065","2013-03-31T14:52:24.000Z","","",""
"1","59","53.871298","-1.595339","173.28396606445313","15.11402702331543","8","1.5243","2013-03-31T14:52:25.000Z","","",""
"1","60","53.871324","-1.595333","173.35946655273438","11.99585247039795","8","1.5434","2013-03-31T14:52:26.000Z","","",""
"1","61","53.871347","-1.595334","173.47296142578125","3.9959285259246826","8","1.5646","2013-03-31T14:52:27.000Z","","",""
"1","62","53.871391","-1.595335","173.66087341308594","13.133874893188477","6","1.5747","2013-03-31T14:52:29.000Z","","",""
"1","63","53.871413","-1.595336","173.7670135498047","7.730247974395752","6","1.5866","2013-03-31T14:52:30.000Z","","",""
"1","64","53.87145","-1.595334","174.00445556640625","17.506235122680664","6","1.5555","2013-03-31T14:52:32.000Z","","",""
"1","65","53.871468","-1.595336","174.14405822753906","12.09893798828125","6","1.5521","2013-03-31T14:52:33.000Z","","",""
"1","66","53.871506","-1.595342","174.40560913085938","359.61737060546875","6","1.5608","2013-03-31T14:52:35.000Z","","",""
"1","67","53.871525","-1.595348","174.5311279296875","357.5173034667969","8","1.5388","2013-03-31T14:52:36.000Z","","",""
"1","68","53.87156","-1.595353","174.7173614501953","8.362406730651855","6","1.505","2013-03-31T14:52:38.000Z","","",""
"1","69","53.871577","-1.595352","174.8148651123047","13.338748931884766","6","1.5003","2013-03-31T14:52:39.000Z","","",""
"1","70","53.871611","-1.595359","175.01437377929688","3.4458515644073486","8","1.5005","2013-03-31T14:52:41.000Z","","",""
"1","71","53.871628","-1.595357","175.10572814941406","16.606689453125","12","1.5071","2013-03-31T14:52:42.000Z","","",""
"1","72","53.87166","-1.595358","175.2324981689453","5.558845520019531","12","1.5302","2013-03-31T14:52:44.000Z","","",""
"1","73","53.871674","-1.595357","175.34373474121094","10.588486671447754","16","1.4899","2013-03-31T14:52:45.000Z","","",""
"1","74","53.871713","-1.595364","175.58775329589844","346.0565490722656","16","1.4712","2013-03-31T14:52:47.000Z","","",""
"1","75","53.871728","-1.595371","175.66397094726563","331.42901611328125","16","1.4098","2013-03-31T14:52:48.000Z","","",""
"1","76","53.871758","-1.595408","175.7750244140625","318.4475402832031","8","1.385","2013-03-31T14:52:50.000Z","","",""
"1","77","53.871774","-1.595428","175.7558135986328","316.36920166015625","8","1.403","2013-03-31T14:52:51.000Z","","",""
"1","78","53.871805","-1.595478","175.7183380126953","299.9931640625","8","1.3676","2013-03-31T14:52:53.000Z","","",""
"1","79","53.871815","-1.595501","175.63986206054688","287.2482604980469","8","1.3244","2013-03-31T14:52:54.000Z","","",""
