"Name","Activity type","Description"
"Kate Birthday Walk 17/11/2012 12:02","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.524668","-1.655311","262.5116882324219","198.23443603515625","16","0.9211","2012-11-17T12:02:55.001Z","","",""
"1","2","53.524609","-1.655325","262.4643859863281","205.4468536376953","12","0.8814","2012-11-17T12:02:59.000Z","","",""
"1","3","53.524609","-1.655325","262.4643859863281","205.4468536376953","12","0.8814","2012-11-17T12:02:59.000Z","","",""
"1","4","53.524609","-1.655325","262.5620422363281","205.4468536376953","12","0","2012-11-17T12:03:01.000Z","","",""
"1","5","53.524561","-1.655373","262.78912353515625","202.65281677246094","12","0.9393","2012-11-17T12:03:04.000Z","","",""
"1","6","53.524561","-1.655373","262.78912353515625","202.65281677246094","12","0.9393","2012-11-17T12:03:04.000Z","","",""
"1","7","53.524561","-1.655373","263.1368103027344","202.65281677246094","12","0","2012-11-17T12:03:06.000Z","","",""
"1","8","53.524516","-1.655407","263.87933349609375","200.4672393798828","12","1.1023","2012-11-17T12:03:10.000Z","","",""
"1","9","53.524516","-1.655407","263.87933349609375","200.4672393798828","12","1.1023","2012-11-17T12:03:10.000Z","","",""
"1","10","53.524516","-1.655407","263.87933349609375","200.4672393798828","12","0","2012-11-17T12:03:12.000Z","","",""
"1","11","53.524464","-1.655396","264.6036682128906","187.06117248535156","12","0.8696","2012-11-17T12:03:17.000Z","","",""
"1","12","53.524464","-1.655396","264.6036682128906","187.06117248535156","12","0.8696","2012-11-17T12:03:17.000Z","","",""
"1","13","53.524464","-1.655396","264.6036682128906","187.06117248535156","12","0","2012-11-17T12:03:26.000Z","","",""
"1","14","53.524426","-1.655467","267.3106994628906","258.4585876464844","16","1.0694","2012-11-17T12:03:33.000Z","","",""
"1","15","53.524397","-1.655542","268.2747802734375","256.72381591796875","12","0.9294","2012-11-17T12:03:38.000Z","","",""
