"Name","Activity type","Description"
"Pedalo","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","46.292688","1.82127","331.818603515625","","48","0","2013-07-18T14:31:36.946Z","","",""
"1","2","46.292659","1.821223","315.54718017578125","0.0","6","1.3862","2013-07-18T14:31:47.000Z","","",""
"1","3","46.292639","1.821236","316.1935729980469","0.0","8","1.4806","2013-07-18T14:31:48.000Z","","",""
"1","4","46.292596","1.821237","313.3992614746094","193.11724853515625","6","1.1635","2013-07-18T14:31:52.000Z","","",""
"1","5","46.292592","1.821228","312.0718078613281","192.8980712890625","6","1.0519","2013-07-18T14:31:53.000Z","","",""
"1","6","46.292588","1.821216","311.10540771484375","222.03562927246094","8","0","2013-07-18T14:32:07.000Z","","",""
"1","7","46.292606","1.82111","311.0498352050781","339.6546936035156","8","1.0688","2013-07-18T14:32:08.000Z","","",""
"1","8","46.292645","1.821097","309.9842834472656","357.6107482910156","8","0.903","2013-07-18T14:32:13.000Z","","",""
"1","9","46.292658","1.82109","309.8279724121094","350.9012756347656","8","0.9678","2013-07-18T14:32:14.000Z","","",""
"1","10","46.292692","1.821067","309.4352722167969","337.1496887207031","8","1.0653","2013-07-18T14:32:17.000Z","","",""
"1","11","46.292699","1.821062","309.33819580078125","337.5971984863281","8","1.0426","2013-07-18T14:32:18.000Z","","",""
"1","12","46.292726","1.821025","308.67572021484375","343.3548889160156","8","1.1847","2013-07-18T14:32:22.000Z","","",""
"1","13","46.292732","1.821012","308.4189758300781","344.7983703613281","12","1.0474","2013-07-18T14:32:23.000Z","","",""
"1","14","46.292767","1.820985","307.25811767578125","3.233381509780884","6","0.9737","2013-07-18T14:32:27.000Z","","",""
"1","15","46.292778","1.820983","306.9698791503906","353.607666015625","6","1.2077","2013-07-18T14:32:28.000Z","","",""
"1","16","46.292814","1.820979","305.9783020019531","355.26666259765625","12","1.1638","2013-07-18T14:32:31.000Z","","",""
"1","17","46.292827","1.820979","305.6078186035156","359.2782287597656","12","1.4237","2013-07-18T14:32:32.000Z","","",""
"1","18","46.292869","1.820987","304.01617431640625","2.482032060623169","8","1.0555","2013-07-18T14:32:38.000Z","","",""
"1","19","46.292878","1.820988","303.8179931640625","353.2588806152344","8","1.6957","2013-07-18T14:32:39.000Z","","",""
"1","20","46.292918","1.820993","303.1405944824219","357.9433288574219","8","1.1252","2013-07-18T14:32:44.000Z","","",""
"1","21","46.292936","1.820991","302.9528503417969","353.411865234375","24","1.5513","2013-07-18T14:32:45.000Z","","",""
"1","22","46.292974","1.820996","302.14471435546875","8.127717018127441","12","1.4098","2013-07-18T14:32:48.000Z","","",""
"1","23","46.292987","1.820999","301.9019470214844","8.247943878173828","8","1.4064","2013-07-18T14:32:49.000Z","","",""
"1","24","46.293024","1.821004","301.1678161621094","5.546689033508301","12","1.3175","2013-07-18T14:32:52.000Z","","",""
"1","25","46.293038","1.821005","300.96044921875","358.49139404296875","12","1.3539","2013-07-18T14:32:53.000Z","","",""
"1","26","46.293072","1.821007","300.4147644042969","358.98052978515625","12","1.3713","2013-07-18T14:32:56.000Z","","",""
"1","27","46.293084","1.821006","300.2795104980469","358.73828125","12","1.3658","2013-07-18T14:32:57.000Z","","",""
"1","28","46.293117","1.821003","300.0320129394531","358.52215576171875","12","1.3553","2013-07-18T14:33:00.000Z","","",""
"1","29","46.29313","1.821002","300.0222473144531","358.50640869140625","12","1.3593","2013-07-18T14:33:01.000Z","","",""
"1","30","46.293159","1.820999","300.1054992675781","3.6719372272491455","12","1.3704","2013-07-18T14:33:03.000Z","","",""
"1","31","46.293178","1.820999","300.08624267578125","6.2674736976623535","16","1.3914","2013-07-18T14:33:04.000Z","","",""
"1","32","46.293222","1.821003","300.00286865234375","4.525079727172852","16","0","2013-07-18T14:33:07.000Z","","",""
"1","33","46.293348","1.821008","299.85247802734375","359.4222106933594","48","1.411","2013-07-18T14:33:16.000Z","","",""
"1","34","46.293313","1.821021","299.696533203125","359.6875915527344","32","0","2013-07-18T14:33:19.000Z","","",""
"1","35","46.293307","1.821058","299.606201171875","27.427112579345703","32","0.9457","2013-07-18T14:33:21.000Z","","",""
"1","36","46.293274","1.82105","299.4706115722656","20.278533935546875","32","0","2013-07-18T14:33:24.000Z","","",""
"1","37","46.293262","1.821029","299.4527282714844","20.278533935546875","32","0","2013-07-18T14:33:25.000Z","","",""
"1","38","46.293261","1.820976","299.4100036621094","20.278533935546875","32","0","2013-07-18T14:33:28.000Z","","",""
"1","39","46.293268","1.820964","299.3961181640625","20.278533935546875","32","0","2013-07-18T14:33:29.000Z","","",""
"1","40","46.293305","1.820969","299.3455810546875","20.278533935546875","32","0","2013-07-18T14:33:34.000Z","","",""
"1","41","46.293331","1.820996","299.11248779296875","58.21221160888672","32","0.728","2013-07-18T14:33:35.000Z","","",""
"1","42","46.293362","1.821015","298.7572326660156","1.6019548177719116","32","1.1614","2013-07-18T14:33:36.000Z","","",""
"1","43","46.293404","1.821042","298.422119140625","355.9801025390625","24","1.7135","2013-07-18T14:33:37.000Z","","",""
"1","44","46.293447","1.821056","298.1982116699219","1.1336352825164795","24","0","2013-07-18T14:33:38.000Z","","",""
"1","45","46.293474","1.821062","297.993408203125","351.60003662109375","24","1.6577","2013-07-18T14:33:39.000Z","","",""
"1","46","46.2935","1.821063","297.884033203125","343.39093017578125","24","1.5488","2013-07-18T14:33:40.000Z","","",""
"1","47","46.293533","1.821057","297.86395263671875","351.2652893066406","16","1.7918","2013-07-18T14:33:41.000Z","","",""
"1","48","46.293559","1.821048","297.82598876953125","346.65576171875","16","1.8035","2013-07-18T14:33:42.000Z","","",""
"1","49","46.293578","1.82104","297.8042297363281","351.5384521484375","16","1.7344","2013-07-18T14:33:43.000Z","","",""
"1","50","46.293618","1.821013","297.92474365234375","355.0750427246094","16","1.6404","2013-07-18T14:33:45.000Z","","",""
"1","51","46.293632","1.821007","298.0516357421875","12.844510078430176","16","1.5713","2013-07-18T14:33:46.000Z","","",""
"1","52","46.293663","1.820997","298.29925537109375","4.842023849487305","12","0","2013-07-18T14:33:48.000Z","","",""
"1","53","46.293678","1.820994","298.3330078125","6.39156436920166","12","1.4739","2013-07-18T14:33:49.000Z","","",""
"1","54","46.293712","1.820982","298.4857177734375","359.3770751953125","16","1.4446","2013-07-18T14:33:51.000Z","","",""
"1","55","46.29373","1.820982","298.49822998046875","13.708558082580566","12","1.4663","2013-07-18T14:33:52.000Z","","",""
"1","56","46.293771","1.820995","298.470703125","30.65108871459961","12","1.4255","2013-07-18T14:33:55.000Z","","",""
"1","57","46.293784","1.820997","298.42578125","28.627365112304688","12","0","2013-07-18T14:33:56.000Z","","",""
"1","58","46.293821","1.820996","298.284423828125","19.502361297607422","24","1.3334","2013-07-18T14:33:59.000Z","","",""
"1","59","46.293832","1.820989","298.2536926269531","22.021495819091797","12","0","2013-07-18T14:34:00.000Z","","",""
"1","60","46.293848","1.821048","297.0848693847656","100.99124145507813","12","0.3234","2013-07-18T14:34:13.000Z","","",""
"1","61","46.293842","1.821053","297.0183410644531","135.7895050048828","12","0.2971","2013-07-18T14:34:14.000Z","","",""
"1","62","46.293809","1.821084","296.7130126953125","140.73277282714844","8","0","2013-07-18T14:34:18.000Z","","",""
"1","63","46.293804","1.821091","296.6387634277344","126.99453735351563","8","0.7792","2013-07-18T14:34:19.000Z","","",""
"1","64","46.293793","1.82115","296.1546936035156","87.57855224609375","12","0.7235","2013-07-18T14:34:25.000Z","","",""
"1","65","46.29379","1.821163","296.000732421875","88.63648223876953","12","0.4141","2013-07-18T14:34:26.000Z","","",""
"1","66","46.293814","1.821202","295.6383361816406","11.579723358154297","8","0.9172","2013-07-18T14:34:30.000Z","","",""
"1","67","46.293821","1.821211","295.6271667480469","30.135637283325195","12","0.952","2013-07-18T14:34:31.000Z","","",""
"1","68","46.293848","1.821243","295.5625305175781","28.589887619018555","8","0.9554","2013-07-18T14:34:35.000Z","","",""
"1","69","46.293858","1.82125","295.52716064453125","18.51499366760254","8","0.9927","2013-07-18T14:34:36.000Z","","",""
"1","70","46.293894","1.821254","295.69757080078125","339.4211120605469","8","0","2013-07-18T14:34:40.000Z","","",""
"1","71","46.293905","1.82125","295.7491760253906","326.4897766113281","8","1.1159","2013-07-18T14:34:41.000Z","","",""
"1","72","46.293948","1.821264","295.7818603515625","359.835205078125","12","1.1532","2013-07-18T14:34:46.000Z","","",""
"1","73","46.293954","1.821262","295.7186584472656","2.0467560291290283","12","1.1366","2013-07-18T14:34:47.000Z","","",""
"1","74","46.293993","1.821237","295.5687561035156","341.94195556640625","8","1.3202","2013-07-18T14:34:50.000Z","","",""
"1","75","46.294","1.821234","295.5677490234375","346.5573425292969","12","1.2773","2013-07-18T14:34:51.000Z","","",""
"1","76","46.294031","1.821228","295.62738037109375","355.69793701171875","12","1.2744","2013-07-18T14:34:54.000Z","","",""
"1","77","46.294047","1.821223","295.61309814453125","350.4630432128906","8","1.3067","2013-07-18T14:34:55.000Z","","",""
"1","78","46.294074","1.821214","295.6517333984375","336.76641845703125","8","1.2626","2013-07-18T14:34:57.000Z","","",""
"1","79","46.294091","1.821209","295.685302734375","342.1206359863281","12","1.2861","2013-07-18T14:34:58.000Z","","",""
"1","80","46.294128","1.821199","295.76922607421875","343.72955322265625","12","1.2843","2013-07-18T14:35:01.000Z","","",""
"1","81","46.294143","1.821205","295.8787841796875","16.324668884277344","12","1.3002","2013-07-18T14:35:02.000Z","","",""
"1","82","46.294181","1.821229","296.2535705566406","8.669931411743164","12","1.3346","2013-07-18T14:35:05.000Z","","",""
"1","83","46.294194","1.821233","296.3538513183594","6.806942462921143","12","1.3468","2013-07-18T14:35:06.000Z","","",""
"1","84","46.294229","1.821237","296.7379150390625","0.11614945530891418","12","1.3841","2013-07-18T14:35:09.000Z","","",""
"1","85","46.294239","1.821236","296.8661193847656","355.36102294921875","8","1.3509","2013-07-18T14:35:10.000Z","","",""
"1","86","46.294277","1.821233","297.0677795410156","2.6102099418640137","8","1.434","2013-07-18T14:35:13.000Z","","",""
"1","87","46.294288","1.821237","297.1519470214844","352.44384765625","16","0","2013-07-18T14:35:14.000Z","","",""
"1","88","46.294328","1.821256","297.4400939941406","14.353967666625977","12","1.4877","2013-07-18T14:35:17.000Z","","",""
"1","89","46.294343","1.821259","297.5078125","12.371063232421875","16","1.519","2013-07-18T14:35:18.000Z","","",""
"1","90","46.294379","1.821262","297.7308654785156","12.210281372070313","8","1.4787","2013-07-18T14:35:21.000Z","","",""
"1","91","46.294391","1.821263","297.8256530761719","10.927014350891113","8","1.4686","2013-07-18T14:35:22.000Z","","",""
"1","92","46.294429","1.821257","298.333251953125","11.807348251342773","12","1.2785","2013-07-18T14:35:27.000Z","","",""
"1","93","46.294441","1.821256","298.4222106933594","13.749802589416504","12","1.2748","2013-07-18T14:35:28.000Z","","",""
"1","94","46.294473","1.821241","298.5838317871094","2.089008331298828","12","0","2013-07-18T14:35:30.000Z","","",""
"1","95","46.294488","1.821233","298.6667175292969","354.2447204589844","12","1.4037","2013-07-18T14:35:31.000Z","","",""
"1","96","46.294531","1.821223","299.05059814453125","1.2905945777893066","12","1.4186","2013-07-18T14:35:34.000Z","","",""
"1","97","46.294542","1.821219","299.26739501953125","0.4744341969490051","12","0","2013-07-18T14:35:35.000Z","","",""
"1","98","46.294576","1.821218","299.8556213378906","359.98583984375","16","1.4929","2013-07-18T14:35:38.000Z","","",""
"1","99","46.294587","1.821216","300.0745849609375","356.3977966308594","16","1.4939","2013-07-18T14:35:39.000Z","","",""
"1","100","46.294624","1.82122","300.54052734375","342.52783203125","12","1.5577","2013-07-18T14:35:42.000Z","","",""
"1","101","46.294636","1.821221","300.6637878417969","357.40093994140625","12","1.5488","2013-07-18T14:35:43.000Z","","",""
"1","102","46.29467","1.821261","301.0475158691406","30.495553970336914","12","1.4773","2013-07-18T14:35:47.000Z","","",""
"1","103","46.294683","1.82126","301.04705810546875","1.377628207206726","12","1.4583","2013-07-18T14:35:48.000Z","","",""
"1","104","46.294725","1.82126","300.86614990234375","4.378931999206543","12","1.4348","2013-07-18T14:35:51.000Z","","",""
"1","105","46.294741","1.821261","300.7947082519531","4.66134786605835","12","1.4315","2013-07-18T14:35:52.000Z","","",""
"1","106","46.294783","1.82126","300.70166015625","358.2883605957031","12","0","2013-07-18T14:35:56.000Z","","",""
"1","107","46.294791","1.821259","300.69024658203125","347.05682373046875","16","1.3342","2013-07-18T14:35:57.000Z","","",""
"1","108","46.294827","1.821283","300.60955810546875","17.91767120361328","12","1.363","2013-07-18T14:36:01.000Z","","",""
"1","109","46.294836","1.82129","300.6078796386719","15.589503288269043","16","0","2013-07-18T14:36:02.000Z","","",""
"1","110","46.294874","1.8213","300.5416259765625","59.257469177246094","16","1.4184","2013-07-18T14:36:07.000Z","","",""
"1","111","46.294881","1.821314","300.5887145996094","57.27904510498047","16","1.4461","2013-07-18T14:36:08.000Z","","",""
"1","112","46.294903","1.82136","300.858154296875","66.2733383178711","12","1.3348","2013-07-18T14:36:12.000Z","","",""
"1","113","46.294909","1.821382","300.9336242675781","59.01596450805664","12","0","2013-07-18T14:36:13.000Z","","",""
"1","114","46.29495","1.821402","301.2495422363281","16.45816993713379","12","1.3108","2013-07-18T14:36:19.000Z","","",""
"1","115","46.294958","1.821396","301.3392639160156","350.5910949707031","12","1.2895","2013-07-18T14:36:20.000Z","","",""
"1","116","46.294998","1.821379","301.40667724609375","4.905452728271484","12","1.3008","2013-07-18T14:36:23.000Z","","",""
"1","117","46.295013","1.821376","301.35760498046875","359.8241882324219","12","0","2013-07-18T14:36:24.000Z","","",""
"1","118","46.295049","1.821389","301.0877380371094","8.982891082763672","12","1.3001","2013-07-18T14:36:27.000Z","","",""
"1","119","46.295062","1.821393","300.88128662109375","4.60994291305542","12","1.3364","2013-07-18T14:36:28.000Z","","",""
"1","120","46.295096","1.821414","299.72552490234375","22.13140296936035","12","1.303","2013-07-18T14:36:32.000Z","","",""
"1","121","46.295111","1.821421","299.4381408691406","16.15570068359375","12","1.3551","2013-07-18T14:36:33.000Z","","",""
"1","122","46.295144","1.821438","299.0099792480469","22.720632553100586","8","1.4398","2013-07-18T14:36:35.000Z","","",""
"1","123","46.295155","1.821459","298.811279296875","55.280113220214844","12","1.464","2013-07-18T14:36:36.000Z","","",""
"1","124","46.295192","1.821484","298.24493408203125","9.078400611877441","8","1.4239","2013-07-18T14:36:39.000Z","","",""
"1","125","46.295203","1.821483","298.059326171875","13.099298477172852","8","1.4094","2013-07-18T14:36:40.000Z","","",""
"1","126","46.29524","1.821493","297.39764404296875","11.008347511291504","8","1.396","2013-07-18T14:36:43.000Z","","",""
"1","127","46.29525","1.821496","297.2229919433594","14.913718223571777","8","1.3867","2013-07-18T14:36:44.000Z","","",""
"1","128","46.295284","1.821511","296.5497741699219","10.733075141906738","8","1.3617","2013-07-18T14:36:47.000Z","","",""
"1","129","46.295298","1.821514","296.2774353027344","13.452838897705078","8","1.365","2013-07-18T14:36:48.000Z","","",""
"1","130","46.295331","1.821527","295.6418151855469","16.433984756469727","8","1.3305","2013-07-18T14:36:51.000Z","","",""
"1","131","46.295343","1.821535","295.478271484375","28.54199981689453","8","1.3171","2013-07-18T14:36:52.000Z","","",""
"1","132","46.295374","1.821565","294.7192687988281","53.87286376953125","8","1.3436","2013-07-18T14:36:55.000Z","","",""
"1","133","46.29538","1.821575","294.437744140625","46.0816535949707","8","1.3375","2013-07-18T14:36:56.000Z","","",""
"1","134","46.295416","1.821596","293.3059387207031","15.01098918914795","6","1.3099","2013-07-18T14:37:00.000Z","","",""
"1","135","46.295425","1.821595","293.02783203125","359.64007568359375","12","1.3145","2013-07-18T14:37:01.000Z","","",""
"1","136","46.295456","1.821607","292.3570251464844","21.701969146728516","8","1.2787","2013-07-18T14:37:04.000Z","","",""
"1","137","46.295469","1.821611","292.18243408203125","6.865560054779053","8","1.2796","2013-07-18T14:37:05.000Z","","",""
"1","138","46.295509","1.821615","291.7564392089844","353.60565185546875","12","1.3459","2013-07-18T14:37:08.000Z","","",""
"1","139","46.295522","1.821615","291.6258239746094","354.8512268066406","12","1.36","2013-07-18T14:37:09.000Z","","",""
"1","140","46.295559","1.82164","291.29608154296875","36.2674446105957","8","1.2986","2013-07-18T14:37:13.000Z","","",""
"1","141","46.29557","1.821651","291.3052062988281","33.0032844543457","12","1.283","2013-07-18T14:37:14.000Z","","",""
"1","142","46.295611","1.821672","291.2749328613281","13.322295188903809","8","0","2013-07-18T14:37:17.000Z","","",""
"1","143","46.295621","1.821677","291.2662353515625","9.251480102539063","8","1.2967","2013-07-18T14:37:18.000Z","","",""
"1","144","46.295662","1.821681","291.2965393066406","347.1754455566406","8","1.4208","2013-07-18T14:37:21.000Z","","",""
"1","145","46.295669","1.821689","291.24859619140625","40.679603576660156","12","1.3735","2013-07-18T14:37:22.000Z","","",""
"1","146","46.295709","1.821696","290.66961669921875","359.746337890625","8","1.0777","2013-07-18T14:37:28.000Z","","",""
"1","147","46.295715","1.821699","290.492431640625","19.68665313720703","8","1.0378","2013-07-18T14:37:29.000Z","","",""
"1","148","46.295752","1.821716","290.1497802734375","3.1197080612182617","12","1.0252","2013-07-18T14:37:34.000Z","","",""
"1","149","46.295761","1.821721","290.115966796875","5.449220657348633","6","0.9966","2013-07-18T14:37:35.000Z","","",""
"1","150","46.295795","1.821736","289.88568115234375","352.6387023925781","6","1.0471","2013-07-18T14:37:38.000Z","","",""
"1","151","46.295808","1.82174","289.7696228027344","5.6978631019592285","8","1.0943","2013-07-18T14:37:39.000Z","","",""
"1","152","46.295849","1.821743","289.6648254394531","4.976755142211914","8","0.9983","2013-07-18T14:37:44.000Z","","",""
"1","153","46.29586","1.821743","289.6229553222656","8.344915390014648","8","0","2013-07-18T14:37:45.000Z","","",""
"1","154","46.2959","1.821747","288.9453125","15.83299446105957","12","1.0357","2013-07-18T14:37:49.000Z","","",""
"1","155","46.295908","1.821748","288.7464599609375","17.168455123901367","8","0","2013-07-18T14:37:50.000Z","","",""
"1","156","46.295944","1.821773","287.4984130859375","21.85137939453125","12","0","2013-07-18T14:37:56.000Z","","",""
"1","157","46.295958","1.821781","287.2680969238281","21.657955169677734","12","0","2013-07-18T14:37:57.000Z","","",""
"1","158","46.295983","1.821819","287.0345153808594","24.572391510009766","12","0","2013-07-18T14:38:00.000Z","","",""
"1","159","46.295995","1.82183","287.038818359375","25.985946655273438","12","0.9839","2013-07-18T14:38:01.000Z","","",""
"1","160","46.296032","1.821855","287.2818908691406","27.16875457763672","12","1.1124","2013-07-18T14:38:04.000Z","","",""
"1","161","46.296044","1.821863","287.4342956542969","27.467451095581055","12","1.122","2013-07-18T14:38:05.000Z","","",""
"1","162","46.296072","1.82188","287.7539978027344","26.180875778198242","16","1.2651","2013-07-18T14:38:07.000Z","","",""
"1","163","46.296087","1.82189","287.8623046875","29.558557510375977","16","1.3208","2013-07-18T14:38:08.000Z","","",""
"1","164","46.296124","1.821925","288.1666259765625","38.351566314697266","12","1.3689","2013-07-18T14:38:11.000Z","","",""
"1","165","46.296134","1.821931","288.2779846191406","28.61433219909668","12","1.3602","2013-07-18T14:38:12.000Z","","",""
"1","166","46.296155","1.821947","288.2779846191406","28.61433219909668","12","0","2013-07-18T14:38:14.000Z","","",""
"1","167","46.297236","1.823023","358.53515625","107.75069427490234","24","0.9375","2013-07-18T14:41:12.000Z","","",""
"1","168","46.297244","1.823086","352.5138244628906","36.06299591064453","8","0","2013-07-18T14:41:25.000Z","","",""
"1","169","46.297252","1.823093","351.4878234863281","52.13483428955078","8","0.4885","2013-07-18T14:41:26.000Z","","",""
"1","170","46.297284","1.823126","345.2180480957031","73.09320068359375","6","0.5999","2013-07-18T14:41:32.000Z","","",""
"1","171","46.297286","1.823136","344.19000244140625","96.57999420166016","8","0.7026","2013-07-18T14:41:33.000Z","","",""
"1","172","46.297294","1.823198","339.04193115234375","118.33993530273438","12","0.7296","2013-07-18T14:41:39.000Z","","",""
"1","173","46.297293","1.823205","338.308349609375","119.91795349121094","12","0.7345","2013-07-18T14:41:40.000Z","","",""
"1","174","46.297306","1.823259","333.81085205078125","52.852176666259766","8","0.7434","2013-07-18T14:41:47.000Z","","",""
"1","175","46.29731","1.823267","333.2666320800781","56.410377502441406","8","0.7431","2013-07-18T14:41:48.000Z","","",""
"1","176","46.297266","1.823275","330.81866455078125","302.6137390136719","8","0","2013-07-18T14:42:00.000Z","","",""
"1","177","46.297264","1.823269","330.7804260253906","302.6137390136719","8","0","2013-07-18T14:42:01.000Z","","",""
"1","178","46.297297","1.823226","327.80059814453125","335.8639831542969","6","1.1136","2013-07-18T14:42:13.000Z","","",""
"1","179","46.297308","1.823218","327.3638916015625","334.945556640625","8","1.2218","2013-07-18T14:42:14.000Z","","",""
"1","180","46.297343","1.823206","326.08258056640625","353.9735107421875","6","1.1655","2013-07-18T14:42:17.000Z","","",""
"1","181","46.297355","1.823205","325.7021789550781","349.8203430175781","6","1.1414","2013-07-18T14:42:18.000Z","","",""
"1","182","46.297389","1.823218","324.186767578125","29.441396713256836","6","1.0419","2013-07-18T14:42:22.000Z","","",""
"1","183","46.297398","1.823221","323.8267822265625","7.805395603179932","6","1.0429","2013-07-18T14:42:23.000Z","","",""
"1","184","46.297437","1.823225","322.3980712890625","358.51934814453125","8","0.9822","2013-07-18T14:42:27.000Z","","",""
"1","185","46.297447","1.823222","322.0656433105469","342.7644958496094","6","0.983","2013-07-18T14:42:28.000Z","","",""
"1","186","46.297473","1.823183","320.2117919921875","337.0840148925781","6","0.8332","2013-07-18T14:42:34.000Z","","",""
"1","187","46.29748","1.823176","319.91278076171875","335.8502502441406","6","0.8464","2013-07-18T14:42:35.000Z","","",""
"1","188","46.297455","1.823208","314.5830078125","159.5168914794922","6","0.7448","2013-07-18T14:43:03.000Z","","",""
"1","189","46.297446","1.823219","314.3656005859375","151.49900817871094","8","0.7887","2013-07-18T14:43:04.000Z","","",""
