"Name","Activity type","Description"
"Pennine Way 28/07/2012 11:10","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.48204","-1.899481","267.2639465332031","","32","0","2012-07-28T10:10:58.751Z","","",""
"1","2","53.48204","-1.899481","267.2639465332031","","32","0","2012-07-28T10:10:58.751Z","","",""
"1","3","53.48204","-1.899481","267.2070007324219","0.0","32","0","2012-07-28T10:11:02.752Z","","",""
"1","4","53.481973","-1.899588","262.7354736328125","0.0","16","0","2012-07-28T10:11:03.744Z","","",""
"1","5","53.481973","-1.899588","262.7354736328125","0.0","16","0","2012-07-28T10:11:03.744Z","","",""
"1","6","53.481973","-1.899588","259.3834533691406","0.0","12","0","2012-07-28T10:11:06.000Z","","",""
"1","7","53.481918","-1.899709","258.50860595703125","0.0","12","1.1993","2012-07-28T10:11:07.000Z","","",""
"1","8","53.481877","-1.89978","254.34078979492188","0.0","12","1.3093","2012-07-28T10:11:09.000Z","","",""
"1","9","53.481843","-1.899845","251.47703552246094","233.5059051513672","8","1.2928","2012-07-28T10:11:12.000Z","","",""
"1","10","53.481808","-1.899914","248.45404052734375","245.11195373535156","8","1.3665","2012-07-28T10:11:16.000Z","","",""
"1","11","53.481774","-1.899983","247.38941955566406","232.4720458984375","6","1.2972","2012-07-28T10:11:20.000Z","","",""
"1","12","53.481744","-1.900041","244.48597717285156","238.09275817871094","6","1.4021","2012-07-28T10:11:25.000Z","","",""
"1","13","53.481712","-1.900114","244.36422729492188","237.46841430664063","16","1.1357","2012-07-28T10:11:30.000Z","","",""
"1","14","53.481687","-1.900192","244.21658325195313","247.37344360351563","12","1.2664","2012-07-28T10:11:35.000Z","","",""
"1","15","53.481665","-1.900275","243.71481323242188","241.6873321533203","12","1.3214","2012-07-28T10:11:39.000Z","","",""
"1","16","53.48164","-1.900357","243.52976989746094","239.57366943359375","8","1.3244","2012-07-28T10:11:43.000Z","","",""
"1","17","53.481612","-1.900433","243.78968811035156","236.27870178222656","16","1.3817","2012-07-28T10:11:47.000Z","","",""
"1","18","53.481585","-1.90051","243.84524536132813","242.40640258789063","12","1.3972","2012-07-28T10:11:51.000Z","","",""
"1","19","53.481556","-1.900593","243.70457458496094","237.96661376953125","8","1.4068","2012-07-28T10:11:55.000Z","","",""
"1","20","53.481524","-1.900675","243.6224822998047","236.3316192626953","12","1.4548","2012-07-28T10:11:59.000Z","","",""
"1","21","53.481488","-1.900748","243.5650177001953","218.07586669921875","12","1.4542","2012-07-28T10:12:03.000Z","","",""
"1","22","53.481446","-1.900806","243.63011169433594","221.64720153808594","12","1.4715","2012-07-28T10:12:07.000Z","","",""
"1","23","53.481414","-1.900868","243.72067260742188","218.1074981689453","8","1.5039","2012-07-28T10:12:10.000Z","","",""
"1","24","53.481369","-1.900931","243.79373168945313","220.25042724609375","12","1.5013","2012-07-28T10:12:14.000Z","","",""
"1","25","53.481326","-1.900966","243.95535278320313","201.61190795898438","12","1.5091","2012-07-28T10:12:17.000Z","","",""
"1","26","53.481276","-1.901009","244.12625122070313","211.39022827148438","12","1.4884","2012-07-28T10:12:21.000Z","","",""
"1","27","53.481232","-1.901047","244.31369018554688","209.60328674316406","8","1.499","2012-07-28T10:12:25.000Z","","",""
"1","28","53.481186","-1.901092","244.50177001953125","216.1165008544922","8","1.4633","2012-07-28T10:12:30.000Z","","",""
"1","29","53.481143","-1.901129","244.71902465820313","210.66754150390625","8","1.4353","2012-07-28T10:12:34.000Z","","",""
"1","30","53.481098","-1.901169","244.8382568359375","205.99830627441406","8","1.4609","2012-07-28T10:12:38.000Z","","",""
"1","31","53.481048","-1.901189","245.3466796875","205.9539337158203","6","1.3417","2012-07-28T10:12:42.000Z","","",""
"1","32","53.480988","-1.901207","245.84861755371094","198.17498779296875","4","1.2828","2012-07-28T10:12:46.000Z","","",""
"1","33","53.48094","-1.901219","246.2118682861328","196.18472290039063","4","1.3378","2012-07-28T10:12:49.000Z","","",""
"1","34","53.480889","-1.901242","246.6975860595703","194.2384033203125","4","1.4054","2012-07-28T10:12:53.000Z","","",""
"1","35","53.48084","-1.901271","247.24668884277344","187.25233459472656","4","1.4428","2012-07-28T10:12:57.000Z","","",""
"1","36","53.480792","-1.901299","247.81455993652344","198.30442810058594","8","1.4571","2012-07-28T10:13:01.000Z","","",""
"1","37","53.480741","-1.901327","248.29916381835938","193.65802001953125","4","1.4395","2012-07-28T10:13:05.000Z","","",""
"1","38","53.480691","-1.901353","248.90672302246094","191.81031799316406","4","1.4138","2012-07-28T10:13:09.000Z","","",""
"1","39","53.480635","-1.901376","249.4696502685547","191.37635803222656","4","1.4718","2012-07-28T10:13:13.000Z","","",""
"1","40","53.480591","-1.901397","249.8331298828125","202.2510986328125","4","1.5225","2012-07-28T10:13:16.000Z","","",""
"1","41","53.480545","-1.901418","250.24986267089844","204.71438598632813","4","1.5121","2012-07-28T10:13:19.000Z","","",""
"1","42","53.480492","-1.901442","250.83114624023438","199.4970245361328","6","1.506","2012-07-28T10:13:23.000Z","","",""
"1","43","53.480447","-1.901461","251.32997131347656","192.71005249023438","6","1.484","2012-07-28T10:13:27.000Z","","",""
"1","44","53.480398","-1.901505","251.81405639648438","211.4799041748047","4","1.326","2012-07-28T10:13:32.000Z","","",""
"1","45","53.480356","-1.901549","252.12008666992188","207.01951599121094","4","1.313","2012-07-28T10:13:36.000Z","","",""
"1","46","53.480312","-1.901603","252.38156127929688","220.7036590576172","6","1.3013","2012-07-28T10:13:41.000Z","","",""
"1","47","53.480277","-1.901676","252.60414123535156","218.06118774414063","6","1.2839","2012-07-28T10:13:46.000Z","","",""
"1","48","53.480239","-1.901733","252.70521545410156","219.11297607421875","6","1.3185","2012-07-28T10:13:50.000Z","","",""
"1","49","53.480203","-1.901791","252.7399444580078","220.313232421875","4","1.3699","2012-07-28T10:13:54.000Z","","",""
"1","50","53.480167","-1.901859","252.7829132080078","221.6222686767578","6","1.3748","2012-07-28T10:13:59.000Z","","",""
"1","51","53.480127","-1.901929","252.9434051513672","231.52687072753906","6","1.3773","2012-07-28T10:14:03.000Z","","",""
"1","52","53.4801","-1.90199","252.95797729492188","232.26612854003906","6","1.3389","2012-07-28T10:14:06.000Z","","",""
"1","53","53.480073","-1.902071","252.97415161132813","231.20709228515625","4","1.32","2012-07-28T10:14:10.000Z","","",""
"1","54","53.480045","-1.902145","253.1374969482422","233.7622833251953","12","1.3896","2012-07-28T10:14:14.000Z","","",""
"1","55","53.480018","-1.902223","253.47438049316406","237.08920288085938","6","1.3877","2012-07-28T10:14:18.000Z","","",""
"1","56","53.47999","-1.902302","253.8344268798828","247.12789916992188","4","1.3743","2012-07-28T10:14:22.000Z","","",""
"1","57","53.47997","-1.902392","254.18275451660156","243.0997772216797","6","1.3577","2012-07-28T10:14:26.000Z","","",""
"1","58","53.479949","-1.902482","254.29922485351563","248.6892852783203","4","1.3614","2012-07-28T10:14:30.000Z","","",""
"1","59","53.479933","-1.902554","254.31280517578125","251.3353271484375","6","1.3568","2012-07-28T10:14:34.000Z","","",""
"1","60","53.479921","-1.902639","254.23110961914063","247.09742736816406","4","1.356","2012-07-28T10:14:39.000Z","","",""
"1","61","53.479904","-1.902712","254.1144256591797","253.49473571777344","4","1.3322","2012-07-28T10:14:43.000Z","","",""
"1","62","53.479886","-1.90279","253.94496154785156","250.37649536132813","4","1.3329","2012-07-28T10:14:47.000Z","","",""
"1","63","53.47987","-1.902877","254.36451721191406","253.13645935058594","4","1.3447","2012-07-28T10:14:51.000Z","","",""
"1","64","53.479856","-1.902968","255.0001678466797","256.8890380859375","4","1.3995","2012-07-28T10:14:55.000Z","","",""
"1","65","53.479841","-1.903048","255.259033203125","256.4049987792969","6","1.3388","2012-07-28T10:14:59.000Z","","",""
"1","66","53.47983","-1.903131","255.48939514160156","259.6964111328125","12","1.3244","2012-07-28T10:15:03.000Z","","",""
"1","67","53.479822","-1.903218","255.70498657226563","258.83197021484375","4","1.3485","2012-07-28T10:15:08.000Z","","",""
