"Name","Activity type","Description"
"Pennine Way Part 1 27/10/2012 09:28","walking",""

"Name","Marker type","Description","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time"
"Kinder scout","summit","","53.380357","-1.882633","682.6867065429688","43.17721939086914","8","1.1445","2012-10-27T10:03:18.000Z"
"Bleaklow Head","","","53.46127","-1.859685","677.8672485351563","29.93692398071289","4","1.5017","2012-10-27T13:37:11.999Z"

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.364768","-1.815979","296.24810791015625","325.9105224609375","8","1.3611","2012-10-27T08:28:14.999Z","","",""
"1","2","53.364813","-1.816012","294.361083984375","337.9626159667969","8","1.3594","2012-10-27T08:28:18.999Z","","",""
"1","3","53.364862","-1.81605","297.57098388671875","331.19293212890625","8","1.2686","2012-10-27T08:28:22.999Z","","",""
"1","4","53.364902","-1.816086","299.7108459472656","336.3514404296875","8","0.9641","2012-10-27T08:28:26.999Z","","",""
"1","5","53.364941","-1.816125","299.7706298828125","322.61962890625","6","1.8077","2012-10-27T08:28:30.999Z","","",""
"1","6","53.364977","-1.81618","299.494140625","289.82135009765625","6","1.5177","2012-10-27T08:28:35.999Z","","",""
"1","7","53.365016","-1.816237","299.46612548828125","312.20379638671875","8","1.6176","2012-10-27T08:28:41.999Z","","",""
"1","8","53.365064","-1.816267","299.2469482421875","320.3828125","12","1.5316","2012-10-27T08:28:44.999Z","","",""
"1","9","53.365113","-1.816294","298.79034423828125","21.740455627441406","12","1.4753","2012-10-27T08:28:47.999Z","","",""
"1","10","53.365223","-1.816304","298.1808776855469","353.2330627441406","8","1.3184","2012-10-27T08:28:53.999Z","","",""
"1","11","53.365309","-1.816335","296.65966796875","345.5318908691406","6","1.2674","2012-10-27T08:29:01.999Z","","",""
"1","12","53.365362","-1.816343","296.32696533203125","342.9046325683594","12","1.3062","2012-10-27T08:29:05.999Z","","",""
"1","13","53.36542","-1.816348","295.880615234375","350.1686706542969","6","1.4094","2012-10-27T08:29:09.999Z","","",""
"1","14","53.365467","-1.816372","295.6672058105469","335.27252197265625","6","1.4507","2012-10-27T08:29:12.999Z","","",""
"1","15","53.365517","-1.816392","295.6977233886719","352.0973815917969","6","1.4338","2012-10-27T08:29:15.999Z","","",""
"1","16","53.36557","-1.816401","295.80157470703125","359.8635559082031","12","1.4148","2012-10-27T08:29:18.999Z","","",""
"1","17","53.365623","-1.816393","295.9348449707031","0.32476428151130676","6","1.4019","2012-10-27T08:29:22.999Z","","",""
"1","18","53.365675","-1.816387","296.1406555175781","356.9716796875","6","1.3932","2012-10-27T08:29:27.999Z","","",""
"1","19","53.365726","-1.816381","296.28887939453125","357.8159484863281","6","1.4169","2012-10-27T08:29:30.999Z","","",""
"1","20","53.365777","-1.816377","296.5746154785156","355.5344543457031","12","1.4244","2012-10-27T08:29:33.999Z","","",""
"1","21","53.365828","-1.81638","296.8005065917969","344.9442138671875","8","1.451","2012-10-27T08:29:36.999Z","","",""
"1","22","53.365882","-1.816392","297.0413513183594","342.16717529296875","6","1.4912","2012-10-27T08:29:40.999Z","","",""
"1","23","53.365931","-1.816427","297.059814453125","334.88702392578125","6","1.4703","2012-10-27T08:29:44.999Z","","",""
"1","24","53.365985","-1.816454","296.9324035644531","350.8744812011719","6","1.5134","2012-10-27T08:29:48.999Z","","",""
"1","25","53.366027","-1.816483","296.9635009765625","342.88671875","6","1.5114","2012-10-27T08:29:51.999Z","","",""
"1","26","53.366082","-1.816508","297.0992126464844","342.0722351074219","6","1.4696","2012-10-27T08:29:55.999Z","","",""
"1","27","53.366132","-1.816523","297.44964599609375","354.9984130859375","6","1.4628","2012-10-27T08:29:59.999Z","","",""
