"Name","Activity type","Description"
"Round airport","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.843046","-1.630725","","","23","","2013-11-02T14:57:25.463Z","","",""
"1","2","53.843046","-1.630725","","","39.42","","2013-11-02T14:57:45.562Z","","",""
"1","3","53.843336","-1.631834","119.34109497070313","","32","","2013-11-02T14:57:48.773Z","","",""
"1","4","53.843431","-1.631725","129.6982879638672","34.0","32","12.8603","2013-11-02T14:57:49.763Z","","",""
"1","5","53.843514","-1.631708","152.3278045654297","12.0","19.976","2.0957","2013-11-02T14:57:56.728Z","","",""
"1","6","53.843535","-1.631709","153.069580078125","9.0","19.379","2.1104","2013-11-02T14:57:57.756Z","","",""
"1","7","53.843583","-1.631706","157.6156768798828","7.0","17.349","1.6039","2013-11-02T14:58:02.352Z","","",""
"1","8","53.843639","-1.631673","159.3045654296875","12.0","12.62","2.4655","2013-11-02T14:58:03.311Z","","",""
"1","9","53.843686","-1.631629","159.3934783935547","18.0","11.074","3.0917","2013-11-02T14:58:04.343Z","","",""
"1","10","53.843725","-1.631586","159.0418243408203","23.0","10.387","3.5413","2013-11-02T14:58:05.321Z","","",""
"1","11","53.843785","-1.631516","157.6539306640625","28.0","10.44","3.4105","2013-11-02T14:58:07.678Z","","",""
"1","12","53.843804","-1.631489","156.37759399414063","31.0","10.208","3.2917","2013-11-02T14:58:08.609Z","","",""
"1","13","53.843853","-1.631393","152.92117309570313","41.0","8.307","3.0585","2013-11-02T14:58:11.599Z","","",""
"1","14","53.843864","-1.63137","152.92117309570313","42.0","8.093","2.7497","2013-11-02T14:58:12.599Z","","",""
"1","15","53.843922","-1.631274","152.94631958007813","44.0","7.964","1.4848","2013-11-02T14:58:19.595Z","","",""
"1","16","53.843932","-1.631258","152.38963317871094","43.0","8.93","1.4762","2013-11-02T14:58:20.632Z","","",""
"1","17","53.843985","-1.631159","150.81182861328125","42.0","10.063","0.8443","2013-11-02T14:58:29.681Z","","",""
"1","18","53.843998","-1.631142","150.5636749267578","40.0","8.762","1.1058","2013-11-02T14:58:30.593Z","","",""
"1","19","53.844079","-1.631103","147.92681884765625","10.0","7.956","1.1296","2013-11-02T14:58:38.580Z","","",""
"1","20","53.844092","-1.631105","147.1160125732422","4.0","7.985","1.1962","2013-11-02T14:58:39.598Z","","",""
"1","21","53.844164","-1.63112","145.51889038085938","355.0","7.976","1.8327","2013-11-02T14:58:43.585Z","","",""
"1","22","53.844182","-1.631128","145.17303466796875","352.0","7.974","1.8863","2013-11-02T14:58:44.587Z","","",""
"1","23","53.844251","-1.631216","143.34165954589844","320.0","7.983","1.3495","2013-11-02T14:58:51.599Z","","",""
"1","24","53.844256","-1.631231","142.86448669433594","315.0","7.94","1.2989","2013-11-02T14:58:52.572Z","","",""
"1","25","53.844305","-1.631353","142.17013549804688","308.0","8.032","1.3412","2013-11-02T14:58:59.549Z","","",""
"1","26","53.844314","-1.631371","141.9283447265625","309.0","8.095","1.3636","2013-11-02T14:59:00.647Z","","",""
"1","27","53.844391","-1.631447","138.12306213378906","337.0","8.313","1.3416","2013-11-02T14:59:09.823Z","","",""
"1","28","53.844401","-1.631453","138.12306213378906","338.0","9.88","1.3054","2013-11-02T14:59:10.621Z","","",""
"1","29","53.84449","-1.631445","133.07774353027344","11.0","13.892","0.9332","2013-11-02T14:59:26.588Z","","",""
"1","30","53.844506","-1.631438","132.7554168701172","12.0","13.895","1.1011","2013-11-02T14:59:27.586Z","","",""
"1","31","53.844588","-1.631403","130.96034240722656","13.0","10.703","1.6339","2013-11-02T14:59:32.586Z","","",""
"1","32","53.844609","-1.631396","130.62689208984375","12.0","10.317","1.8015","2013-11-02T14:59:33.600Z","","",""
"1","33","53.844681","-1.631394","129.637451171875","4.0","9.284","2.3115","2013-11-02T14:59:36.599Z","","",""
"1","34","53.844707","-1.631397","129.36085510253906","1.0","8.471","2.4615","2013-11-02T14:59:37.604Z","","",""
"1","35","53.844793","-1.631408","128.53359985351563","358.0","9.861","2.3553","2013-11-02T14:59:41.589Z","","",""
"1","36","53.844803","-1.631411","128.53359985351563","357.0","10.02","2.0575","2013-11-02T14:59:42.600Z","","",""
"1","37","53.844889","-1.631413","126.39008331298828","359.0","8.739","1.6382","2013-11-02T14:59:48.571Z","","",""
"1","38","53.844903","-1.631413","125.82943725585938","0.0","9.274","1.6103","2013-11-02T14:59:49.573Z","","",""
"1","39","53.844978","-1.631406","125.58794403076172","2.0","10.222","1.73","2013-11-02T14:59:54.792Z","","",""
"1","40","53.845","-1.631408","125.74748992919922","0.0","10.097","1.9166","2013-11-02T14:59:55.570Z","","",""
"1","41","53.845073","-1.631429","126.33078002929688","354.0","8.071","2.3411","2013-11-02T14:59:58.593Z","","",""
"1","42","53.845101","-1.631438","126.47237396240234","353.0","7.997","2.5647","2013-11-02T14:59:59.583Z","","",""
"1","43","53.845166","-1.631462","126.63165283203125","350.0","5.945","2.9176","2013-11-02T15:00:01.650Z","","",""
"1","44","53.845193","-1.631466","127.02367401123047","352.0","5.776","2.9719","2013-11-02T15:00:02.636Z","","",""
"1","45","53.845269","-1.63144","128.98497009277344","14.0","8.756","0.7427","2013-11-02T15:00:12.614Z","","",""
"1","46","53.845285","-1.631436","129.726806640625","11.0","8.246","0.9966","2013-11-02T15:00:13.612Z","","",""
"1","47","53.845371","-1.631407","133.23876953125","","7.966","0.233","2013-11-02T15:00:28.599Z","","",""
"1","48","53.845383","-1.631397","135.9305877685547","23.0","7.96","0.5827","2013-11-02T15:00:29.594Z","","",""
"1","49","53.845449","-1.631346","137.59632873535156","24.0","8.892","1.7407","2013-11-02T15:00:33.617Z","","",""
"1","50","53.845468","-1.63133","138.01478576660156","24.0","9.452","1.9306","2013-11-02T15:00:34.591Z","","",""
"1","51","53.845531","-1.631291","139.16868591308594","21.0","8.757","2.2595","2013-11-02T15:00:37.596Z","","",""
"1","52","53.845553","-1.631281","139.5186004638672","19.0","8.269","2.3287","2013-11-02T15:00:38.613Z","","",""
"1","53","53.845633","-1.631265","140.64645385742188","9.0","13.238","1.7731","2013-11-02T15:00:43.597Z","","",""
"1","54","53.845645","-1.631267","140.60736083984375","6.0","14.749","1.6643","2013-11-02T15:00:44.619Z","","",""
"1","55","53.845709","-1.631311","140.1593475341797","349.0","10.377","1.6727","2013-11-02T15:00:49.872Z","","",""
"1","56","53.845731","-1.631318","140.04298400878906","349.0","10.175","1.8487","2013-11-02T15:00:50.604Z","","",""
"1","57","53.845806","-1.631342","139.47634887695313","350.0","10.774","1.954","2013-11-02T15:00:54.891Z","","",""
"1","58","53.845823","-1.631345","138.99288940429688","350.0","10.449","1.9226","2013-11-02T15:00:55.602Z","","",""
"1","59","53.845908","-1.631351","138.4097137451172","356.0","10.115","1.8122","2013-11-02T15:01:00.629Z","","",""
"1","60","53.845916","-1.631351","138.4097137451172","357.0","10.09","1.598","2013-11-02T15:01:01.628Z","","",""
"1","61","53.845994","-1.631342","136.8978729248047","3.0","10.045","1.7648","2013-11-02T15:01:06.629Z","","",""
"1","62","53.846012","-1.631334","136.72853088378906","6.0","10.071","1.8155","2013-11-02T15:01:07.642Z","","",""
"1","63","53.846085","-1.631269","135.97337341308594","24.0","8.049","1.8613","2013-11-02T15:01:12.614Z","","",""
"1","64","53.846103","-1.631248","135.80894470214844","27.0","7.992","2.0105","2013-11-02T15:01:13.615Z","","",""
"1","65","53.846174","-1.631168","135.35794067382813","31.0","8.742","1.6687","2013-11-02T15:01:20.076Z","","",""
"1","66","53.846192","-1.631151","135.3715057373047","30.0","8.253","1.8162","2013-11-02T15:01:20.610Z","","",""
"1","67","53.846274","-1.631115","135.6939697265625","16.0","10.906","1.8423","2013-11-02T15:01:25.610Z","","",""
"1","68","53.846292","-1.631114","135.79672241210938","12.0","10.467","1.8757","2013-11-02T15:01:26.623Z","","",""
"1","69","53.84637","-1.631106","136.1768341064453","6.0","15.012","1.7037","2013-11-02T15:01:31.604Z","","",""
"1","70","53.846381","-1.631106","136.25564575195313","5.0","17.361","1.6254","2013-11-02T15:01:32.572Z","","",""
"1","71","53.846414","-1.631122","136.35597229003906","354.0","8.253","0.2597","2013-11-02T15:01:42.601Z","","",""
"1","72","53.846413","-1.631122","136.35597229003906","","8.062","0.1629","2013-11-02T15:01:43.577Z","","",""
"1","73","53.846411","-1.631121","136.35597229003906","","8.841","0.0124","2013-11-02T15:01:47.571Z","","",""
"1","74","53.846404","-1.631062","136.09051513671875","100.0","8.349","1.0383","2013-11-02T15:01:48.581Z","","",""
"1","75","53.846453","-1.630941","135.16592407226563","36.0","10.04","1.2997","2013-11-02T15:01:56.595Z","","",""
"1","76","53.846483","-1.630913","134.7191162109375","32.0","8.776","1.9062","2013-11-02T15:01:57.584Z","","",""
"1","77","53.846563","-1.63086","134.34457397460938","23.0","10.082","2.2445","2013-11-02T15:02:01.667Z","","",""
"1","78","53.846592","-1.630846","134.27647399902344","20.0","8.8","2.5251","2013-11-02T15:02:02.649Z","","",""
"1","79","53.846671","-1.630811","134.1335906982422","16.0","8.008","2.799","2013-11-02T15:02:05.652Z","","",""
"1","80","53.846691","-1.630802","134.1335906982422","16.0","9.791","2.6683","2013-11-02T15:02:06.657Z","","",""
"1","81","53.846747","-1.630911","134.46578979492188","313.0","10.187","1.3026","2013-11-02T15:02:15.052Z","","",""
"1","82","53.846758","-1.630943","134.62037658691406","308.0","8.818","1.5702","2013-11-02T15:02:15.631Z","","",""
"1","83","53.846806","-1.631022","135.6334686279297","315.0","8.455","2.1411","2013-11-02T15:02:18.647Z","","",""
"1","84","53.846832","-1.631043","136.01031494140625","322.0","8.218","2.3707","2013-11-02T15:02:19.679Z","","",""
"1","85","53.846888","-1.631071","136.8367462158203","335.0","7.986","2.7877","2013-11-02T15:02:21.647Z","","",""
"1","86","53.846919","-1.631082","137.1995391845703","340.0","7.977","2.9516","2013-11-02T15:02:22.647Z","","",""
"1","87","53.846999","-1.631121","138.39234924316406","342.0","7.949","3.0281","2013-11-02T15:02:25.634Z","","",""
"1","88","53.847023","-1.631138","138.77798461914063","341.0","7.989","2.9426","2013-11-02T15:02:26.659Z","","",""
"1","89","53.847089","-1.631175","139.96347045898438","343.0","7.962","2.3015","2013-11-02T15:02:30.637Z","","",""
"1","90","53.84711","-1.631185","140.2574005126953","343.0","7.954","2.3399","2013-11-02T15:02:31.630Z","","",""
"1","91","53.847182","-1.631206","141.03903198242188","349.0","6.406","2.6111","2013-11-02T15:02:34.924Z","","",""
"1","92","53.847208","-1.63121","141.39300537109375","351.0","5.884","2.7041","2013-11-02T15:02:35.629Z","","",""
"1","93","53.847292","-1.631251","143.0769500732422","336.0","7.935","1.3688","2013-11-02T15:02:41.660Z","","",""
"1","94","53.847294","-1.63126","143.0769500732422","330.0","7.976","1.0964","2013-11-02T15:02:42.675Z","","",""
"1","95","53.847374","-1.631316","144.10308837890625","342.0","8.847","1.6277","2013-11-02T15:02:48.636Z","","",""
"1","96","53.847382","-1.631317","144.10308837890625","343.0","9.457","1.4204","2013-11-02T15:02:49.632Z","","",""
"1","97","53.847463","-1.631346","143.9987030029297","346.0","8.439","1.6159","2013-11-02T15:02:55.640Z","","",""
"1","98","53.84748","-1.631348","144.08128356933594","349.0","8.13","1.6944","2013-11-02T15:02:56.614Z","","",""
"1","99","53.847564","-1.631369","144.17874145507813","348.0","7.969","1.8381","2013-11-02T15:03:01.651Z","","",""
"1","100","53.847581","-1.631375","144.1933135986328","348.0","8.021","1.854","2013-11-02T15:03:02.688Z","","",""
