"Name","Activity type","Description"
"To Ilkley - Failed!","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.843164","-1.631175","166.2764129638672","","32","0","2013-02-10T11:59:55.934Z","","",""
"1","2","53.843168","-1.631225","160.89234924316406","0.0","12","1.1643","2013-02-10T12:00:01.000Z","","",""
"1","3","53.843165","-1.631254","162.45883178710938","255.94021606445313","8","1.0405","2013-02-10T12:00:02.000Z","","",""
"1","4","53.843149","-1.631314","169.3988800048828","237.90721130371094","8","1.4067","2013-02-10T12:00:05.000Z","","",""
"1","5","53.843144","-1.631329","169.77159118652344","252.9253387451172","8","1.1337","2013-02-10T12:00:06.000Z","","",""
"1","6","53.843115","-1.631384","170.7029571533203","228.57310485839844","8","1.5444","2013-02-10T12:00:11.000Z","","",""
"1","7","53.843111","-1.631391","171.24009704589844","228.57310485839844","8","1.5378","2013-02-10T12:00:12.000Z","","",""
"1","8","53.843096","-1.631445","177.52841186523438","246.11614990234375","8","1.4297","2013-02-10T12:00:19.000Z","","",""
"1","9","53.843091","-1.631463","177.50355529785156","249.6362762451172","12","1.6067","2013-02-10T12:00:20.000Z","","",""
"1","10","53.843075","-1.631523","177.4259033203125","254.69522094726563","12","1.6564","2013-02-10T12:00:23.000Z","","",""
"1","11","53.843073","-1.631537","177.37203979492188","261.7585754394531","8","1.5413","2013-02-10T12:00:24.000Z","","",""
"1","12","53.843083","-1.631609","177.18295288085938","281.3536071777344","12","1.5801","2013-02-10T12:00:28.000Z","","",""
"1","13","53.843086","-1.631629","177.18768310546875","283.2652282714844","12","1.5718","2013-02-10T12:00:29.000Z","","",""
"1","14","53.843088","-1.631696","177.251708984375","278.6087646484375","8","1.5086","2013-02-10T12:00:33.000Z","","",""
"1","15","53.843083","-1.631715","177.28067016601563","263.5048828125","8","1.4644","2013-02-10T12:00:34.000Z","","",""
"1","16","53.843073","-1.63176","177.3300323486328","279.6510009765625","8","1.6169","2013-02-10T12:00:36.000Z","","",""
"1","17","53.843065","-1.631786","177.34510803222656","239.65550231933594","8","1.5884","2013-02-10T12:00:37.000Z","","",""
"1","18","53.84304","-1.631841","177.340576171875","245.7264862060547","8","1.5198","2013-02-10T12:00:39.000Z","","",""
"1","19","53.84303","-1.631869","177.34524536132813","254.9074249267578","8","1.5442","2013-02-10T12:00:40.000Z","","",""
"1","20","53.843012","-1.631922","177.25828552246094","266.9946594238281","8","1.553","2013-02-10T12:00:42.000Z","","",""
"1","21","53.843007","-1.63195","177.24920654296875","270.562744140625","8","1.5379","2013-02-10T12:00:43.000Z","","",""
"1","22","53.842996","-1.632001","177.2071533203125","262.0782470703125","8","1.5233","2013-02-10T12:00:45.000Z","","",""
"1","23","53.84299","-1.632024","177.1362762451172","237.29200744628906","12","1.564","2013-02-10T12:00:46.000Z","","",""
"1","24","53.842966","-1.632078","177.01271057128906","258.5980529785156","6","1.534","2013-02-10T12:00:48.000Z","","",""
"1","25","53.842963","-1.632101","176.9748992919922","259.16168212890625","16","1.5337","2013-02-10T12:00:49.000Z","","",""
"1","26","53.842941","-1.632162","176.13441467285156","259.5185546875","12","1.1362","2013-02-10T12:01:00.000Z","","",""
"1","27","53.842943","-1.632179","176.02191162109375","265.18829345703125","12","1.4696","2013-02-10T12:01:01.000Z","","",""
"1","28","53.842951","-1.632232","175.64598083496094","269.6622009277344","12","1.5286","2013-02-10T12:01:04.000Z","","",""
"1","29","53.842949","-1.632261","175.52911376953125","265.394775390625","12","1.5205","2013-02-10T12:01:05.000Z","","",""
"1","30","53.842941","-1.632321","175.3480224609375","263.68585205078125","8","1.5143","2013-02-10T12:01:07.000Z","","",""
"1","31","53.842932","-1.632338","175.2454833984375","213.81768798828125","8","1.4789","2013-02-10T12:01:08.000Z","","",""
"1","32","53.8429","-1.632381","174.87574768066406","195.79039001464844","12","1.3636","2013-02-10T12:01:12.000Z","","",""
"1","33","53.842887","-1.632388","174.80470275878906","190.80984497070313","8","1.3443","2013-02-10T12:01:13.000Z","","",""
"1","34","53.842855","-1.632399","174.8772735595703","188.197021484375","8","1.3933","2013-02-10T12:01:15.000Z","","",""
"1","35","53.842838","-1.632406","174.9011688232422","185.69094848632813","8","1.449","2013-02-10T12:01:16.000Z","","",""
"1","36","53.842803","-1.632425","175.0140380859375","194.54864501953125","8","1.4797","2013-02-10T12:01:18.000Z","","",""
"1","37","53.842786","-1.632437","175.03431701660156","197.61984252929688","12","1.4754","2013-02-10T12:01:19.000Z","","",""
"1","38","53.842751","-1.63246","175.07838439941406","190.27322387695313","12","1.5113","2013-02-10T12:01:21.000Z","","",""
"1","39","53.842739","-1.632472","175.09617614746094","194.3874053955078","12","1.53","2013-02-10T12:01:22.000Z","","",""
"1","40","53.842714","-1.632504","175.1069793701172","194.46856689453125","8","1.5539","2013-02-10T12:01:24.000Z","","",""
"1","41","53.842701","-1.632517","175.09080505371094","194.6842041015625","12","1.5577","2013-02-10T12:01:25.000Z","","",""
"1","42","53.842665","-1.632553","174.92433166503906","198.1932373046875","12","1.5489","2013-02-10T12:01:28.000Z","","",""
"1","43","53.842648","-1.63257","174.86729431152344","203.3310089111328","8","1.5545","2013-02-10T12:01:29.000Z","","",""
"1","44","53.842614","-1.632601","174.77822875976563","207.46231079101563","8","1.5545","2013-02-10T12:01:31.000Z","","",""
