"Name","Activity type","Description"
"To Station","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.807644","-1.557154","122.28904724121094","","16","0","2013-02-04T17:16:53.602Z","","",""
"1","2","53.807644","-1.557154","125.85173797607422","0.0","16","0","2013-02-04T17:16:55.605Z","","",""
"1","3","53.807664","-1.557283","129.07577514648438","0.0","16","1.8068","2013-02-04T17:16:56.604Z","","",""
"1","4","53.807679","-1.557337","136.4278564453125","0.0","8","1.7893","2013-02-04T17:16:57.605Z","","",""
"1","5","53.807693","-1.557386","132.9435577392578","0.0","8","1.6315","2013-02-04T17:16:59.000Z","","",""
"1","6","53.807714","-1.557447","138.81088256835938","0.0","8","1.5603","2013-02-04T17:17:01.000Z","","",""
"1","7","53.807721","-1.55746","139.84046936035156","0.0","6","1.4832","2013-02-04T17:17:02.000Z","","",""
"1","8","53.807738","-1.557515","139.77804565429688","294.3330993652344","8","1.4409","2013-02-04T17:17:06.000Z","","",""
"1","9","53.807742","-1.557541","136.78257751464844","285.4862976074219","8","1.8123","2013-02-04T17:17:07.000Z","","",""
"1","10","53.807749","-1.557605","132.2799072265625","277.2191162109375","8","2.0144","2013-02-04T17:17:09.000Z","","",""
"1","11","53.807754","-1.557644","136.0743865966797","281.02685546875","8","1.9529","2013-02-04T17:17:10.000Z","","",""
"1","12","53.807766","-1.557709","136.7228546142578","283.10760498046875","8","1.3388","2013-02-04T17:17:12.000Z","","",""
"1","13","53.807772","-1.557734","137.09397888183594","290.25628662109375","8","1.5958","2013-02-04T17:17:13.000Z","","",""
"1","14","53.807788","-1.557787","136.64772033691406","290.9995422363281","8","1.6888","2013-02-04T17:17:15.000Z","","",""
"1","15","53.807797","-1.557814","134.08978271484375","289.27880859375","8","1.6042","2013-02-04T17:17:16.000Z","","",""
"1","16","53.807813","-1.557872","132.10919189453125","286.5478515625","8","1.4216","2013-02-04T17:17:18.000Z","","",""
"1","17","53.80782","-1.557896","131.14845275878906","288.5181579589844","32","1.4986","2013-02-04T17:17:19.000Z","","",""
"1","18","53.807839","-1.557957","129.86135864257813","302.5314636230469","32","1.494","2013-02-04T17:17:22.000Z","","",""
"1","19","53.807847","-1.557977","129.8923797607422","297.4301452636719","6","1.4564","2013-02-04T17:17:23.000Z","","",""
"1","20","53.807857","-1.558025","129.92274475097656","284.74627685546875","16","1.5271","2013-02-04T17:17:25.000Z","","",""
"1","21","53.807859","-1.558053","129.8909454345703","283.8877868652344","8","1.5431","2013-02-04T17:17:26.000Z","","",""
"1","22","53.807869","-1.558106","129.83230590820313","286.31170654296875","8","1.5011","2013-02-04T17:17:28.000Z","","",""
"1","23","53.807872","-1.55813","129.83322143554688","286.39459228515625","16","1.5306","2013-02-04T17:17:29.000Z","","",""
"1","24","53.807875","-1.558201","129.93075561523438","294.7875671386719","6","1.4877","2013-02-04T17:17:31.000Z","","",""
"1","25","53.80788","-1.558221","129.9986114501953","292.3219299316406","16","1.4788","2013-02-04T17:17:32.000Z","","",""
"1","26","53.807883","-1.558293","130.0449676513672","289.82489013671875","6","1.4516","2013-02-04T17:17:34.000Z","","",""
"1","27","53.807884","-1.558327","130.04629516601563","286.1354675292969","6","1.4485","2013-02-04T17:17:35.000Z","","",""
"1","28","53.807889","-1.558382","129.94190979003906","280.83001708984375","8","1.4417","2013-02-04T17:17:37.000Z","","",""
"1","29","53.807891","-1.558404","129.838623046875","284.15765380859375","16","1.4289","2013-02-04T17:17:38.000Z","","",""
"1","30","53.807901","-1.558451","129.63645935058594","301.203369140625","16","1.4004","2013-02-04T17:17:40.000Z","","",""
"1","31","53.807906","-1.558484","129.50616455078125","294.78033447265625","6","1.3899","2013-02-04T17:17:41.000Z","","",""
"1","32","53.80792","-1.558548","129.0298614501953","301.4046630859375","8","1.3374","2013-02-04T17:17:44.000Z","","",""
"1","33","53.807925","-1.558568","128.9038848876953","298.6200866699219","8","1.3377","2013-02-04T17:17:45.000Z","","",""
"1","34","53.807929","-1.558631","128.75588989257813","289.1994934082031","8","1.3643","2013-02-04T17:17:47.000Z","","",""
"1","35","53.807934","-1.558675","128.7515106201172","279.7895812988281","8","1.4096","2013-02-04T17:17:48.000Z","","",""
"1","36","53.80794","-1.558745","128.7350311279297","277.9685363769531","16","1.4551","2013-02-04T17:17:50.000Z","","",""
"1","37","53.807943","-1.558766","128.73312377929688","279.1825866699219","16","1.4256","2013-02-04T17:17:51.000Z","","",""
"1","38","53.807946","-1.558826","128.8866424560547","280.693603515625","16","1.3937","2013-02-04T17:17:54.000Z","","",""
"1","39","53.807948","-1.558855","128.9332275390625","280.06219482421875","16","1.3933","2013-02-04T17:17:55.000Z","","",""
"1","40","53.807959","-1.558921","129.04031372070313","310.38580322265625","16","1.4478","2013-02-04T17:17:58.000Z","","",""
"1","41","53.807964","-1.558949","129.13937377929688","299.4168395996094","8","1.4377","2013-02-04T17:17:59.000Z","","",""
"1","42","53.807979","-1.559011","129.23622131347656","298.5964660644531","16","1.4046","2013-02-04T17:18:01.000Z","","",""
"1","43","53.807987","-1.559041","129.28829956054688","302.9803466796875","6","1.3949","2013-02-04T17:18:02.000Z","","",""
"1","44","53.808","-1.559085","129.24415588378906","308.27886962890625","16","1.3201","2013-02-04T17:18:04.000Z","","",""
"1","45","53.808005","-1.559115","129.2721405029297","290.0933532714844","16","1.3117","2013-02-04T17:18:05.000Z","","",""
"1","46","53.808024","-1.559177","129.34085083007813","315.2533264160156","16","1.3066","2013-02-04T17:18:07.000Z","","",""
"1","47","53.808034","-1.559199","129.38385009765625","313.764404296875","16","1.2918","2013-02-04T17:18:08.000Z","","",""
"1","48","53.808068","-1.559237","129.4225311279297","1.5798089504241943","16","1.2071","2013-02-04T17:18:11.000Z","","",""
"1","49","53.808071","-1.559245","129.32736206054688","36.116111755371094","16","1.1962","2013-02-04T17:18:12.000Z","","",""
"1","50","53.808097","-1.559305","129.11659240722656","41.701072692871094","16","0","2013-02-04T17:18:21.000Z","","",""
"1","51","53.808097","-1.559313","129.13201904296875","41.701072692871094","16","0","2013-02-04T17:18:22.000Z","","",""
"1","52","53.808081","-1.559378","129.33348083496094","41.701072692871094","8","0","2013-02-04T17:18:29.000Z","","",""
