"Name","Activity type","Description"
"To Work - by Adam","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842966","-1.630752","163.61282348632813","","12","0","2013-05-31T07:08:26.999Z","","",""
"1","2","53.842929","-1.630725","159.36842346191406","0.0","6","1.1925","2013-05-31T07:09:08.999Z","","",""
"1","3","53.842909","-1.630719","159.3928680419922","0.0","6","1.2402","2013-05-31T07:09:09.999Z","","",""
"1","4","53.842865","-1.630699","159.4906768798828","158.5189208984375","6","2.0529","2013-05-31T07:09:11.999Z","","",""
"1","5","53.842841","-1.630684","159.5596160888672","158.19866943359375","8","2.1369","2013-05-31T07:09:12.999Z","","",""
"1","6","53.842818","-1.630671","159.65061950683594","158.81658935546875","16","2.3735","2013-05-31T07:09:13.999Z","","",""
"1","7","53.842796","-1.63066","159.72801208496094","160.8907470703125","16","2.6262","2013-05-31T07:09:14.999Z","","",""
"1","8","53.842767","-1.630645","159.79513549804688","160.03408813476563","16","3.2692","2013-05-31T07:09:15.999Z","","",""
"1","9","53.842744","-1.630631","159.85813903808594","160.44830322265625","16","2.7179","2013-05-31T07:09:16.999Z","","",""
"1","10","53.842708","-1.630634","159.96910095214844","189.9408416748047","16","2.4307","2013-05-31T07:09:18.999Z","","",""
"1","11","53.842695","-1.630631","160.0226287841797","171.1198272705078","8","1.8313","2013-05-31T07:09:19.999Z","","",""
"1","12","53.84267","-1.630602","160.0618896484375","143.46926879882813","8","2.8989","2013-05-31T07:09:20.999Z","","",""
"1","13","53.842638","-1.630567","160.07293701171875","140.56739807128906","8","2.9065","2013-05-31T07:09:21.999Z","","",""
"1","14","53.842618","-1.630524","160.06732177734375","119.35025787353516","12","2.9271","2013-05-31T07:09:22.999Z","","",""
"1","15","53.842607","-1.63049","160.10128784179688","108.62808227539063","12","2.8546","2013-05-31T07:09:23.999Z","","",""
"1","16","53.842595","-1.630444","160.15333557128906","101.77391052246094","6","2.896","2013-05-31T07:09:24.999Z","","",""
"1","17","53.842585","-1.630402","160.18624877929688","102.83035278320313","6","2.883","2013-05-31T07:09:25.999Z","","",""
"1","18","53.842583","-1.630332","160.26341247558594","58.82905960083008","6","2.7268","2013-05-31T07:09:27.999Z","","",""
"1","19","53.842593","-1.630296","160.25367736816406","60.50883483886719","8","2.664","2013-05-31T07:09:28.999Z","","",""
"1","20","53.842606","-1.630255","160.142333984375","59.04599380493164","8","2.6373","2013-05-31T07:09:29.999Z","","",""
"1","21","53.842623","-1.630229","160.05409240722656","39.980506896972656","8","2.6093","2013-05-31T07:09:30.999Z","","",""
"1","22","53.842649","-1.630208","159.9860382080078","27.088979721069336","8","2.6652","2013-05-31T07:09:31.999Z","","",""
"1","23","53.842689","-1.630169","158.85153198242188","28.96673011779785","6","2.8331","2013-05-31T07:09:32.999Z","","",""
"1","24","53.842739","-1.630118","157.81935119628906","33.79094696044922","8","3.0427","2013-05-31T07:09:33.999Z","","",""
"1","25","53.842789","-1.630051","156.9896240234375","41.10283660888672","8","3.3217","2013-05-31T07:09:34.999Z","","",""
"1","26","53.84284","-1.629988","156.08929443359375","40.37712478637695","8","3.5877","2013-05-31T07:09:35.999Z","","",""
"1","27","53.842877","-1.62992","155.09646606445313","50.779170989990234","8","3.8617","2013-05-31T07:09:36.999Z","","",""
"1","28","53.842914","-1.629852","154.68563842773438","49.878971099853516","8","4.0868","2013-05-31T07:09:37.999Z","","",""
"1","29","53.842954","-1.629787","154.3424072265625","49.5587043762207","8","4.2504","2013-05-31T07:09:38.999Z","","",""
"1","30","53.842991","-1.629731","154.04116821289063","50.919002532958984","8","4.2742","2013-05-31T07:09:39.999Z","","",""
"1","31","53.84303","-1.62976","153.91769409179688","67.2407455444336","8","0","2013-05-31T07:09:44.999Z","","",""
"1","32","53.843039","-1.629763","153.92233276367188","62.83485412597656","8","0.5708","2013-05-31T07:09:45.999Z","","",""
"1","33","53.843061","-1.629725","153.9510955810547","88.61946105957031","8","2.0304","2013-05-31T07:09:47.999Z","","",""
"1","34","53.843036","-1.629664","154.87705993652344","123.98483276367188","12","0","2013-05-31T07:09:48.999Z","","",""
"1","35","53.842989","-1.629568","155.07589721679688","130.8994140625","12","5.0246","2013-05-31T07:09:49.999Z","","",""
"1","36","53.842929","-1.629481","155.75758361816406","136.54205322265625","12","5.7938","2013-05-31T07:09:50.999Z","","",""
"1","37","53.842855","-1.629382","155.6125030517578","136.8766326904297","12","6.647","2013-05-31T07:09:51.999Z","","",""
"1","38","53.842789","-1.629273","155.89889526367188","137.7333984375","12","8.7708","2013-05-31T07:09:52.999Z","","",""
"1","39","53.842719","-1.629152","155.69895935058594","137.00306701660156","12","9.5847","2013-05-31T07:09:53.999Z","","",""
"1","40","53.842657","-1.629043","155.58892822265625","136.1187286376953","12","9.037","2013-05-31T07:09:54.999Z","","",""
"1","41","53.842594","-1.628929","155.88499450683594","135.35867309570313","12","8.9601","2013-05-31T07:09:55.999Z","","",""
"1","42","53.842537","-1.628821","155.83448791503906","134.78990173339844","12","8.6365","2013-05-31T07:09:56.999Z","","",""
"1","43","53.842478","-1.628704","155.48094177246094","133.38525390625","12","9.3704","2013-05-31T07:09:57.999Z","","",""
"1","44","53.842415","-1.628575","155.76817321777344","131.73753356933594","12","10.6786","2013-05-31T07:09:58.999Z","","",""
"1","45","53.842344","-1.628399","155.8998260498047","129.50762939453125","8","10.7371","2013-05-31T07:09:59.999Z","","",""
"1","46","53.842276","-1.628212","155.81280517578125","127.3004150390625","8","10.8104","2013-05-31T07:10:00.999Z","","",""
"1","47","53.842218","-1.628046","155.6894989013672","125.03289794921875","8","11.1264","2013-05-31T07:10:01.999Z","","",""
"1","48","53.842162","-1.627873","155.68292236328125","122.52801513671875","8","10.0204","2013-05-31T07:10:02.999Z","","",""
"1","49","53.842116","-1.627717","155.19517517089844","119.77204895019531","8","9.9125","2013-05-31T07:10:03.999Z","","",""
"1","50","53.842077","-1.627567","154.16677856445313","117.19935607910156","8","10.0934","2013-05-31T07:10:04.999Z","","",""
