"Name","Activity type","Description"
"To Work 06/27/12 7:25:11","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842716","-1.63072","116.0999984741211","","","","2012-06-27T06:25:24.000Z","","",""
"1","2","53.843174","-1.630224","86.4000015258789","32.63215255737305","","2.7514","2012-06-27T06:25:46.000Z","","",""
"1","3","53.843063","-1.63061","79.4000015258789","244.10922241210938","","1.2301","2012-06-27T06:26:09.000Z","","",""
"1","4","53.842823","-1.629937","91.69999694824219","121.06011962890625","","1.5689","2012-06-27T06:26:42.000Z","","",""
"1","5","53.84295","-1.62979","90.19999694824219","34.39225387573242","","0.7786","2012-06-27T06:27:04.000Z","","",""
"1","6","53.84283","-1.629256","100.0999984741211","110.83448028564453","","3.4138","2012-06-27T06:27:15.000Z","","",""
"1","7","53.84214","-1.628114","105.0","135.59844970703125","","9.772","2012-06-27T06:27:26.000Z","","",""
"1","8","53.84201","-1.626716","102.69999694824219","98.93407440185547","","8.4696","2012-06-27T06:27:37.000Z","","",""
"1","9","53.841595","-1.625342","122.0999984741211","117.06370544433594","","9.2291","2012-06-27T06:27:48.000Z","","",""
"1","10","53.84124","-1.624385","97.69999694824219","122.0808334350586","","6.7631","2012-06-27T06:27:59.000Z","","",""
"1","11","53.840363","-1.623181","92.5","140.92994689941406","","11.4297","2012-06-27T06:28:10.000Z","","",""
"1","12","53.839615","-1.621765","84.9000015258789","131.77394104003906","","11.3607","2012-06-27T06:28:21.000Z","","",""
"1","13","53.838932","-1.620763","82.80000305175781","139.0608367919922","","9.1485","2012-06-27T06:28:32.000Z","","",""
"1","14","53.838116","-1.620059","82.5","152.94287109375","","9.2713","2012-06-27T06:28:43.000Z","","",""
"1","15","53.837296","-1.619409","74.19999694824219","154.89425659179688","","9.1627","2012-06-27T06:28:54.000Z","","",""
"1","16","53.8368","-1.619299","81.0","172.55384826660156","","5.0614","2012-06-27T06:29:05.000Z","","",""
"1","17","53.8364","-1.618643","86.19999694824219","135.84982299804688","","5.6407","2012-06-27T06:29:16.000Z","","",""
"1","18","53.835674","-1.618902","81.69999694824219","191.9064178466797","","7.5074","2012-06-27T06:29:27.000Z","","",""
"1","19","53.835022","-1.618493","78.69999694824219","159.65191650390625","","7.0362","2012-06-27T06:29:38.000Z","","",""
"1","20","53.83416","-1.61746","75.0","144.68199157714844","","10.6893","2012-06-27T06:29:49.000Z","","",""
"1","21","53.833572","-1.616391","83.5","132.90052795410156","","6.4093","2012-06-27T06:30:04.000Z","","",""
"1","22","53.833492","-1.615411","90.19999694824219","97.8634262084961","","5.9163","2012-06-27T06:30:15.000Z","","",""
"1","23","53.833427","-1.614556","81.69999694824219","97.31651306152344","","2.5821","2012-06-27T06:30:37.000Z","","",""
"1","24","53.832943","-1.614643","78.19999694824219","186.0970458984375","","2.4626","2012-06-27T06:30:59.000Z","","",""
"1","25","53.8324","-1.614755","70.9000015258789","186.9378662109375","","5.5348","2012-06-27T06:31:10.000Z","","",""
"1","26","53.831997","-1.614821","70.80000305175781","185.5917205810547","","4.0972","2012-06-27T06:31:21.000Z","","",""
"1","27","53.831028","-1.614602","75.80000305175781","172.3540802001953","","4.9463","2012-06-27T06:31:43.000Z","","",""
"1","28","53.83068","-1.614314","100.9000015258789","153.98593139648438","","3.9181","2012-06-27T06:31:54.000Z","","",""
"1","29","53.830254","-1.613765","93.0","142.64393615722656","","5.4227","2012-06-27T06:32:05.000Z","","",""
"1","30","53.82985","-1.613019","89.4000015258789","132.46481323242188","","5.1233","2012-06-27T06:32:18.000Z","","",""
"1","31","53.829224","-1.6126","95.0","158.4311065673828","","5.7632","2012-06-27T06:32:31.000Z","","",""
"1","32","53.82895","-1.610985","102.80000305175781","105.99699401855469","","7.904","2012-06-27T06:32:45.000Z","","",""
