"Name","Activity type","Description"
"To Work 17/10/2013 08:21","biking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.843032","-1.63159","131.89453125","","32","","2013-10-17T07:22:15.705Z","","",""
"1","2","53.843032","-1.63159","131.89453125","","32","","2013-10-17T07:22:16.709Z","","",""
"1","3","53.842865","-1.631341","129.3173828125","138.0","29.166","14.9158","2013-10-17T07:22:17.698Z","","",""
"1","4","53.842721","-1.631283","125.41813659667969","151.0","26.804","15.0547","2013-10-17T07:22:18.705Z","","",""
"1","5","53.842638","-1.631257","128.46435546875","155.0","23.263","9.4691","2013-10-17T07:22:20.723Z","","",""
"1","6","53.842602","-1.631234","149.5398406982422","156.0","25.425","8.2767","2013-10-17T07:22:21.699Z","","",""
"1","7","53.842688","-1.631252","187.9242706298828","148.0","22.795","3.6079","2013-10-17T07:22:23.721Z","","",""
"1","8","53.842737","-1.631236","181.1544189453125","132.0","20.717","2.3684","2013-10-17T07:22:24.698Z","","",""
"1","9","53.842767","-1.631226","186.88946533203125","115.0","19.53","1.7414","2013-10-17T07:22:25.707Z","","",""
"1","10","53.842852","-1.631056","188.12913513183594","73.0","10.675","3.2848","2013-10-17T07:22:26.772Z","","",""
"1","11","53.842869","-1.631014","188.05642700195313","69.0","8.802","3.2872","2013-10-17T07:22:27.747Z","","",""
"1","12","53.842884","-1.63091","186.70611572265625","72.0","8.238","4.2675","2013-10-17T07:22:28.751Z","","",""
"1","13","53.842898","-1.630779","172.30255126953125","76.0","6.301","4.8347","2013-10-17T07:22:30.533Z","","",""
"1","14","53.842901","-1.630735","172.8715362548828","78.0","5.908","4.1931","2013-10-17T07:22:31.300Z","","",""
"1","15","53.842833","-1.630676","165.3630828857422","143.0","8.89","1.914","2013-10-17T07:22:36.296Z","","",""
"1","16","53.842798","-1.630667","164.47988891601563","155.0","9.518","2.3886","2013-10-17T07:22:37.321Z","","",""
"1","17","53.842714","-1.63065","162.16419982910156","166.0","9.916","3.4004","2013-10-17T07:22:39.286Z","","",""
"1","18","53.842667","-1.63064","159.70130920410156","168.0","10.014","3.85","2013-10-17T07:22:40.302Z","","",""
"1","19","53.842597","-1.630609","154.320068359375","167.0","9.99","3.9225","2013-10-17T07:22:42.282Z","","",""
"1","20","53.842573","-1.630587","151.19125366210938","163.0","10.013","3.6626","2013-10-17T07:22:43.283Z","","",""
"1","21","53.842549","-1.630472","148.26454162597656","135.0","10.127","2.7061","2013-10-17T07:22:46.336Z","","",""
"1","22","53.84256","-1.630428","148.1285858154297","118.0","9.976","2.4829","2013-10-17T07:22:47.258Z","","",""
"1","23","53.842616","-1.63034","145.6253204345703","73.0","10.095","2.5446","2013-10-17T07:22:49.306Z","","",""
"1","24","53.84266","-1.630299","144.53558349609375","55.0","10.025","3.0818","2013-10-17T07:22:50.272Z","","",""
"1","25","53.842716","-1.630252","143.9547882080078","43.0","10.042","3.9084","2013-10-17T07:22:51.272Z","","",""
"1","26","53.842779","-1.630191","143.3756561279297","37.0","10.104","4.8647","2013-10-17T07:22:52.310Z","","",""
"1","27","53.842841","-1.630126","142.97459411621094","35.0","10.045","5.6826","2013-10-17T07:22:54.173Z","","",""
"1","28","53.842904","-1.630053","142.18951416015625","35.0","10.03","6.3798","2013-10-17T07:22:54.270Z","","",""
"1","29","53.842964","-1.629978","141.7346954345703","35.0","10.039","6.8684","2013-10-17T07:22:55.268Z","","",""
"1","30","53.843016","-1.629903","142.2422332763672","36.0","10.055","7.019","2013-10-17T07:22:56.274Z","","",""
"1","31","53.843083","-1.629809","142.39952087402344","37.0","11.415","6.0462","2013-10-17T07:22:58.961Z","","",""
"1","32","53.8431","-1.629781","142.5298309326172","38.0","12.381","5.2774","2013-10-17T07:22:59.249Z","","",""
"1","33","53.843052","-1.629688","143.82118225097656","72.0","11.608","2.7613","2013-10-17T07:23:02.327Z","","",""
"1","34","53.843032","-1.629639","144.42764282226563","86.0","12.362","2.7599","2013-10-17T07:23:03.329Z","","",""
"1","35","53.842998","-1.629577","144.50729370117188","103.0","13.001","3.1123","2013-10-17T07:23:04.347Z","","",""
"1","36","53.842949","-1.629499","144.45062255859375","116.0","13.375","3.8857","2013-10-17T07:23:05.329Z","","",""
"1","37","53.84289","-1.629413","144.46676635742188","124.0","13.611","4.8105","2013-10-17T07:23:06.314Z","","",""
"1","38","53.842825","-1.629314","143.88917541503906","129.0","13.765","5.7725","2013-10-17T07:23:07.313Z","","",""
