"Name","Activity type","Description"
"To Work By Park","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842975","-1.630653","173.17127990722656","","12","0","2013-05-07T07:07:32.067Z","","",""
"1","2","53.842975","-1.630653","152.810791015625","0.0","24","0","2013-05-07T07:07:41.999Z","","",""
"1","3","53.842944","-1.63074","150.62171936035156","0.0","24","1.1902","2013-05-07T07:07:42.999Z","","",""
"1","4","53.842944","-1.63074","151.1659393310547","0.0","8","0","2013-05-07T07:08:04.999Z","","",""
"1","5","53.842894","-1.630851","151.06446838378906","0.0","8","1.4302","2013-05-07T07:08:05.999Z","","",""
"1","6","53.842852","-1.630874","150.9105682373047","0.0","12","1.4722","2013-05-07T07:08:07.999Z","","",""
"1","7","53.842827","-1.630869","150.81446838378906","166.16139221191406","12","2.6599","2013-05-07T07:08:08.999Z","","",""
"1","8","53.842799","-1.630858","150.70217895507813","165.73191833496094","12","3.3645","2013-05-07T07:08:09.999Z","","",""
"1","9","53.842765","-1.630842","150.57069396972656","165.0188751220703","12","3.9142","2013-05-07T07:08:10.999Z","","",""
"1","10","53.842728","-1.630828","150.4637908935547","164.05368041992188","12","4.0168","2013-05-07T07:08:11.999Z","","",""
"1","11","53.842683","-1.630807","149.73106384277344","163.36793518066406","12","4.4965","2013-05-07T07:08:12.999Z","","",""
"1","12","53.842644","-1.630772","149.65072631835938","149.30970764160156","12","4.0891","2013-05-07T07:08:13.999Z","","",""
"1","13","53.842613","-1.630738","149.4038543701172","146.77549743652344","12","4.3448","2013-05-07T07:08:14.999Z","","",""
"1","14","53.842594","-1.630693","149.40374755859375","133.66619873046875","8","3.9417","2013-05-07T07:08:15.999Z","","",""
"1","15","53.842571","-1.630613","149.47335815429688","119.72724914550781","8","4.1402","2013-05-07T07:08:16.999Z","","",""
"1","16","53.842562","-1.630517","150.46031188964844","102.58771514892578","8","4.8675","2013-05-07T07:08:17.999Z","","",""
"1","17","53.842557","-1.630439","150.88723754882813","102.28722381591797","8","4.867","2013-05-07T07:08:18.999Z","","",""
"1","18","53.842568","-1.630392","150.88348388671875","85.12202453613281","8","4.6874","2013-05-07T07:08:19.999Z","","",""
"1","19","53.842586","-1.63033","150.8396759033203","62.977928161621094","8","4.5251","2013-05-07T07:08:20.999Z","","",""
"1","20","53.842614","-1.630274","150.7673797607422","46.011531829833984","8","4.4086","2013-05-07T07:08:21.999Z","","",""
"1","21","53.842652","-1.630235","149.83511352539063","25.292909622192383","8","4.3957","2013-05-07T07:08:22.999Z","","",""
"1","22","53.842693","-1.630206","149.07623291015625","17.977216720581055","8","4.5148","2013-05-07T07:08:23.999Z","","",""
"1","23","53.84274","-1.630175","148.35179138183594","22.221261978149414","8","4.6586","2013-05-07T07:08:24.999Z","","",""
"1","24","53.842795","-1.630123","147.9183349609375","31.126548767089844","8","4.8604","2013-05-07T07:08:25.999Z","","",""
"1","25","53.842854","-1.630057","147.66087341308594","34.49418640136719","8","5.0718","2013-05-07T07:08:26.999Z","","",""
"1","26","53.842907","-1.629976","148.00119018554688","41.91923904418945","8","5.3276","2013-05-07T07:08:27.999Z","","",""
"1","27","53.842959","-1.629892","148.8837127685547","41.0250358581543","8","7.2602","2013-05-07T07:08:28.999Z","","",""
"1","28","53.843001","-1.62982","150.09774780273438","41.668582916259766","8","5.1586","2013-05-07T07:08:29.999Z","","",""
"1","29","53.84302","-1.629782","150.2091064453125","42.452491760253906","8","2.2102","2013-05-07T07:08:30.999Z","","",""
"1","30","53.84303","-1.629761","150.3394012451172","43.719085693359375","8","0.9916","2013-05-07T07:08:31.999Z","","",""
"1","31","53.843039","-1.629723","151.0369110107422","86.2333755493164","8","2.6288","2013-05-07T07:08:37.999Z","","",""
"1","32","53.843022","-1.629673","151.63681030273438","116.32917785644531","12","4.3099","2013-05-07T07:08:38.999Z","","",""
"1","33","53.842991","-1.629601","151.80633544921875","129.44664001464844","12","5.4447","2013-05-07T07:08:39.999Z","","",""
"1","34","53.842951","-1.629515","151.52162170410156","131.29920959472656","12","6.296","2013-05-07T07:08:40.999Z","","",""
"1","35","53.842902","-1.629416","150.7530975341797","132.4539031982422","12","7.1337","2013-05-07T07:08:41.999Z","","",""
"1","36","53.842854","-1.629338","149.82594299316406","133.6035919189453","8","7.6161","2013-05-07T07:08:42.999Z","","",""
"1","37","53.8428","-1.629248","148.59405517578125","134.65699768066406","8","8.1522","2013-05-07T07:08:43.999Z","","",""
