"Name","Activity type","Description"
"To Work, Otley Road","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.843027","-1.630651","179.4250030517578","","24","0","2013-08-01T07:31:09.999Z","","",""
"1","2","53.843027","-1.630651","180.4698028564453","0.0","16","0","2013-08-01T07:31:25.999Z","","",""
"1","3","53.843085","-1.630769","180.4613494873047","0.0","16","0","2013-08-01T07:31:26.999Z","","",""
"1","4","53.843085","-1.630769","180.35499572753906","0.0","12","0","2013-08-01T07:31:32.999Z","","",""
"1","5","53.842979","-1.630765","180.0832977294922","0.0","12","0","2013-08-01T07:31:33.999Z","","",""
"1","6","53.842939","-1.630736","179.63951110839844","0.0","12","1.2822","2013-08-01T07:31:35.999Z","","",""
"1","7","53.84292","-1.63072","179.42141723632813","0.0","32","1.3192","2013-08-01T07:31:36.999Z","","",""
"1","8","53.84288","-1.630685","178.9964141845703","0.0","16","1.4235","2013-08-01T07:31:38.999Z","","",""
"1","9","53.842863","-1.630667","178.6815185546875","0.0","16","1.4285","2013-08-01T07:31:39.999Z","","",""
"1","10","53.84283","-1.630631","178.02001953125","0.0","16","1.4544","2013-08-01T07:31:41.999Z","","",""
"1","11","53.842812","-1.630608","177.71014404296875","0.0","24","1.5423","2013-08-01T07:31:42.999Z","","",""
"1","12","53.842788","-1.630579","177.41940307617188","0.0","24","1.6623","2013-08-01T07:31:43.999Z","","",""
"1","13","53.842795","-1.63051","177.23300170898438","0.0","24","3.4944","2013-08-01T07:31:44.999Z","","",""
"1","14","53.842837","-1.630442","175.8575439453125","0.0","24","4.8006","2013-08-01T07:31:45.999Z","","",""
"1","15","53.842883","-1.630371","174.95040893554688","53.18143081665039","24","4.8006","2013-08-01T07:31:46.999Z","","",""
"1","16","53.84291","-1.630323","174.8114471435547","48.40717315673828","16","3.2545","2013-08-01T07:31:47.999Z","","",""
"1","17","53.842937","-1.630279","174.6595458984375","45.48085403442383","16","3.5281","2013-08-01T07:31:48.999Z","","",""
"1","18","53.842962","-1.630237","174.51602172851563","43.984107971191406","16","3.5256","2013-08-01T07:31:49.999Z","","",""
"1","19","53.842994","-1.630188","172.80648803710938","42.4134521484375","16","4.359","2013-08-01T07:31:50.999Z","","",""
