"Name","Activity type","Description"
"To Work, Otley Road","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842984","-1.630683","178.11260986328125","","48","0","2012-10-23T09:43:42.748Z","","",""
"1","2","53.842984","-1.630683","178.11260986328125","","48","0","2012-10-23T09:43:42.748Z","","",""
"1","3","53.842984","-1.630683","178.38272094726563","0.0","32","0","2012-10-23T09:43:44.749Z","","",""
"1","4","53.842914","-1.630618","187.18017578125","0.0","8","0","2012-10-23T09:43:45.757Z","","",""
"1","5","53.842914","-1.630618","187.18017578125","0.0","8","0","2012-10-23T09:43:45.757Z","","",""
"1","6","53.842914","-1.630618","158.73797607421875","0.0","8","0","2012-10-23T09:44:13.000Z","","",""
"1","7","53.842929","-1.63069","158.8347930908203","0.0","6","0","2012-10-23T09:44:59.000Z","","",""
"1","8","53.842878","-1.630671","159.56150817871094","0.0","12","2.3072","2012-10-23T09:45:01.000Z","","",""
"1","9","53.842799","-1.630656","160.07748413085938","170.03948974609375","8","3.9382","2012-10-23T09:45:03.000Z","","",""
"1","10","53.842751","-1.630641","161.5252227783203","167.67298889160156","8","4.639","2012-10-23T09:45:04.000Z","","",""
"1","11","53.842702","-1.630623","162.25865173339844","165.2144012451172","8","4.8395","2012-10-23T09:45:05.000Z","","",""
"1","12","53.842652","-1.630596","163.06216430664063","161.20578002929688","8","5.3849","2012-10-23T09:45:06.000Z","","",""
"1","13","53.842612","-1.630548","163.32620239257813","140.3907928466797","8","5.1979","2012-10-23T09:45:07.000Z","","",""
"1","14","53.842579","-1.630486","163.2643585205078","126.37084197998047","8","5.2357","2012-10-23T09:45:08.000Z","","",""
"1","15","53.842562","-1.630411","162.7253875732422","100.2430419921875","8","5.1343","2012-10-23T09:45:09.000Z","","",""
"1","16","53.842563","-1.630282","161.7482452392578","78.4524154663086","6","4.9584","2012-10-23T09:45:11.000Z","","",""
"1","17","53.842625","-1.630191","157.40823364257813","33.12067794799805","6","4.8772","2012-10-23T09:45:13.000Z","","",""
"1","18","53.842673","-1.630161","155.74415588378906","17.172571182250977","6","4.9355","2012-10-23T09:45:14.000Z","","",""
"1","19","53.84273","-1.630131","154.4053497314453","16.84430694580078","8","5.1016","2012-10-23T09:45:15.000Z","","",""
"1","20","53.842784","-1.630085","153.4817352294922","27.21482276916504","12","5.2562","2012-10-23T09:45:16.000Z","","",""
"1","21","53.842837","-1.630033","152.46092224121094","31.751028060913086","12","5.4086","2012-10-23T09:45:17.000Z","","",""
"1","22","53.842888","-1.629949","151.4445037841797","46.85923385620117","8","5.5793","2012-10-23T09:45:18.000Z","","",""
"1","23","53.842935","-1.629881","150.4881134033203","40.67695999145508","8","5.6108","2012-10-23T09:45:19.000Z","","",""
"1","24","53.842977","-1.629817","150.3090057373047","32.109397888183594","12","4.9974","2012-10-23T09:45:21.000Z","","",""
"1","25","53.842949","-1.629747","150.14727783203125","43.2946662902832","8","0","2012-10-23T09:45:25.000Z","","",""
"1","26","53.842998","-1.629774","150.0723876953125","43.2946662902832","8","0","2012-10-23T09:45:35.000Z","","",""
"1","27","53.843035","-1.629829","149.76089477539063","47.57372283935547","8","0.7469","2012-10-23T09:45:40.000Z","","",""
"1","28","53.843077","-1.62979","149.35879516601563","28.957406997680664","8","1.3287","2012-10-23T09:45:42.000Z","","",""
"1","29","53.843038","-1.629672","149.34291076660156","117.22942352294922","6","2.5218","2012-10-23T09:45:43.000Z","","",""
"1","30","53.842988","-1.629591","149.7976531982422","131.08628845214844","6","3.9196","2012-10-23T09:45:44.000Z","","",""
"1","31","53.842936","-1.629506","150.2830810546875","133.4383087158203","8","5.1236","2012-10-23T09:45:45.000Z","","",""
"1","32","53.842872","-1.6294","150.4949951171875","135.42710876464844","8","5.9289","2012-10-23T09:45:46.000Z","","",""
"1","33","53.842808","-1.629282","150.70785522460938","132.96041870117188","8","8.7416","2012-10-23T09:45:47.000Z","","",""
"1","34","53.84275","-1.629166","151.0959014892578","133.4914093017578","8","9.0701","2012-10-23T09:45:48.000Z","","",""
"1","35","53.84269","-1.62905","151.74569702148438","133.1444854736328","8","9.3759","2012-10-23T09:45:49.000Z","","",""
"1","36","53.842632","-1.628946","152.4303741455078","132.435791015625","8","9.4027","2012-10-23T09:45:50.000Z","","",""
"1","37","53.842578","-1.628843","152.87403869628906","132.05377197265625","6","9.2537","2012-10-23T09:45:51.000Z","","",""
"1","38","53.842526","-1.628739","152.974609375","130.70285034179688","6","9.0467","2012-10-23T09:45:52.000Z","","",""
"1","39","53.842474","-1.628625","153.13441467285156","129.33839416503906","6","8.866","2012-10-23T09:45:53.000Z","","",""
"1","40","53.842418","-1.628496","153.3898162841797","128.26876831054688","12","9.2351","2012-10-23T09:45:54.000Z","","",""
"1","41","53.842366","-1.628375","153.55706787109375","127.04568481445313","12","9.0932","2012-10-23T09:45:55.000Z","","",""
"1","42","53.842315","-1.628243","154.25218200683594","124.59062194824219","12","9.716","2012-10-23T09:45:56.000Z","","",""
"1","43","53.842265","-1.628113","155.36248779296875","123.5414047241211","12","10.0046","2012-10-23T09:45:57.000Z","","",""
"1","44","53.842216","-1.627982","156.38064575195313","122.8844985961914","6","9.9492","2012-10-23T09:45:58.000Z","","",""
"1","45","53.842162","-1.627836","157.08998107910156","121.30963134765625","6","9.99","2012-10-23T09:45:59.000Z","","",""
"1","46","53.842114","-1.627696","157.7146453857422","120.42781066894531","6","9.8537","2012-10-23T09:46:00.000Z","","",""
"1","47","53.842072","-1.627564","158.23724365234375","119.5537109375","6","9.6618","2012-10-23T09:46:01.000Z","","",""
"1","48","53.842034","-1.627437","158.89642333984375","118.88701629638672","6","9.2789","2012-10-23T09:46:02.000Z","","",""
"1","49","53.841996","-1.627302","159.4512176513672","118.40469360351563","6","9.256","2012-10-23T09:46:03.000Z","","",""
"1","50","53.841962","-1.627163","159.88246154785156","115.40467834472656","6","9.137","2012-10-23T09:46:04.000Z","","",""
"1","51","53.841935","-1.627027","159.8148193359375","113.49149322509766","6","8.9059","2012-10-23T09:46:05.000Z","","",""
"1","52","53.841907","-1.626899","159.40748596191406","112.54412841796875","6","8.5248","2012-10-23T09:46:06.000Z","","",""
"1","53","53.841882","-1.626787","158.93417358398438","112.9854507446289","6","8.5465","2012-10-23T09:46:07.000Z","","",""
"1","54","53.841856","-1.626676","158.45071411132813","113.15531921386719","6","8.4915","2012-10-23T09:46:08.000Z","","",""
