"Name","Activity type","Description"
"To Work-07/23/12 7:28:12","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.842957","-1.630711","113.5","","","","2012-07-23T06:28:14.000Z","","",""
"1","2","53.842903","-1.630706","113.69999694824219","176.4905242919922","","0.5474","2012-07-23T06:28:25.000Z","","",""
"1","3","53.84281","-1.630655","113.4000015258789","162.0976104736328","","2.7194","2012-07-23T06:28:29.000Z","","",""
"1","4","53.842697","-1.630604","112.9000015258789","164.99961853027344","","2.6042","2012-07-23T06:28:34.000Z","","",""
"1","5","53.842594","-1.630487","112.5","146.08518981933594","","3.4536","2012-07-23T06:28:38.000Z","","",""
"1","6","53.842583","-1.630343","112.30000305175781","97.3701171875","","4.7721","2012-07-23T06:28:40.000Z","","",""
"1","7","53.842625","-1.630222","111.0","59.48609924316406","","4.6034","2012-07-23T06:28:42.000Z","","",""
"1","8","53.842724","-1.630143","109.5999984741211","25.403152465820313","","6.0992","2012-07-23T06:28:44.000Z","","",""
"1","9","53.842834","-1.630036","109.69999694824219","29.770923614501953","","7.0524","2012-07-23T06:28:46.000Z","","",""
"1","10","53.842888","-1.62996","109.80000305175781","40.066566467285156","","7.8536","2012-07-23T06:28:47.000Z","","",""
"1","11","53.842945","-1.629878","109.5999984741211","40.389930725097656","","8.3296","2012-07-23T06:28:48.000Z","","",""
"1","12","53.843002","-1.629798","109.4000015258789","39.410362243652344","","8.2113","2012-07-23T06:28:49.000Z","","",""
"1","13","53.843075","-1.629694","108.80000305175781","40.16897964477539","","3.5443","2012-07-23T06:28:52.000Z","","",""
"1","14","53.843037","-1.629509","106.4000015258789","109.0961685180664","","4.3093","2012-07-23T06:28:55.000Z","","",""
"1","15","53.842937","-1.629342","104.19999694824219","135.35704040527344","","7.8216","2012-07-23T06:28:57.000Z","","",""
"1","16","53.84288","-1.629252","103.19999694824219","136.99342346191406","","8.6755","2012-07-23T06:28:58.000Z","","",""
"1","17","53.842823","-1.629154","102.19999694824219","134.58209228515625","","9.0382","2012-07-23T06:28:59.000Z","","",""
"1","18","53.84276","-1.629051","101.30000305175781","136.104248046875","","9.7308","2012-07-23T06:29:00.000Z","","",""
"1","19","53.8427","-1.628946","100.4000015258789","133.93492126464844","","9.6249","2012-07-23T06:29:01.000Z","","",""
"1","20","53.84264","-1.628836","99.5","132.76416015625","","9.8355","2012-07-23T06:29:02.000Z","","",""
"1","21","53.842583","-1.628727","98.69999694824219","131.27684020996094","","9.6168","2012-07-23T06:29:03.000Z","","",""
"1","22","53.84253","-1.628625","98.0","131.3031768798828","","8.9373","2012-07-23T06:29:04.000Z","","",""
"1","23","53.842476","-1.628514","97.30000305175781","129.51724243164063","","9.4456","2012-07-23T06:29:05.000Z","","",""
"1","24","53.842422","-1.628401","96.69999694824219","128.8657684326172","","9.5782","2012-07-23T06:29:06.000Z","","",""
"1","25","53.84237","-1.628292","96.0","128.9438018798828","","9.2079","2012-07-23T06:29:07.000Z","","",""
"1","26","53.84232","-1.628181","95.5","127.4203872680664","","9.1583","2012-07-23T06:29:08.000Z","","",""
"1","27","53.84227","-1.628054","95.19999694824219","123.6107406616211","","10.0535","2012-07-23T06:29:09.000Z","","",""
"1","28","53.842216","-1.627929","94.5999984741211","126.21279907226563","","10.1734","2012-07-23T06:29:10.000Z","","",""
"1","29","53.842175","-1.627816","94.0","121.37232208251953","","8.7657","2012-07-23T06:29:11.000Z","","",""
"1","30","53.842133","-1.627699","93.0","121.3227767944336","","8.9922","2012-07-23T06:29:12.000Z","","",""
"1","31","53.842094","-1.627592","92.5","121.69396209716797","","8.2621","2012-07-23T06:29:13.000Z","","",""
"1","32","53.84206","-1.627487","92.4000015258789","118.61044311523438","","7.9028","2012-07-23T06:29:14.000Z","","",""
"1","33","53.84203","-1.627379","92.4000015258789","115.20015716552734","","7.8422","2012-07-23T06:29:15.000Z","","",""
"1","34","53.841995","-1.627259","92.4000015258789","116.34664154052734","","8.7777","2012-07-23T06:29:16.000Z","","",""
"1","35","53.84197","-1.62715","92.80000305175781","111.09156799316406","","7.7323","2012-07-23T06:29:17.000Z","","",""
"1","36","53.841946","-1.627035","93.4000015258789","109.46842956542969","","8.0148","2012-07-23T06:29:18.000Z","","",""
"1","37","53.84192","-1.626929","93.69999694824219","112.43094635009766","","7.5841","2012-07-23T06:29:19.000Z","","",""
"1","38","53.841896","-1.626817","93.80000305175781","109.93365478515625","","7.8351","2012-07-23T06:29:20.000Z","","",""
"1","39","53.84187","-1.626709","93.9000015258789","112.24268341064453","","7.645","2012-07-23T06:29:21.000Z","","",""
"1","40","53.84184","-1.6266","94.19999694824219","114.9164047241211","","7.9257","2012-07-23T06:29:22.000Z","","",""
"1","41","53.841812","-1.626498","94.4000015258789","114.85639190673828","","7.414","2012-07-23T06:29:23.000Z","","",""
"1","42","53.84179","-1.626398","94.19999694824219","110.51799011230469","","6.9861","2012-07-23T06:29:24.000Z","","",""
"1","43","53.841763","-1.626296","94.30000305175781","114.02930450439453","","7.38","2012-07-23T06:29:25.000Z","","",""
"1","44","53.84171","-1.626095","94.0999984741211","114.00884246826172","","7.2491","2012-07-23T06:29:27.000Z","","",""
"1","45","53.841652","-1.625875","93.9000015258789","114.0748519897461","","7.9125","2012-07-23T06:29:29.000Z","","",""
"1","46","53.84161","-1.62568","94.0999984741211","110.00171661376953","","6.8333","2012-07-23T06:29:31.000Z","","",""
"1","47","53.841564","-1.62549","95.0999984741211","112.29458618164063","","6.7479","2012-07-23T06:29:33.000Z","","",""
"1","48","53.841507","-1.625287","94.5","115.3864974975586","","7.399","2012-07-23T06:29:35.000Z","","",""
"1","49","53.84145","-1.625117","94.19999694824219","119.49302673339844","","6.4432","2012-07-23T06:29:37.000Z","","",""
"1","50","53.84141","-1.62502","93.9000015258789","124.91468048095703","","7.7785","2012-07-23T06:29:38.000Z","","",""
"1","51","53.84137","-1.624925","93.5","125.30697631835938","","7.7031","2012-07-23T06:29:39.000Z","","",""
