"Name","Activity type","Description"
"To work By Adam","cycling",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.84288","-1.630677","164.67266845703125","218.98487854003906","8","0","2013-06-04T12:10:40.000Z","","",""
"1","2","53.842906","-1.630725","164.44244384765625","321.6071472167969","6","0.9819","2013-06-04T12:10:49.000Z","","",""
"1","3","53.842917","-1.630748","164.3052520751953","306.3843994140625","12","1.3638","2013-06-04T12:10:50.000Z","","",""
"1","4","53.84289","-1.630746","164.04940795898438","165.0182342529297","8","3.1823","2013-06-04T12:10:54.000Z","","",""
"1","5","53.842855","-1.630727","164.04879760742188","163.80674743652344","8","3.7256","2013-06-04T12:10:55.000Z","","",""
"1","6","53.84282","-1.630707","163.84527587890625","162.84609985351563","12","4.3318","2013-06-04T12:10:56.000Z","","",""
"1","7","53.842776","-1.630685","163.38308715820313","163.1051788330078","12","4.4819","2013-06-04T12:10:57.000Z","","",""
"1","8","53.842743","-1.630663","163.31759643554688","161.54415893554688","12","3.6994","2013-06-04T12:10:58.000Z","","",""
"1","9","53.842716","-1.63064","163.28695678710938","158.95631408691406","12","3.3252","2013-06-04T12:10:59.000Z","","",""
"1","10","53.842687","-1.630612","163.26246643066406","157.8353729248047","8","3.3698","2013-06-04T12:11:00.000Z","","",""
"1","11","53.842667","-1.63059","163.19442749023438","155.67074584960938","8","2.45","2013-06-04T12:11:01.000Z","","",""
"1","12","53.842641","-1.630545","162.96749877929688","146.35543823242188","12","0.9509","2013-06-04T12:11:05.000Z","","",""
"1","13","53.842628","-1.630533","162.9853515625","150.8048553466797","12","1.4236","2013-06-04T12:11:06.000Z","","",""
"1","14","53.8426","-1.630481","163.00457763671875","121.1098861694336","12","3.0604","2013-06-04T12:11:08.000Z","","",""
"1","15","53.84259","-1.630425","163.00540161132813","107.5672836303711","12","3.7664","2013-06-04T12:11:09.000Z","","",""
"1","16","53.84258","-1.630345","162.166748046875","98.5243911743164","16","3.8434","2013-06-04T12:11:10.000Z","","",""
"1","17","53.842578","-1.630277","161.6448211669922","91.3227767944336","16","3.891","2013-06-04T12:11:11.000Z","","",""
"1","18","53.842602","-1.63021","160.9123077392578","63.72580337524414","16","3.973","2013-06-04T12:11:12.000Z","","",""
"1","19","53.84264","-1.63015","159.99073791503906","36.91885757446289","12","4.0901","2013-06-04T12:11:13.000Z","","",""
"1","20","53.842682","-1.630101","159.30337524414063","28.21770477294922","12","4.2588","2013-06-04T12:11:14.000Z","","",""
"1","21","53.84273","-1.630083","158.2605438232422","12.944756507873535","12","4.4764","2013-06-04T12:11:15.000Z","","",""
"1","22","53.842784","-1.630053","157.62149047851563","15.317374229431152","12","4.6998","2013-06-04T12:11:16.000Z","","",""
"1","23","53.842832","-1.630002","157.52279663085938","29.244287490844727","12","4.9108","2013-06-04T12:11:17.000Z","","",""
"1","24","53.842881","-1.629953","157.64645385742188","28.89032554626465","12","5.1193","2013-06-04T12:11:18.000Z","","",""
"1","25","53.842932","-1.629901","157.15016174316406","30.53692054748535","12","5.3169","2013-06-04T12:11:19.000Z","","",""
"1","26","53.842962","-1.629839","155.79177856445313","44.739131927490234","12","5.3735","2013-06-04T12:11:20.000Z","","",""
"1","27","53.842986","-1.629794","155.661865234375","41.8975830078125","12","5.1818","2013-06-04T12:11:21.000Z","","",""
"1","28","53.843","-1.629766","155.55198669433594","35.590248107910156","12","4.8116","2013-06-04T12:11:22.000Z","","",""
"1","29","53.843011","-1.629708","155.39996337890625","60.189701080322266","16","1.5979","2013-06-04T12:11:25.000Z","","",""
"1","30","53.843016","-1.629669","155.3523406982422","76.44464874267578","16","1.8952","2013-06-04T12:11:26.000Z","","",""
"1","31","53.84301","-1.629611","155.28802490234375","103.99470520019531","16","2.7888","2013-06-04T12:11:27.000Z","","",""
"1","32","53.842989","-1.629549","155.22315979003906","122.77313995361328","16","3.5009","2013-06-04T12:11:28.000Z","","",""
"1","33","53.842961","-1.6295","155.15232849121094","138.80152893066406","16","3.716","2013-06-04T12:11:29.000Z","","",""
"1","34","53.84293","-1.629441","155.10638427734375","130.7418212890625","16","3.802","2013-06-04T12:11:30.000Z","","",""
"1","35","53.842891","-1.629368","154.80221557617188","135.59825134277344","24","4.4407","2013-06-04T12:11:31.000Z","","",""
"1","36","53.842843","-1.62928","154.90487670898438","134.11843872070313","24","5.0609","2013-06-04T12:11:32.000Z","","",""
"1","37","53.84279","-1.629191","155.3956298828125","134.55560302734375","24","5.3703","2013-06-04T12:11:33.000Z","","",""
"1","38","53.842738","-1.62911","155.39013671875","134.32855224609375","24","8.1866","2013-06-04T12:11:34.000Z","","",""
"1","39","53.84269","-1.629036","155.43545532226563","133.74781799316406","16","7.5864","2013-06-04T12:11:35.000Z","","",""
"1","40","53.842641","-1.628952","155.32931518554688","132.7321014404297","16","8.3009","2013-06-04T12:11:36.000Z","","",""
"1","41","53.842585","-1.62887","155.49436950683594","133.3940887451172","16","8.3009","2013-06-04T12:11:37.000Z","","",""
